編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKKHJGFBJ28CC,隘興段,22.85,都市：住,,,,06280003
RPQNMLPKKHJGFBJ28CC,隘興段,22.50,都市：住,,,,06280003
RPPNMLSKKHJGFBJ48CC,世興段,34.01,都市：商,,,,00270000
RPPNMLPKKHJGFBJ18CC,縣華段,535.60,都市：住,,,,02530000
RPTNMLTKKHJGFBJ98CC,縣福段,4.93,都市：商,,,,02760000
RPPNMLKLKHJGFBJ77CC,家興段,27.72,都市：商,,,,04250000
RPRNMLTKKHJGFBJ78CC,水瀧段,14.39,都市：住,,,,01120000
RPUNMLTKKHJGFBJ09CC,翰林段,33.28,都市：住,,,,08170000
RPPNMLKLKHJGFCJ87CC,竹東段番社子小段,11.03,都市：住,,,,04050003
RPQNMLLLKHJGFBJ97CC,莊敬段,19.17,都市：商,,,,07160000
RPPNMLLLKHJGFDJ08CC,綠園段,13.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08630023
RPQNMLTKKHJGFDJ88CC,永安段,22.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04970000
RPRNMLKLKHJGFDJ18CC,光華段,15.15,都市：住,,,,01400000
RPPNMLMLKHJGFBJ97CC,大學段,10.51,都市：商,,,,02140000
RPQNMLMLKHJGFBJ08CC,溝貝段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,15760003
RPQNMLLLKHJGFCJ08CC,明星段,96.24,都市：住,,,,03990000
RPRNMLLLKHJGFCJ18CC,四重段,314.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08210000
RPPNMLLLKHJGFCJ97CC,旭光段,21.92,都市：商,,,,07660000
RPQNMLLLKHJGFDJ18CC,竹九段,24.54,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,15490000
RPRNMLNLKHJGFDJ48CC,竹九段,28.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,15490000
RPRNMLNLKHJGFDJ48CC,竹九段,39.00,非都市：一般農業區 ; 非都市編定：特定目的事業用地,,,,15500002
RPPNMLQLKHJGFBJ38CC,豆子埔段,133.00,都市：商,,,,08150001
RPPNMLPLKHJGFBJ28CC,公園段,36.82,都市：住,,,,05190000
RPPNMLNLKHJGFBJ08CC,站前段,20.21,都市：商,,,,01610000
RPUNMLMLKHJGFBJ48CC,站後段,1.30,都市：住,,,,10890000
RPUNMLMLKHJGFBJ48CC,站後段,1.71,都市：住,,,,10900000
RPVNMLMLKHJGFBJ58CC,竹仁段,21.06,都市：住,,,,05020000
RPQNMLTLKHJGFDJ98CC,員興段,3.78,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170801
RPQNMLTLKHJGFDJ98CC,員興段,16.23,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170002
RPQNMLTLKHJGFDJ98CC,員興段,5.16,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170802
RPPNMLRLKHJGFBJ48CC,水瀧段,16.47,都市：住,,,,03910000
RPQNMLMLKHJGFBJ18DC,世興段,27.59,都市：住,,,,00520000
RPRNMLOJLHJGFBJ28CC,隘興段,10.13,都市：住,,,,07190000
RPPNMLOJLHJGFBJ08CC,西安段,10.12,都市：其他:道路用地,,,,12120000
RPPNMLOJLHJGFBJ08CC,西安段,56.90,都市：商,,,,12130000
RPQNMLOJLHJGFBJ18CC,新國段,12.87,都市：住,,,,06410000
RPPNMLOKLHJGFDJ38CC,光華段,18.90,都市：住,,,,08280000
RPPNMLMKLHJGFBJ97CC,永興段,63.81,都市：住,,,,04530000
RPPNMLPKLHJGFCJ38CC,重光段,27.80,都市：住,,,,03320000
RPSNMLPKLHJGFBJ58CC,大學段,12.31,都市：商,,,,00240000
RPTNMLPKLHJGFBJ68CC,莊敬段,8.68,都市：商,,,,06570000
RPPNMLRKLHJGFBJ48CC,縣福段,4.70,都市：商,,,,02900000
RPQNMLSKLHJGFBJ68CC,家興段,21.12,都市：住,,,,07200000
RPRNMLPKLHJGFBJ48CC,水瀧段,10.83,都市：商,,,,15130000
