編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTKKHJGFBK78CC,31,183.89,住家用,鋼筋混凝土造,81年11月30日,四層,,
RPPNMLQKKHJGFBK38CC,8,75.24,住家用,鋼筋混凝土造,105年4月15日,七層,,
RPPNMLQKKHJGFBK38CC,8,43.67,本共有部分之項目有防空避難室兼停車空間，騎樓，樓梯間，電梯機房，水箱等６項。,鋼筋混凝土造,105年4月15日,七層,,
RPPNMLKLKHJGFBK87CC,31,113.42,住家用,鋼筋混凝土造,82年6月26日,七層,,
RPPNMLKLKHJGFBK87CC,31,13.76,樓梯間，水箱,鋼筋混凝土造,82年6月26日,七層,,
RPPNMLKLKHJGFBK87CC,31,1580.26,避難室，停車場,鋼筋混凝土造,82年6月26日,七層,,
RPQNMLKLKHJGFBK97CC,42,102.35,住家用,鋼筋混凝土造,70年12月30日,四層,,
RPQNMLKLKHJGFBK97CC,42,5.92,避難室,鋼筋混凝土造,70年12月30日,五層,,
RPPNMLPKKHJGFDK48CC,15,28.58,住家用,鋼筋混凝土造,98年6月12日,五層,,
RPPNMLPKKHJGFDK48CC,15,10.13,管理委員室、停車空間、機械室、梯間,鋼筋混凝土造,98年6月12日,五層,,
RPQNMLTKKHJGFDK98CC,8,52.71,商業用,鋼筋混凝土造,105年4月21日,十層,,
RPQNMLTKKHJGFDK98CC,8,33.76,共有部分,鋼筋混凝土造,105年4月21日,十層,,
RPPNMLQKKHJGFDK58CC,6,40.00,住商用、停車空間,鋼筋混凝土造,106年12月29日,四層,,
RPPNMLKLKHJGFDK08CC,8,23.73,集合住宅,鋼筋混凝土造,104年11月16日,十層,,
RPQNMLRKKHJGFFK98CC,13,130.58,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年4月18日,三層,,
RPQNMLPKKHJGFDK58CC,15,27.04,住家用,鋼筋混凝土造,98年6月12日,五層,,
RPQNMLTKKHJGFFK56CC,10,112.56,集合住宅,鋼筋混凝土造,102年11月22日,五層,,
RPQNMLPKKHJGFDK58CC,15,10.13,管理委員室、停車空間、機械室、梯間,鋼筋混凝土造,98年6月12日,五層,,
RPQNMLTKKHJGFFK56CC,10,8.30,停車空間、梯間,鋼筋混凝土造,102年11月22日,五層,,
RPPNMLRKKHJGFDK68CC,8,55.72,共有部分,鋼筋混凝土造,104年11月16日,十層,,
RPQNMLTKKHJGFFK56CC,10,13.87,梯間,鋼筋混凝土造,102年11月22日,五層,,
RPPNMLRKKHJGFDK68CC,8,16.52,集合住宅,鋼筋混凝土造,104年11月16日,十層,,
RPPNMLRKKHJGFFK88CC,26,92.78,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPPNMLRKKHJGFFK88CC,26,15.56,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLRKKHJGFFK88CC,26,13.56,停車位,鋼筋混凝土造,86年8月27日,,,
RPRNMLRKKHJGFFK09CC,26,74.13,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPRNMLRKKHJGFFK09CC,26,12.41,公共設施,鋼筋混凝土造,86年8月27日,,,
RPRNMLRKKHJGFFK09CC,26,13.56,停車位,鋼筋混凝土造,86年8月27日,,,
RPPNMLLLKHJGFBK97CC,,97.96,住家用,加強磚造,,二層,,
RPQNMLLLKHJGFDK28CC,6,86.28,住家用,鋼筋混凝土造,106年8月25日,十層,,
RPQNMLLLKHJGFDK28CC,6,53.00,共有部分,鋼筋混凝土造,106年8月25日,十層,,
RPRNMLLLKHJGFDK38CC,25,46.90,住家用,鋼筋混凝土造,87年11月11日,十八層,,
RPQNMLLLKHJGFDK28CC,6,17.82,共有部分,鋼筋混凝土造,106年8月25日,十層,,
RPSNMLLLKHJGFDK48CC,8,20.00,住商用、停車空間,鋼筋混凝土造,104年12月29日,四層,,
RPRNMLLLKHJGFDK38CC,25,5.71,樓梯間,鋼筋混凝土造,87年11月11日,十八層,,
RPPNMLLLKHJGFDK18CC,28,96.11,住家用,鋼筋混凝土造,84年10月16日,八層,,
RPRNMLLLKHJGFDK38CC,25,5.42,地下層，停車空間，屋突,鋼筋混凝土造,87年11月11日,十八層,,
RPPNMLLLKHJGFDK18CC,28,.49,住家，警衛室,鋼筋混凝土造,84年10月16日,八層,,
RPPNMLLLKHJGFDK18CC,28,11.91,梯間，機械室，水箱,鋼筋混凝土造,84年10月16日,八層,,
RPPNMLLLKHJGFDK18CC,28,21.73,車道，地下室，通道,鋼筋混凝土造,84年10月16日,地下層,,
RPPNMLNLKHJGFDK38CC,8,63.61,商業用,鋼筋混凝土造,105年4月21日,十層,,
RPPNMLNLKHJGFDK38CC,8,56.00,共有部分,鋼筋混凝土造,105年4月21日,十層,,
RPSNMLNLKHJGFDK68CC,30,95.33,住家用,鋼筋混凝土造,83年5月21日,十六層,,
RPSNMLNLKHJGFDK68CC,30,17.16,梯間,鋼筋混凝土造,83年5月21日,,,
RPSNMLNLKHJGFDK68CC,30,7.64,受電室，停車空間，開放空間,鋼筋混凝土造,83年5月21日,,,
RPRNMLNLKHJGFDK58CC,15,20.81,住家用,鋼筋混凝土造,98年6月12日,五層,,
RPRNMLNLKHJGFDK58CC,15,20.26,管理委員室、停車空間、機械室、梯間,鋼筋混凝土造,98年6月12日,五層,,
RPQNMLNLKHJGFDK48CC,15,23.07,住家用,鋼筋混凝土造,98年6月12日,五層,,
RPQNMLNLKHJGFDK48CC,15,10.13,管理委員室、停車空間、機械室、梯間,鋼筋混凝土造,98年6月12日,五層,,
RPTNMLNLKHJGFDK78CC,29,84.13,住家用,鋼筋混凝土造,84年7月14日,六層,,
RPPNMLQLKHJGFDK68CC,21,23.41,住家用,鋼筋混凝土造,92年3月31日,三層,,
RPTNMLNLKHJGFDK78CC,29,7.53,樓梯間,鋼筋混凝土造,84年7月14日,,,
RPTNMLNLKHJGFDK78CC,29,19.01,防空避難室,鋼筋混凝土造,84年7月14日,六層,,
RPPNMLQLKHJGFDK68CC,21,7.14,樓梯間,鋼筋混凝土造,92年3月31日,三層,,
RPQNMLTLKHJGFDK09CC,,25.79,停車空間、住宅、梯間、水箱、機房,鋼筋混凝土造,112年10月17日,四層,,
RPPNMLTLKHJGFBK78CC,33,240.07,住工用,鋼筋混凝土造,79年12月25日,三層,,
RPPNMLQLKHJGFFK88CC,2,45.96,集合住宅,鋼筋混凝土造,111年7月19日,五層,,
RPPNMLQLKHJGFFK88CC,2,12.78,樓梯間、電梯、梯廳、走廊外廊、停車空間,鋼筋混凝土造,111年7月19日,五層,,
RPSNMLRLKHJGFFK66CC,11,59.97,住家用,ＲＣ造,102年3月22日,四層,,
RPPNMLTLKHJGFFK56CC,18,105.77,住家用,鋼鐵造有牆,94年9月15日,一層,,
RPTNMLTLKHJGFFK96CC,13,57.86,一般零售業、一般事務所、運動休閒設施,ＲＣ造,100年3月23日,三層,,
RPRNMLNLKHJGFFK78CC,4,78.62,集合住宅,鋼筋混凝土造,108年8月6日,十五層,,
RPRNMLNLKHJGFFK78CC,4,18.88,電梯機械室、梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,108年8月6日,十五層,,
RPQNMLTLKHJGFFK66CC,44,110.70,住家用,鋼筋混凝土造,69年1月25日,三層,,
RPRNMLNLKHJGFFK78CC,4,16.05,防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,108年8月6日,十五層,,
RPRNMLRLKHJGFFK56CC,7,72.33,集合住宅,鋼筋混凝土造,106年4月25日,十四層,,
RPRNMLRLKHJGFFK56CC,7,15.88,機電空間、樓梯間、水箱,鋼筋混凝土造,106年4月25日,十四層,,
RPRNMLRLKHJGFFK56CC,7,53.33,停車空間、住宅、蓄水池、防空避難室、受電室、電信機房、管委會,鋼筋混凝土造,106年4月25日,十四層,,
RPPNMLLJLHJGFDK08CC,2,79.46,住家用,鋼筋混凝土造,110年11月5日,十五層,,
RPPNMLLJLHJGFDK08CC,2,60.96,共有部分,鋼筋混凝土造,110年11月5日,十五層,,
RPSNMLTLKHJGFFK86CC,1,90.23,集合住宅,鋼筋混凝土造,112年5月18日,十五層,,
RPSNMLTLKHJGFFK86CC,1,45.32,防空避難室兼停車空間、水箱、消防泵浦室、梯間、停車空間、發電機房、台電配電場所、垃圾儲藏室、電信室、管委會使用空間,鋼筋混凝土造,112年5月18日,十五層,,
RPQNMLLLKHJGFFK48CC,14,38.95,辦公室,ＲＣ造,98年8月25日,六層,,
RPQNMLLLKHJGFFK48CC,14,6.41,守衛室、電信機房、防空避難室兼停車空間、電梯機房、水箱,ＲＣ造,98年8月25日,六層,,
RPQNMLLLKHJGFFK48CC,14,5.96,防空避難室兼停車空間〈汽車位〉,ＲＣ造,98年8月25日,六層,,
RPQNMLLLKHJGFFK48CC,14,5.77,梯廳、電梯機房、水箱,ＲＣ造,98年8月25日,六層,,
RPQNMLLLKHJGFFK48CC,14,3.25,走廊,ＲＣ造,98年8月25日,六層,,
RPQNMLLJLHJGFDK18CC,1,38.00,停車空間、集合住宅,鋼筋混凝土造,112年1月18日,四層,,
RPPNMLOJLHJGFBK18CC,4,208.53,住家用,鋼筋混凝土造,109年2月19日,三層,,
RPPNMLNJLHJGFDK28CC,3,58.79,住家用,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLNJLHJGFDK28CC,3,17.88,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLNJLHJGFDK28CC,3,9.75,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPPNMLNJLHJGFDK28CC,3,30.74,共有部分,鋼筋混凝土造,109年9月15日,十五層,,
RPQNMLOJLHJGFBK28CC,7,90.41,住家用,鋼筋混凝土造,105年12月13日,五層,,
RPQNMLOJLHJGFBK28CC,7,39.52,本共有部分之項目有樓梯間、機械室及停車空間（室內５輛）等３項。,鋼筋混凝土造,105年12月13日,五層,,
RPPNMLQJLHJGFBK38CC,31,62.95,住家用,鋼筋混凝土造,81年9月29日,十七層,,
RPPNMLQJLHJGFBK38CC,31,42.83,公共設施,鋼筋混凝土造,81年9月29日,十七層,,
RPPNMLQJLHJGFDK58CC,8,15.10,住商用、停車空間,鋼筋混凝土造,104年12月29日,四層,,
RPPNMLQJLHJGFFK78CC,42,89.92,住家用,加強磚造,71年5月15日,二層,,
RPPNMLLJLHJGFFK28CC,7,64.89,集合住宅,鋼筋混凝土造,105年12月22日,七層,,
RPPNMLLJLHJGFFK28CC,7,10.47,樓梯間、水箱、機械室,鋼筋混凝土造,105年12月22日,七層,,
RPPNMLLJLHJGFFK28CC,7,.98,管委會使用空間,鋼筋混凝土造,105年12月22日,七層,,
RPPNMLLJLHJGFFK28CC,7,13.77,停車空間、防空避難室兼停車空間,鋼筋混凝土造,105年12月22日,七層,,
RPUNMLRJLHJGFFK76CC,27,82.94,住家用,鋼筋混凝土造,86年1月29日,九層,,
RPUNMLRJLHJGFFK76CC,27,16.90,地下室,鋼筋混凝土造,86年1月29日,,,
RPUNMLRJLHJGFFK76CC,27,2.82,公共設施,鋼筋混凝土造,86年1月29日,九層,,
RPTNMLRJLHJGFFK66CC,33,1190.08,倉庫,鋼筋混凝土造,80年7月11日,二層,,
RPQNMLQJLHJGFFK88CC,5,63.34,店舖,鋼筋混凝土造,108年8月6日,十四層,,
RPQNMLQJLHJGFFK88CC,5,14.45,電梯機械室、梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,108年8月6日,十五層,,
RPQNMLQJLHJGFFK88CC,5,12.40,防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,108年8月6日,十五層,,
RPQNMLLJLHJGFFK38CC,30,91.28,住家用,鋼筋混凝土造,82年8月20日,七層,,
RPQNMLLJLHJGFFK38CC,30,21.67,住家用,鋼筋混凝土造,82年8月20日,七層,,
RPQNMLLJLHJGFFK38CC,30,9.48,樓梯,鋼筋混凝土造,82年8月20日,七層,,
RPVNMLRJLHJGFFK86CC,18,182.66,住宅、停車空間,ＲＣ造,95年1月5日,四層,,
RPPNMLOJLHJGFFK58CC,30,86.63,住商用,鋼筋混凝土造,82年12月21日,十一層,,
RPPNMLOJLHJGFFK58CC,30,10.52,地下室,鋼筋混凝土造,82年12月21日,十一層,,
