編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLQKKHJGFAM48CC,29,88.47,住家用,鋼筋混凝土造,84年2月16日,十三層,,
RPPNMLQKKHJGFAM48CC,29,23.37,辦公室、康樂室、電梯、門廳、機房、水箱、平臺、瞭望臺、梯間、變電室、機械室,鋼筋混凝土造,84年2月16日,十三層,,
RPPNMLLLKHJGFAM08CC,30,183.95,住家用,鋼筋混凝土造,83年3月31日,三層,,
RPPNMLLLKHJGFAM08CC,30,16.93,停車空間,鋼筋混凝土造,83年3月31日,四層,,
RPPNMLLLKHJGFAM08CC,30,1.39,辦公室,鋼筋混凝土造,83年3月31日,四層,,
RPPNMLPKKHJGFBM58DC,2,73.53,集合住宅、外廊、樓梯間,鋼筋混凝土造,110年12月30日,四層,,
RPQNMLPKKHJGFBM68DC,2,195.53,集合住宅、外廊、樓梯間,鋼筋混凝土造,110年12月30日,四層,,
RPPNMLRKKHJGFBM78DC,16,210.12,店舖、住宅、樓梯間,鋼筋混凝土造,97年5月1日,三層,,
RPQNMLQLKHJGFCM88CC,30,78.54,集合住宅,鋼筋混凝土造,83年7月7日,十三層,,
RPQNMLQLKHJGFCM88CC,30,56.51,避難室兼停車場、門、梯間、突出物、機械房、水箱,鋼筋混凝土造,83年7月7日,十三層,,
RPPNMLQJLHJGFAM48CC,2,59.06,集合住宅,鋼筋混凝土造,111年4月19日,五層,,
RPPNMLQJLHJGFAM48CC,2,16.85,人行道、共用梯廳、電梯間、樓梯間、水錶室、水箱、機械室,鋼筋混凝土造,111年4月19日,五層,,
RPPNMLRJLHJGFAM58CC,19,203.66,住家用,鋼筋混凝土造,94年8月29日,四層,,
RPPNMLSJLHJGFAM68CC,31,66.22,住家用,鋼筋混凝土造,82年3月22日,八層,,
RPPNMLSJLHJGFAM68CC,31,17.83,防空避難室、人行道、電梯,鋼筋混凝土造,82年3月22日,八層,,
