編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLLKHJGFAM18CC,千秋段,231.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02460001
RPPNMLPKKHJGFBM58DC,新富寮段,110.96,都市：住,,,,04590030
RPQNMLPKKHJGFBM68DC,新富寮段,110.96,都市：住,,,,04590030
RPPNMLRKKHJGFBM78DC,中興段,88.00,都市：住,,,,02890007
RPPNMLRKKHJGFBM78DC,中興段,13.00,都市：住,,,,02900004
RPQNMLQLKHJGFCM88CC,埔里段信義小段,16.99,都市：住,,,,04560000
RPPNMLRJLHJGFAM58CC,光興段,109.82,都市：住,,,,09050003
RPPNMLSJLHJGFBM78CC,草屯段,68.00,都市：商,,,,07290084
RPPNMLTLKHJGFBM98CC,草屯段,90.00,都市：商,,,,05640003
RPQNMLTKKHJGFBM98CC,新御史段,482.00,都市：住,,,,12350000
RPQNMLTKKHJGFBM98CC,新御史段,142.71,都市：住,,,,12350001
RPPNMLTKKHJGFBM88CC,新御史段,482.00,都市：住,,,,12350000
RPPNMLTKKHJGFBM88CC,新御史段,142.71,都市：住,,,,12350001
RPPNMLPKLHJGFBM58CC,玉峰段,48.64,都市：商,,,,01260000
RPQNMLPKLHJGFBM68CC,碧峰段,296.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03130000
RPPNMLKLLHJGFBM18CC,碧峰段,841.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15390000
RPPNMLPLLHJGFAM58CC,光大段,119.06,都市：住,,,,08070000
RPPNMLQLLHJGFAM68CC,新生段,1673.00,都市：住,,,,15830000
RPPNMLSJMHJGFAM78CC,田寮段,78.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05830000
RPPNMLTKMHJGFAM98CC,牛運堀段,70.00,都市：住,,,,01330027
RPPNMLOLMHJGFAM58CC,光興段,104.01,都市：住,,,,08110014
RPPNMLQJNHJGFAM68CC,牛運堀段,1737.00,都市：住,,,,02680000
RPPNMLKMMHJGFAM28CC,光華段,73.70,都市：住,,,,02020000
