編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKKHJGFAO78CB,竹蓮段,.13,都市：住,100000,326,持分移轉,23620000
RPPNMLOLKHJGFAO48CB,信義段,30.07,都市：住,100000,2588,持分移轉,09490000
RPUNMLKLKHJGFAO58CB,隆恩段,29.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3416,持分移轉,07070000
RPPNMLSKKHJGFAO78CB,竹蓮段,14.98,都市：住,100000,326,持分移轉,23750000
RPOSMLRKKHJGFAO09CB,西濱段,30.66,都市：住,100000,3018,持分移轉,04820016
RPPNMLTKKHJGFAO98DB,武陵段,32.41,都市：住,100000,1262,持分移轉,00280000
RPSNMLKLKHJGFAO38CB,隆恩段,29.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3435,持分移轉,07070000
RPTNMLKLKHJGFAO48CB,隆恩段,29.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3407,持分移轉,07070000
RPPNMLQKKHJGFAO68DB,聚吉段,28.99,都市：住,100000,2626,持分移轉,00270007
RPQNMLLLKHJGFAO28CB,南華段,57.45,都市：住,1,1,全筆移轉,06310014
RPQNMLLLKHJGFAO28CB,南華段,17.88,都市：住,10,1,持分移轉,06310000
RPQNMLTKKHJGFAO09DB,武陵段,35.75,都市：住,100000,1392,持分移轉,00280000
RPQNMLOLKHJGFAO58CB,西濱段,30.79,都市：住,100000,3031,持分移轉,04820016
RPOOMLRLKHJGFAO78CB,水源段,35.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2454,持分移轉,04190000
RPUNMLRLKHJGFAO66CB,內湖段,93.57,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04120067
RPUNMLRLKHJGFAO66CB,內湖段,15.58,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,158,持分移轉,04120000
