編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQKKHJGFAO68CC,一樓平面,0,,一樓
RPPNMLRKKHJGFAO78CC,坡道平面,0,28.88,地下一樓
RPPNMLRKKHJGFAO78CC,坡道平面,0,28.88,地下三樓
RPRNMLTKKHJGFAO56CC,坡道平面,0,31.97,地下一樓
RPSNMLTKKHJGFAO66CC,一樓平面,600,42.50,一樓
RPPNMLKLKHJGFAO18CC,坡道平面,0,31.68,地下二樓
RPPNMLKLKHJGFAO18CC,坡道平面,0,28.88,地下三樓
RPWNMLTLKHJGFAO17CC,坡道平面,0,,地下二樓
RPXNMLTLKHJGFAO27CC,一樓平面,0,,一樓
RPPNMLTLKHJGFAO09CC,坡道平面,4000,39.91,地下三樓
RPPNMLTLKHJGFAO09CC,坡道平面,4000,39.91,地下三樓
RPPNMLTLKHJGFAO09CC,坡道平面,4000,39.91,地下三樓
RPPNMLTLKHJGFAO09CC,坡道平面,4000,39.91,地下三樓
RPOOMLOJLHJGFAO48CC,坡道平面,0,,地下一樓
RPSNMLSJLHJGFAO56CC,坡道平面,0,,地下三樓
RPQNMLSKLHJGFAO09CC,坡道平面,0,28.88,地下五樓含以下
RPPNMLOLLHJGFAO68CC,坡道平面,0,,地下一樓
RPQNMLSLLHJGFAO56CC,坡道平面,0,,地下一樓
RPUNMLMJMHJGFAO88CC,坡道平面,0,31.40,地下一樓
RPQNMLSJMHJGFAO09CC,一樓平面,3200,,一樓
RPSNMLSJMHJGFAO66CC,坡道平面,0,,地下一樓
RPUNMLSJMHJGFAO86CC,坡道平面,0,30.16,地下一樓
RPUNMLTJMHJGFAO96CC,坡道平面,0,28.88,地下五樓含以下
RPWNMLTJMHJGFAO17CC,坡道平面,1000,42.50,地下三樓
RPROMLTJMHJGFAO76CC,坡道平面,0,28.88,地下五樓含以下
RPUNMLMKMHJGFAO98CC,坡道平面,0,36.98,地下三樓
RPPNMLMKMHJGFAO48CC,一樓平面,0,,一樓
RPVNMLMKMHJGFAO09CC,坡道平面,0,,地下三樓
RPRNMLMLMHJGFAO78CC,坡道平面,0,28.88,地下二樓
RPRNMLMLMHJGFAO78CC,坡道平面,0,28.88,地下二樓
RPUNMLNLMHJGFAO56CC,坡道平面,0,28.88,地下二樓
RPWNMLPLMHJGFAO96CC,坡道平面,3000,28.88,地下五樓含以下
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPPNMLRLMHJGFAO09CC,坡道平面,3150,,地下二樓
RPXNMLNJNHJGFAO76CC,坡道平面,2000,24.86,地下五樓含以下
RPPOMLNJNHJGFAO68CC,升降機械,0,,地下二樓
RPROMLNJNHJGFAO88CC,坡道平面,0,,地下四樓
RPPNMLQJNHJGFAO88CC,坡道平面,0,27.57,地下一樓
RPPNMLRJNHJGFAO09DC,坡道平面,0,28.88,地下五樓含以下
RPVNMLSJNHJGFAO07CC,坡道平面,0,32.72,地下三樓
RPQNMLTJNHJGFAO66CC,坡道平面,0,21.51,地下二樓
