編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJNHJGFCP76DA,豐草段,3643.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08900000
RPQNMLSJNHJGFEP96DA,土厝段,1600.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01100000
RPPNMLKKNHJGFBP58EA,新安段,11.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10520000
RPPNMLOJNHJGFEP09DA,崙北段,311.50,非都市：一般農業區 ; 非都市編定：甲種建築用地,36,2,持分移轉,00150000
RPRNMLSJNHJGFCP96EA,五塊厝段,152.60,非都市：特定農業區 ; 非都市編定：農牧用地,11440,763,持分移轉,02930000
RPQNMLSJNHJGFCP76DA,南榮段,132.59,都市：其他:住宅區,1,1,全筆移轉,11800010
RPQNMLKKNHJGFCP78EA,湳仔段,21.48,非都市：鄉村區 ; 非都市編定：交通用地,2250,115,持分移轉,02420000
RPQNMLKKNHJGFCP78EA,湳仔段,115.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,2250,115,持分移轉,02430000
RPQNMLKKNHJGFCP78EA,湳仔段,12.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,9000,460,持分移轉,02440000
RPQNMLKKNHJGFAP48DA,東興段,2.00,都市：其他:住宅區,1,1,全筆移轉,13420002
RPPNMLKKNHJGFCP68EA,新社段,48.33,非都市：特定農業區 ; 非都市編定：水利用地,6,2,持分移轉,06610001
RPPNMLKKNHJGFCP68EA,社口段,2180.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10280000
RPPNMLKKNHJGFCP68EA,社口段,19.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,10280001
RPRNMLTJNHJGFBP86DA,建國段,52.50,都市：其他:第二種住宅區,2,1,持分移轉,11060001
RPRNMLKKNHJGFDP88DA,石廟子段,1309.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09720000
