編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQJNHJGFBQ76DA,鹿寮段,109.56,非都市：一般農業區 ; 非都市編定：養殖用地,8,1,持分移轉,00170000
RPQNMLNKNHJGFCQ56EA,好收段竹圍後小段,1193.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,08720000
RPRNMLQJNHJGFBQ66DA,鹿寮段,314.49,非都市：一般農業區 ; 非都市編定：養殖用地,8,3,持分移轉,00160000
RPQNMLSJNHJGFDQ96DA,頂潭新段,95.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,12510000
RPQNMLKKNHJGFDQ98EA,大堀尾段大堀小段,1674.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02110000
RPSNMLSJNHJGFCQ07DA,東林段,38.01,都市：其他:住,1,1,全筆移轉,10780000
RPPNMLTJNHJGFDQ96DA,過溝段過溝小段,58.00,都市：其他:住宅區,1,1,全筆移轉,11290018
RPSNMLNKNHJGFCQ76EA,沙崙段,842.27,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12900000
RPUNMLPKNHJGFBQ96DA,嘉朴段,10.94,都市：其他:第一種住宅區,10000,90,持分移轉,02440000
RPWNMLPKNHJGFBQ17DA,嘉朴段,11.06,都市：其他:第一種住宅區,10000,91,持分移轉,02440000
RPRNMLOJNHJGFDQ66DA,龍山脚段,84.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,1014,13,持分移轉,01250000
RPPNMLNKNHJGFCQ98DA,民北段,128.00,都市：其他:住,1,1,全筆移轉,03700000
RPTNMLOKNHJGFCQ86DA,崙子段崙子小段,1916.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08520000
RPQNMLQKNHJGFBQ66DA,溪子下段福安小段,41.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,03770000
RPSNMLOKNHJGFCQ76DA,埤子頭段埤子頭小段,772.50,非都市：特定農業區 ; 非都市編定：農牧用地,4,3,持分移轉,03370000
RPPNMLPKNHJGFEQ86EA,大草埔段,143.88,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04540004
RPTNMLQKNHJGFBQ96DA,溪墘厝段,201.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,9000,252,持分移轉,02010001
RPQNMLRJNHJGFDQ86DA,隆興段,77.64,都市：其他:住宅區,1,1,全筆移轉,08300000
RPUNMLOKNHJGFDQ07DA,三角段,174.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,4,持分移轉,00930000
RPVNMLPKNHJGFDQ27DA,過溝段過溝小段,2856.00,都市：其他:農業區,1,1,全筆移轉,00240000
RPQNMLRKNHJGFCQ96EA,中洋子段中洋小段,1151.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00270000
RPPNMLPKNHJGFDQ66DA,和美段,120.43,都市：其他:住宅區,1,1,全筆移轉,13020000
RPQNMLPKNHJGFEQ96EA,瓦厝埔段,232.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10250014
RPQNMLPKNHJGFEQ96EA,瓦厝埔段,2734.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,3350,2734,持分移轉,10250020
RPQNMLPKNHJGFEQ96EA,瓦厝埔段,4185.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10250024
RPQNMLKLNHJGFBQ78DA,下雙溪段兩溪小段,705.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02300000
RPQNMLRKNHJGFBQ86EA,新民段,47.69,非都市：特定專用區 ; 非都市編定：農牧用地,4,2,持分移轉,08470000
RPQNMLRKNHJGFBQ86EA,新民段,47.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,2,持分移轉,08480000
RPRNMLQKNHJGFCQ86DA,民農段,72.15,都市：其他:農,1,1,全筆移轉,01090000
RPTNMLPKNHJGFDQ07DA,龍潭段,80.27,都市：其他:住宅區,1,1,全筆移轉,05760002
RPTNMLPKNHJGFDQ07DA,龍潭段,23.75,都市：其他:住宅區,31856,2375,持分移轉,05760004
RPUNMLQKNHJGFCQ17DA,永福段,1153.00,,1,1,全筆移轉,00290001
RPPNMLKLNHJGFBQ68DA,下揖子寮段,134.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,7200,143,持分移轉,01960000
RPQNMLKLNHJGFDQ98DA,鹿南段,58.55,都市：其他:道路用地,1,1,全筆移轉,05060001
RPRNMLRKNHJGFCQ07EA,中洋子段中洋小段,2410.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01740000
RPWNMLOKNHJGFDQ27DA,麻寮段,80.78,都市：其他:住宅區,1,1,全筆移轉,05990015
RPQNMLKLNHJGFCQ98EA,新大埔美段,320.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,242064000,3980608,持分移轉,28970000
RPPNMLRKNHJGFDQ96EA,新段,2510.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03930000
RPRNMLKLNHJGFCQ09EA,新大埔美段,10.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,4,持分移轉,28990000
RPRNMLRKNHJGFDQ17EA,重寮段,105.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01560000
RPRNMLRKNHJGFDQ17EA,重寮段,5.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,45,1,持分移轉,01680000
RPRNMLRKNHJGFDQ17EA,重寮段,13.63,非都市：特定農業區 ; 非都市編定：甲種建築用地,45,1,持分移轉,01740000
RPXNMLPKNHJGFCQ37DA,港西段,3.25,都市：其他:住,12,3,持分移轉,07520001
RPPNMLSJNHJGFCQ76DA,好收段竹圍後小段,495.87,都市：其他:綠,275200,49587,持分移轉,15120000
RPUNMLLLNHJGFCQ76DA,平林段,94.01,都市：其他:住,1,1,全筆移轉,05070000
RPUNMLLLNHJGFCQ76DA,平林段,4.53,,166,68,持分移轉,05100000
RPRNMLKKNHJGFDQ98DA,新埤段新埤小段,2322.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16760000
RPQNMLKLNHJGFDQ09EA,柳鄉段,8.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,60,2,持分移轉,14490000
RPQNMLKLNHJGFDQ09EA,柳鄉段,64.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14940000
RPPNMLKLNHJGFEQ98DA,鹿滿段,834.96,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07240000
RPPNMLMLNHJGFBQ88DA,三塊厝段三家小段,831.00,非都市：一般農業區 ; 非都市編定：農牧用地,5,3,持分移轉,01830000
RPPNMLMLNHJGFBQ88DA,三塊厝段三家小段,15.00,非都市：一般農業區 ; 非都市編定：農牧用地,5,3,持分移轉,01860000
RPQNMLMLNHJGFBQ98DA,三塊厝新段,80.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,2,持分移轉,09630000
RPVNMLMLNHJGFBQ86DA,樹林頭段林頭小段,2000.00,非都市：一般農業區 ; 非都市編定：農牧用地,54528,20000,持分移轉,06630000
