編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLLKHJGFBQ48CB,一樓平面,0,13.75,一樓
RPTNMLKLKHJGFBQ78CB,坡道機械,500000,8.60,一樓
RPPNMLRLKHJGFBQ09CB,一樓平面,1000000,28.24,一樓
RPVNMLKLKHJGFBQ98CB,坡道機械,550000,8.60,一樓
RPQNMLQLKHJGFCQ56CB,坡道平面,1200000,29.27,一樓
RPUNMLKLKHJGFBQ88CB,坡道機械,500000,8.60,一樓
RPRNMLKLKHJGFBQ58CB,一樓平面,1200000,24.79,一樓
RPPNMLTLKHJGFBQ66CB,一樓平面,0,13.75,一樓
RPSNMLKLKHJGFBQ68CB,坡道機械,500000,8.60,一樓
RPPNMLPJLHJGFDQ98CB,其他,0,13.75,一樓
RPSNMLOJLHJGFDQ56CB,升降平面,700000,,一樓
RPRNMLOJLHJGFDQ09CB,升降平面,800000,,一樓
RPPNMLSJLHJGFCQ56CB,其他,650000,7.25,一樓
RPQNMLSJLHJGFCQ66CB,其他,650000,6.88,一樓
RPPNMLRJLHJGFBQ98CB,坡道機械,550000,8.60,一樓
RPRNMLRJLHJGFBQ56CB,坡道機械,550000,8.60,一樓
RPPNMLQJLHJGFCQ98CB,坡道平面,1200000,29.27,二樓含以上
RPRNMLNKLHJGFBQ88CB,一樓平面,1400000,24.79,一樓
RPTNMLNKLHJGFBQ09CB,坡道機械,600000,8.60,一樓
RPPNMLPKLHJGFBQ88CB,坡道平面,1700000,16.40,地下二樓
RPRNMLPKLHJGFBQ09CB,坡道平面,1750000,16.40,地下一樓
RPTNMLPKLHJGFBQ66CB,坡道平面,1700000,16.40,地下二樓
RPSNMLPKLHJGFBQ56CB,坡道平面,1750000,16.40,地下一樓
RPQNMLPKLHJGFBQ98CB,坡道平面,1700000,16.40,地下二樓
RPVNMLPKLHJGFBQ86CB,坡道平面,1750000,16.40,地下一樓
RPWNMLPKLHJGFBQ96CB,坡道平面,1750000,16.40,地下一樓
RPXNMLPKLHJGFBQ07CB,坡道平面,1750000,16.40,地下一樓
RPOOMLPKLHJGFBQ88CB,坡道平面,1750000,16.40,地下一樓
RPQOMLPKLHJGFBQ09CB,坡道平面,1600000,14.34,地下二樓
RPSOMLPKLHJGFBQ66CB,坡道平面,1700000,16.40,地下二樓
RPPOMLPKLHJGFBQ98CB,坡道平面,1700000,16.40,地下二樓
RPROMLPKLHJGFBQ56CB,坡道平面,1750000,16.40,地下一樓
RPTOMLPKLHJGFBQ76CB,坡道平面,1650000,14.34,地下一樓
RPUOMLPKLHJGFBQ86CB,坡道平面,1700000,16.40,地下二樓
RPPNMLSKLHJGFBQ56CB,坡道平面,1600000,14.34,地下二樓
RPQNMLSKLHJGFBQ66CB,坡道平面,1650000,14.34,地下一樓
RPRNMLSKLHJGFBQ76CB,坡道平面,1750000,16.40,地下一樓
RPUNMLSKLHJGFBQ07CB,坡道平面,1750000,16.40,地下一樓
RPTNMLSKLHJGFBQ96CB,坡道平面,1750000,16.40,地下一樓
RPSNMLSKLHJGFBQ86CB,坡道平面,1700000,16.40,地下二樓
RPVNMLSKLHJGFBQ17CB,坡道平面,1700000,16.40,地下二樓
RPOOMLSKLHJGFBQ56CB,坡道平面,1750000,16.40,地下一樓
RPPOMLSKLHJGFBQ66CB,坡道平面,1750000,16.40,地下一樓
RPWNMLSKLHJGFBQ27CB,坡道平面,1750000,16.40,地下一樓
RPXNMLSKLHJGFBQ37CB,坡道平面,1750000,16.40,地下一樓
RPXNMLSKLHJGFBQ37CB,坡道平面,1750000,16.40,地下一樓
RPQOMLSKLHJGFBQ76CB,坡道平面,1600000,14.34,地下二樓
RPROMLSKLHJGFBQ86CB,坡道平面,1700000,16.40,地下二樓
RPUOMLSKLHJGFBQ17CB,坡道平面,1700000,16.40,地下二樓
RPTOMLSKLHJGFBQ07CB,坡道平面,1750000,16.40,地下一樓
RPSOMLSKLHJGFBQ96CB,坡道平面,1750000,16.40,地下一樓
RPXOMLSKLHJGFBQ47CB,坡道平面,1700000,16.40,地下二樓
RPVOMLSKLHJGFBQ27CB,坡道平面,1750000,16.40,地下一樓
RPOPMLSKLHJGFBQ66CB,坡道平面,1700000,16.40,地下二樓
