鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３９號五樓之２７,0.0,,,,1130127,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,6300,202,,0.0,0,嘉義縣政府包租代管計畫；管理費200元。,RPPNMLTKKHJGFBQ66CC,獨立套房,有,1130201~1140131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３９號４樓之４７,0.0,,,,1130130,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,31.23,1,0,1,有,有,有,6000,192,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPQNMLLLKHJGFBQ68CC,獨立套房,有,1130215~1140214,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
朴子市,租賃房屋+車位,嘉義縣朴子市祥和二路西段５７號１樓,218.4,住,,,1130216,土地1建物1車位1,一層,5,店面(店鋪),車庫、店舖、集合住宅,鋼筋混凝土造,0960910,128.29,0,1,1,有,無,無,25200,196,坡道平面,115.45,0,部分出租租金總額含稅；租賃建物部分範圍，且未計入共有部分面積；租賃期間有約定不同租金113.4/1-115.3.31租金每月25200.115.4/1-117.3/31租金每月26460.117.4/1-118.3/31租金每月27783；,RPRNMLMLKHJGFBQ88CC,,無,1130217~1180331,無,,
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３９號八樓之１２,0.0,,,,1130201,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,32.06,1,0,1,有,有,有,4650,145,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。管理費150元。,RPPNMLNLKHJGFBQ78CC,獨立套房,有,1130210~1140209,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
民雄鄉,租賃房屋,嘉義縣民雄鄉豊收村好收７４之３號,0.0,,,,1130201,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890706,13.97,34,0,34,有,無,有,3000,215,,0.0,0,,RPPNMLNLKHJGFCQ88CC,分租套房,無,1130206~1140205,無,冷氣,一般代管
水上鄉,土地,水西段455-3地號,7.27,住,,,1130216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,5000,688,,0.0,0,含增建或未登記建物；,RPQNMLNLKHJGFDQ09CC,,,1130301~1140228,,,
中埔鄉,租賃房屋,嘉義縣中埔鄉鹽?村下庄仔５０之１３號,0.0,,,,1130201,土地0建物1車位0,全,4,透天厝,停車場、運動間、住宅,鋼筋混凝土造,0840518,273.09,7,1,3,有,有,無,13500,49,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPTNMLNLKHJGFDQ76CC,整棟(戶)出租,有,1130201~1140131,無,熱水器、瓦斯或天然氣,社會住宅代管
朴子市,租賃房屋,嘉義縣朴子市仁和二路１３９號三樓之４９,0.0,,,,1130206,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950828,36.45,1,1,2,有,有,有,8000,219,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLTLKHJGFBQ76CC,整棟(戶)出租,有,1130215~1140214,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
大林鎮,租賃房屋,嘉義縣大林鎮平林里莊敬街１７６巷五號五樓,0.0,,,,1130206,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720312,69.0,2,1,1,有,無,有,6000,87,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLTLKHJGFCQ86CC,整棟(戶)出租,無,1130210~1140209,無,冷氣、熱水器、洗衣機,社會住宅代管
