編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRKKHJGFAT66CC,19,114.28,集合住宅,鋼筋混凝土造,93年9月9日,十四層,,
RPPNMLQKKHJGFAT56CC,24,47.14,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPPNMLRKKHJGFAT66CC,19,66.73,防空避難室、停車空間、活動中心、管理中心、警衛室、門廳、通廊,鋼筋混凝土造,93年9月9日,十四層,,
RPPNMLQKKHJGFAT56CC,24,14.40,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLPKKHJGFCT76CC,53,138.70,住家用,加強磚造,,三層,,
RPPNMLKLKHJGFCT88CC,1,49.50,集合住宅,鋼筋混凝土構造,112年3月9日,五層,,
RPPNMLKLKHJGFCT88CC,1,16.36,本共有部分之項目有停車空間、電信室、樓梯間、水箱及機械房等五項。,鋼筋混凝土構造,112年3月9日,五層,,
RPPNMLPKKHJGFCT66CC,28,55.18,住家用,鋼筋混凝土造,85年3月28日,十一層,,
RPPNMLPKKHJGFCT66CC,28,15.44,防空避難室、停車空間、樓梯間、機械室、水箱、梯間,鋼筋混凝土造,85年3月28日,十一層,,
RPQNMLKLKHJGFCT98CC,21,20.68,集合住宅,鋼筋混凝土構造,92年5月1日,五層,,
RPQNMLKLKHJGFCT98CC,21,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLKLKHJGFCT98CC,21,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLLLKHJGFCT98CC,43,99.12,住商用,加強磚造,70年4月29日,二層,,
RPQNMLRKKHJGFCT07DC,71,85.00,住商用,鋼筋混凝土造,41年9月17日,二層,,
RPPNMLTKKHJGFAT86CC,44,47.63,住商用,鋼筋混凝土造,68年9月11日,三層,,
RPQNMLLLKHJGFAT88CC,44,95.62,住家用,鋼筋混凝土造,69年3月14日,三層,,
RPQNMLRKKHJGFAT76CC,44,97.70,住家用,鋼筋混凝土造,69年7月17日,五層,,
RPPNMLLLKHJGFAT78CC,24,36.65,集合住宅,鋼筋混凝土造,89年2月2日,十六層,,
RPPNMLKLKHJGFAT68CC,42,74.45,公寓,鋼筋混凝土造,70年12月21日,五層,,
RPPNMLLLKHJGFAT78CC,24,20.22,停車空間、防空避難室兼停車空間、集合住宅、便利商店、店舖、梯間、機械室、水箱,鋼筋混凝土造,89年2月2日,十六層,,
