編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKKHJGFCT76CC,新勢段,127.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,12100001
RPPNMLPKKHJGFCT66CC,明德段,12.27,都市：住,,,,04720000
RPQNMLKLKHJGFCT98CC,壽比段,3.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05700000
RPQNMLRKKHJGFCT07DC,新榮段,53.19,都市：商,,,,02210000
RPQNMLKLKHJGFAT78CC,勝興段,11.27,都市：住,,,,00580000
RPQNMLTLKHJGFAT07CC,斯文段,164.00,都市：住,,,,11630001
RPQNMLTLKHJGFAT07CC,斯文段,9.00,都市：住,,,,11640001
RPPNMLPJLHJGFAT09CC,建國段,14.60,都市：住,,,,15110003
RPPNMLTLKHJGFCT17CC,永春段,22.60,都市：住,,,,06320000
RPPNMLQLKHJGFCT86CC,壽比段,7.29,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,02790000
RPPNMLNLKHJGFCT56CC,五福段,85.50,都市：住,,,,02070019
RPPNMLSJLHJGFCT96CC,五福段,39.75,都市：住,,,,03890006
RPPNMLMKLHJGFCT09CC,復興段,87.88,都市：住,,,,02380000
RPPNMLOKLHJGFCT66CC,潮中段,1270.96,都市：住,,,,04140000
RPPNMLKLLHJGFAT78CC,麟信段,1215.49,都市：工,,,,04110000
RPPNMLLLLHJGFAT88CC,豐田段,23.50,都市：住,,,,08360000
RPTNMLLLLHJGFAT66CC,檳榔腳段一小段,60.00,都市：住,,,,04230062
RPQNMLPLLHJGFAT76CC,新屏段,1600.00,都市：工,,,,01130000
RPQNMLOKLHJGFCT76CC,新五魁段,296.86,都市：住,,,,08800000
RPQNMLOKLHJGFCT76CC,新五魁段,10.63,都市：住,,,,08800001
RPPNMLMJMHJGFAT88CC,復興段,84.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08460000
RPPNMLKKMHJGFCT98CC,三星段,158.59,都市：住,,,,07040001
RPRNMLKKMHJGFCT56CC,新生段,115.48,都市：住,,,,09270001
RPPNMLLKMHJGFCT09CC,豐田段,202.18,都市：住,,,,01230000
RPQNMLMKMHJGFCT66CC,學人段,62.45,都市：住,,,,02040002
RPPNMLPKMHJGFCT86CC,東寧段,50.57,都市：住,,,,05020000
RPRNMLPKMHJGFCT07CC,壽比段,10.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09460000
RPPNMLRKMHJGFCT07CC,五魁寮段二小段,21.42,都市：住,,,,00320000
RPQNMLRKMHJGFCT17CC,上黎明段,47.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06530000
RPPNMLSKMHJGFAT96CC,新屏段,560.00,都市：工,,,,00690000
RPPNMLSKMHJGFCT17CC,榮田段,1395.68,都市：住,,,,10100000
RPRNMLNLMHJGFAT76CC,九和段,120.11,都市：住,,,,03350004
RPRNMLMLMHJGFAT66CC,新屏段,3707.00,都市：工,,,,00070000
RPPNMLRLMHJGFAT96CC,溝美段,6.20,都市：住,,,,10110002
RPPNMLRLMHJGFAT96CC,溝美段,6.18,都市：住,,,,10110001
RPPNMLRLMHJGFAT96CC,溝美段,6.19,都市：住,,,,10110000
RPPNMLKMMHJGFFT86CC,枋農段,94.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,00640000
RPQNMLMJNHJGFAT09CC,勝興段,10.17,都市：住,,,,03360000
RPPNMLTLMHJGFCT37CC,壽比段,19.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09460000
