編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKKHJGFAT66CC,坡道平面,0,,地下一樓
RPSNMLQLKHJGFAT96CC,一樓平面,0,,一樓
RPQNMLQLKHJGFCT96CC,一樓平面,0,,一樓
RPPNMLSJLHJGFCT96CC,一樓平面,0,,一樓
RPSNMLTKLHJGFCT47CC,一樓平面,0,,一樓
RPPNMLPKMHJGFCT86CC,一樓平面,0,,一樓
RPPNMLPKMHJGFAT66CC,坡道平面,0,,地下一樓
RPQNMLSJMHJGFAT96CC,坡道機械,0,15.91,地下一樓
RPQNMLNLMHJGFAT66CC,升降機械,0,,地下一樓
RPQNMLPLMHJGFAT86CC,坡道平面,0,28.36,地下一樓
RPPNMLRLMHJGFAT96CC,坡道平面,0,,地下一樓
RPPNMLKMMHJGFAT98CC,一樓平面,0,12.67,一樓
RPPNMLSJNHJGFAT96CC,坡道平面,0,24.01,地下一樓
