編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKLHJGFAV07CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPPNMLTKLHJGFAV07CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPNMLQLKHJGFAV76CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPPNMLQLKHJGFAV76CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPNMLTJMHJGFAV07CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPPNMLTJMHJGFAV07CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPNMLLJMHJGFAV88CB,興安段,117.03,都市：住,1,1,全筆移轉,03640005
RPPNMLQKLHJGFAV76CB,中清段,54.34,都市：住,10,1,持分移轉,02780000
RPQNMLTJMHJGFAV17CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPQNMLTJMHJGFAV17CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPSNMLTJMHJGFAV37CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPSNMLTJMHJGFAV37CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPRNMLTJMHJGFAV27CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPRNMLTJMHJGFAV27CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPQNMLQKLHJGFAV86CB,中清段,54.34,都市：住,10,1,持分移轉,02780000
RPPNMLQKMHJGFAV86CB,南榮段,25.98,都市：住,100000,702,持分移轉,10690000
RPPNMLQKMHJGFAV86CB,南榮段,9.76,都市：農,100000,702,持分移轉,10810000
RPQNMLQKMHJGFAV96CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPQNMLQKMHJGFAV96CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPQNMLQLMHJGFAV07CB,中清段,54.34,都市：住,10,1,持分移轉,02780000
RPPNMLLJNHJGFAV09DB,豐年段,45.95,都市：住,10000,1274,持分移轉,04590000
RPPNMLQLMHJGFAV96CB,中清段,54.34,都市：住,10,1,持分移轉,02780000
RPPNMLTJNHJGFAV17CB,台東段,27.29,都市：住,100000,2222,持分移轉,07990001
RPPNMLTJNHJGFAV17CB,台東段,15.29,都市：住,100000,2222,持分移轉,07990002
RPPNMLTJNHJGFAV17CB,馬蘭段,.40,都市：住,100000,2222,持分移轉,18700000
RPPNMLTJNHJGFAV17CB,馬蘭段,.13,都市：住,100000,2222,持分移轉,18710000
