鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
馬公市,租賃房屋,澎湖縣馬公市光復路５巷４弄３號５樓之１,0.0,,,,1130201,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661111,38.65,1,1,1,有,無,有,9000,233,,0.0,0,多人共同承租2；租金總額含水費；,RPPNMLNLKHJGFAX76CC,整棟(戶)出租,無,1130201~1140131,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,一般轉租
馬公市,租賃房屋,澎湖縣馬公市北辰街１７巷３-４號５樓,0.0,,,,1130210,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0730629,92.8,3,1,2,有,無,有,14000,151,,0.0,0,,RPPNMLPJLHJGFAX86CC,整棟(戶)出租,無,1130210~1140709,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
馬公市,租賃房屋,澎湖縣馬公市成功街１８巷８號,250.44,住,,,1130229,土地3建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701027,94.88,4,1,3,有,無,有,25000,263,,0.0,0,,RPQNMLQJLHJGFAX17DC,整棟(戶)出租,無,1130310~1140309,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
馬公市,租賃房屋,澎湖縣馬公市林森路１００巷２號,0.0,,,,1130315,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0661004,74.04,3,1,2,有,無,有,18000,243,,0.0,0,多人共同承租4；,RPPNMLOLLHJGFAX96CC,整棟(戶)出租,無,1130315~1140314,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,一般轉租
馬公市,租賃房屋,澎湖縣馬公市新生路３６號,0.0,,,,1130301,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0900918,7.0,6,1,7,有,無,有,9300,1329,,0.0,0,多人共同承租2；租金總額含水費；電費；瓦斯費；網路費；其他飲水機；含增建或未登記建物；,RPQNMLOLLHJGFAX07CC,分租套房,無,1130301~1140228,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市仁愛路１６-１號,0.0,,,,1130321,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0810409,15.0,3,0,3,有,無,有,6500,433,,0.0,0,租金總額含水費；,RPPNMLSJMHJGFAX27CC,分租套房,無,1130401~1140630,無,冷氣、熱水器、冰箱,一般轉租
馬公市,租賃房屋,澎湖縣馬公市仁愛路１６-１號,0.0,,,,1130326,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0810409,15.0,3,0,3,有,無,有,6600,440,,0.0,0,租金總額含水費；,RPQNMLSJMHJGFAX37CC,分租套房,無,1130401~1140630,無,冷氣、熱水器、冰箱,一般轉租
馬公市,租賃房屋,澎湖縣馬公市光華里８０號,0.0,,,,1130405,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1080327,33.1,10,1,11,有,無,有,10000,302,,0.0,0,多人共同承租2；租金總額含水費；電費；網路費；,RPPNMLSLMHJGFAX47CC,分租套房,無,1130505~1130904,無,冷氣、熱水器、洗衣機、冰箱、網路,一般轉租
馬公市,租賃房屋,澎湖縣馬公市四維路２２１號,0.0,,,,1130405,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0750605,103.59,3,1,2,有,無,有,19000,183,,0.0,0,多人共同承租4；,RPQNMLSLMHJGFAX57CC,整棟(戶)出租,無,1130405~1140404,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
