編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLQJLHJGFAX17DC,42,94.88,住家用,鋼筋混凝土加強磚造,70年10月27日,二層,,
RPPNMLNJNHJGFAX96DC,,71.60,住家用,造,,一層,,
RPQNMLNJNHJGFAX07DC,40,111.68,住家用,鋼筋混凝土加強磚造,72年11月17日,一層,,
RPRNMLNJNHJGFAX17DC,26,110.63,住家用,鋼筋混凝土造,87年9月25日,七層,,
RPPNMLSJMHJGFAX27CC,32,15.00,住商用,鋼筋混凝土造,81年4月9日,四層,,
RPQNMLSJMHJGFAX37CC,32,15.00,住商用,鋼筋混凝土造,81年4月9日,四層,,
RPQNMLOLLHJGFAX07CC,22,7.00,住商用,鋼筋混凝土造,90年9月18日,三層,,
RPQNMLSLMHJGFAX57CC,38,103.59,住家用,鋼筋混凝土加強磚造,75年6月5日,二層,,
RPPNMLOLLHJGFAX96CC,46,74.04,住家用,鋼筋混凝土加強磚造,66年10月4日,二層,,
RPPNMLSLMHJGFAX47CC,5,33.10,住家用,鋼筋混凝土造,108年3月27日,三層,,
RPPNMLTLMHJGFAX57CC,13,30.12,住家用,鋼筋混凝土造,99年11月5日,三層,,
RPPNMLPJLHJGFAX86CC,40,92.80,集合住宅,鋼筋混凝土造,73年6月29日,五層,,
RPPNMLNLKHJGFAX76CC,46,38.65,住家用,鋼筋混凝土加強磚造,66年11月11日,五層,,
