編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNKNHJGFBA47DB,升降機械,1900000,24.46,地下二樓
RPPNMLNKNHJGFDA47CB,坡道平面,3400000,38.57,地下二樓
RPQNMLNKNHJGFDA57CB,坡道平面,3300000,38.57,地下二樓
RPOOMLPKNHJGFDA67CB,坡道平面,3600000,33.76,地下四樓
RPPNMLPKNHJGFEA77CB,坡道平面,2800000,36.78,地下三樓
RPUNMLOKNHJGFBA87CB,升降機械,2400000,9.95,無固定樓層
RPQNMLPKNHJGFEA87CB,坡道平面,2900000,36.78,地下二樓
RPRNMLPKNHJGFEA97CB,坡道平面,3700000,37.77,地下二樓
RPRNMLPKNHJGFEA97CB,坡道平面,3700000,37.77,地下二樓
RPQNMLPKNHJGFFA97CB,坡道平面,4100000,22.78,地下三樓
RPPNMLQKNHJGFEA87CB,其他,2300000,13.50,地下二樓
RPPNMLRKNHJGFBA77DB,升降機械,1900000,24.46,地下三樓
RPSNMLPKNHJGFFA18CB,坡道平面,4000000,28.87,地下三樓
RPSNMLPKNHJGFFA18CB,坡道平面,4000000,28.87,地下三樓
RPTNMLPKNHJGFFA28CB,坡道平面,4800000,28.87,地下二樓
RPTNMLPKNHJGFFA28CB,坡道平面,4000000,28.87,地下三樓
RPPNMLSKNHJGFBA87DB,升降機械,1900000,24.46,地下三樓
RPPNMLTKNHJGFBA87CB,升降平面,2500000,35.54,地下三樓
RPPNMLTKNHJGFEA28DB,坡道平面,2800000,41.88,地下三樓
RPRNMLKLNHJGFDA47CB,坡道平面,3300000,38.57,地下二樓
RPPNMLKLNHJGFDA27CB,坡道平面,3300000,38.57,地下二樓
RPUNMLKLNHJGFDA77CB,坡道平面,3400000,38.57,地下二樓
RPWNMLKLNHJGFDA97CB,坡道平面,3150000,32.89,地下三樓
RPRPMLKLNHJGFDA67CB,坡道平面,3150000,38.57,地下二樓
RPUPMLKLNHJGFDA97CB,坡道平面,3700000,33.76,地下三樓
RPOPMLKLNHJGFDA37CB,坡道平面,3300000,32.89,地下三樓
RPVPMLKLNHJGFDA08CB,坡道平面,3400000,38.57,地下二樓
RPPNMLKLNHJGFBA17DB,升降機械,1900000,24.46,地下三樓
RPQNMLKLNHJGFEA57DB,升降機械,1900000,13.29,地下二樓
RPRNMLKLNHJGFEA67DB,升降機械,1900000,13.29,地下二樓
RPWNMLLLNHJGFBA87CB,塔式車位,2300000,14.19,
RPXNMLLLNHJGFBA97CB,坡道平面,4500000,37.97,地下五樓含以下
RPRNMLLLNHJGFCA47CB,坡道平面,2900000,36.68,地下三樓
RPOOMLLLNHJGFCA27CB,塔式車位,2400000,25.03,
RPQOMLLLNHJGFCA47CB,坡道平面,3700000,43.37,地下五樓含以下
RPQOMLLLNHJGFCA47CB,坡道平面,3700000,43.37,地下五樓含以下
RPQOMLLLNHJGFCA47CB,坡道平面,3300000,43.37,地下五樓含以下
RPPNMLLLNHJGFEA47CB,其他,2200000,13.12,地下二樓
RPTNMLMLNHJGFAA57CB,升降平面,2600000,38.17,地下三樓
RPUNMLMLNHJGFAA67CB,升降平面,2600000,38.17,地下三樓
RPSOMLMLNHJGFCA77CB,坡道平面,3250000,36.43,地下二樓
RPTOMLMLNHJGFCA87CB,坡道平面,3500000,36.43,地下一樓
RPTOMLMLNHJGFCA87CB,坡道平面,3500000,36.43,地下一樓
RPPNMLMLNHJGFCA37CB,升降機械,2000000,10.31,地下二樓
RPPNMLMLNHJGFDA47CB,坡道平面,6800000,38.32,地下三樓
RPPNMLMLNHJGFDA47CB,坡道平面,6800000,38.32,地下三樓
RPRNMLMLNHJGFDA67CB,坡道平面,6600000,38.32,地下三樓
RPRNMLMLNHJGFDA67CB,坡道平面,6600000,38.32,地下三樓
RPRNMLMLNHJGFDA67CB,坡道平面,6800000,38.32,地下三樓
RPQNMLMLNHJGFDA57CB,坡道平面,6800000,38.32,地下三樓
RPQNMLMLNHJGFDA57CB,坡道平面,6800000,38.32,地下三樓
RPSNMLMLNHJGFDA77CB,坡道平面,6800000,38.32,地下三樓
RPSNMLMLNHJGFDA77CB,坡道平面,6800000,38.32,地下三樓
RPSNMLMLNHJGFDA77CB,坡道平面,6800000,38.32,地下三樓
RPPNMLMLNHJGFEA57CB,坡道平面,3000000,35.27,地下四樓
RPPNMLMLNHJGFEA67DB,坡道平面,3300000,44.35,地下三樓
RPQNMLNLNHJGFBA47CB,升降機械,1500000,5.88,地下一樓
RPPNMLMLNHJGFFA67CB,坡道平面,3600000,44.96,地下三樓
RPQNMLNLNHJGFCA57CB,升降平面,2500000,33.51,地下二樓
RPXNMLNLNHJGFCA28CB,坡道平面,2100000,44.50,地下五樓含以下
RPQNMLNLNHJGFDA67CB,坡道平面,3800000,23.48,地下一樓
RPQNMLNLNHJGFFA87CB,坡道平面,4200000,24.63,地下一樓
RPPNMLNLNHJGFEA77DB,坡道平面,3300000,38.07,地下三樓
RPPNMLNLNHJGFEA77DB,坡道平面,3300000,38.07,地下三樓
RPSNMLOLNHJGFDA97CB,塔式車位,2500000,16.07,
RPXNMLOLNHJGFDA48CB,塔式車位,2600000,16.07,
RPWPMLPLNHJGFCA58CB,坡道平面,3700000,24.98,地下五樓含以下
RPUNMLPLNHJGFEA38CB,坡道平面,3300000,39.80,地下一樓
RPQQMLPLNHJGFCA08CB,坡道平面,4050000,24.98,地下四樓
RPOQMLPLNHJGFCA87CB,坡道平面,3600000,24.98,地下五樓含以下
RPPNMLPLNHJGFBA67DB,升降機械,1900000,24.46,地下三樓
RPXNMLPLNHJGFEA68CB,坡道平面,3050000,33.15,地下三樓
RPQNMLRLNHJGFBA87CB,塔式車位,2000000,11.67,
RPOOMLPLNHJGFEA87CB,坡道平面,2900000,30.50,地下三樓
RPSNMLRLNHJGFBA08CB,塔式車位,2200000,11.67,
RPPNMLRLNHJGFEA08CB,坡道平面,3000000,23.11,地下二樓
RPQNMLQLNHJGFEA08CB,坡道平面,3100000,33.15,地下三樓
RPQNMLRLNHJGFDA08CB,坡道平面,3300000,38.57,地下二樓
RPPNMLRLNHJGFDA97CB,坡道平面,3550000,38.57,地下一樓
RPPNMLRLNHJGFBA87DB,升降機械,1900000,24.46,地下二樓
RPPNMLSLNHJGFCA97CB,坡道平面,4600000,43.37,地下三樓
RPPNMLSLNHJGFCA97CB,坡道平面,3500000,43.37,地下四樓
RPPNMLSLNHJGFCA97CB,坡道平面,3900000,43.37,地下四樓
RPQNMLSLNHJGFCA08CB,升降平面,2850000,33.51,地下一樓
RPQNMLSLNHJGFCA08CB,升降平面,2850000,33.51,地下一樓
RPWNMLSLNHJGFCA68CB,坡道平面,3900000,24.98,地下五樓含以下
RPPNMLSLNHJGFDA08CB,坡道平面,3150000,32.89,地下三樓
RPTNMLSLNHJGFDA48CB,坡道平面,3200000,32.89,地下四樓
RPVNMLSLNHJGFDA68CB,坡道平面,3100000,32.89,地下四樓
RPRNMLSLNHJGFDA28CB,坡道平面,3100000,32.89,地下四樓
RPWNMLSLNHJGFDA78CB,坡道平面,3450000,32.89,地下二樓
RPXNMLSLNHJGFDA88CB,坡道平面,3500000,32.89,地下二樓
RPPOMLSLNHJGFDA18CB,坡道平面,3050000,32.89,地下四樓
RPOOMLSLNHJGFDA08CB,坡道平面,3200000,32.89,地下三樓
RPSOMLSLNHJGFDA48CB,坡道平面,3200000,32.89,地下四樓
RPROMLSLNHJGFDA38CB,坡道平面,3050000,32.89,地下四樓
RPXOMLSLNHJGFDA98CB,坡道平面,2470000,20.76,地下一樓
RPOPMLSLNHJGFDA18CB,坡道平面,2570000,23.48,地下一樓
RPOPMLSLNHJGFDA18CB,坡道平面,2660000,23.48,地下一樓
RPUOMLSLNHJGFDA68CB,坡道平面,3000000,32.89,地下五樓含以下
RPVOMLSLNHJGFDA78CB,坡道平面,3200000,32.89,地下三樓
RPRNMLSLNHJGFEA38CB,坡道機械,1900000,16.69,地下五樓含以下
RPUNMLSLNHJGFEA68CB,坡道機械,2000000,16.69,地下五樓含以下
RPSNMLTLNHJGFAA18CB,坡道平面,4200000,42.51,地下二樓
RPRNMLTLNHJGFAA08CB,坡道平面,2700000,40.42,地下四樓
RPTNMLTLNHJGFAA28CB,坡道平面,3750000,42.51,地下三樓
RPVNMLTLNHJGFAA48CB,坡道平面,3850000,42.51,地下三樓
RPUNMLTLNHJGFAA38CB,坡道平面,3900000,42.51,地下三樓
RPSNMLTLNHJGFCA38CB,其他,2300000,12.40,地下四樓
RPRNMLTLNHJGFCA28CB,其他,2300000,12.40,地下四樓
RPWNMLTLNHJGFAA58CB,坡道平面,3700000,42.51,地下四樓
