編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLKNHJGFCA77CC,碧湖段三小段,17.87,都市：住,,,,01540000
RPUNMLLKNHJGFCA77CC,碧湖段三小段,.01,都市：其他:道路用地(公共設施用地),,,,01540006
RPTNMLLKNHJGFCA67CC,東湖段六小段,16.40,都市：住,,,,01500000
RPPNMLMKNHJGFDA47CC,南港段二小段,22.50,都市：住,,,,01420000
RPPNMLNKNHJGFCA47CC,康寧段三小段,27.81,都市：住,,,,03560000
RPTNMLNKNHJGFCA87CC,長春段二小段,.00,都市：商,,,,00080000
RPSNMLNKNHJGFFA08CC,復興段二小段,13.09,都市：其他:敦化南北路特定專用區,,,,00020000
RPSNMLNKNHJGFFA08CC,復興段二小段,.36,都市：其他:道路用地,,,,00020001
RPSNMLNKNHJGFFA08CC,復興段二小段,9.09,都市：其他:敦化南北路特定專用區,,,,00020002
RPRNMLOKNHJGFDA87CC,福德段三小段,.00,都市：商,,,,03270000
RPQNMLOKNHJGFDA77CC,民生段,.00,都市：商,,,,00440000
RPTQMLOKNHJGFCA28CC,長春段一小段,.00,都市：商,,,,08490000
RPVNMLOKNHJGFEA38CC,溫泉段四小段,17.11,都市：住,,,,02920000
RPVNMLOKNHJGFEA38CC,溫泉段四小段,1.10,都市：住,,,,02930001
RPROMLOKNHJGFDA97CC,逸仙段三小段,.00,都市：商,,,,07190000
RPQOMLOKNHJGFDA87CC,逸仙段三小段,.00,都市：商,,,,07190000
RPOOMLOKNHJGFDA67CC,寶清段六小段,.00,都市：商,,,,02620000
RPRQMLPKNHJGFCA18CC,康寧段二小段,30.62,都市：住,,,,02220000
RPTNMLPKNHJGFDA18CC,三興段一小段,.00,都市：商,,,,09480000
RPUNMLPKNHJGFDA28CC,信義段五小段,36.75,都市：住,,,,00330002
RPQNMLPKNHJGFEA97CC,溫泉段二小段,1.19,都市：住,,,,00590000
RPRNMLPKNHJGFFA18CC,金華段三小段,13.45,都市：住,,,,04220000
RPPNMLPKNHJGFDA87DC,祥和段四小段,238.00,都市：其他:空白,,,,04940019
RPSNMLQKNHJGFDA18CC,美仁段二小段,10.12,都市：商,,,,00160000
RPPNMLRKNHJGFCA87CC,西湖段四小段,.00,都市：工,,,,01240000
RPQNMLSKNHJGFAA87CC,河堤段四小段,.43,都市：住,,,,04570000
RPQNMLSKNHJGFAA87CC,河堤段四小段,26.19,都市：住,,,,04580000
RPRNMLSKNHJGFAA97CC,河堤段六小段,4.88,都市：住,,,,02440000
RPSNMLSKNHJGFCA28CC,東湖段三小段,21.00,都市：住,,,,00040000
RPRNMLTKNHJGFCA28CC,正義段三小段,4.79,都市：商,,,,06370000
RPVNMLRKNHJGFCA48CC,西湖段四小段,.00,都市：工,,,,01510000
RPPNMLTKNHJGFEA28CC,立農段五小段,21.45,都市：住,,,,05330000
RPUNMLSKNHJGFCA58DC,康寧段三小段,38.78,都市：商,,,,02720000
RPUNMLSKNHJGFCA58DC,康寧段三小段,57.64,都市：住,,,,02780000
