編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKNHJGFAB27CC,13,90.62,集合住宅,鋼筋混凝土造,100年1月5日,十五層,,
RPPNMLMKNHJGFAB27CC,13,18.43,本共有部分之項目有Ａ～Ｈ梯梯間排煙室、Ａ～Ｈ水箱、機械室、Ａ～Ｈ梯梯間等四項。,鋼筋混凝土造,100年1月5日,十五層,,
RPPNMLMKNHJGFAB27CC,13,18.22,本共有部分之項目有停車空間、Ａ～Ｈ水箱、污水機房、緊急發電室、Ａ～Ｈ梯梯間排煙室、防空避難室兼停車空間、台電配電室Ａ、消防幫浦室、台電配電室Ｂ、管理委員會使用空間（大廳、交誼室、遊戲室、資源回收室）、梯廳、基地內通路、雨遮、頂蓋型廣場式開放空間等十四項。,鋼筋混凝土造,100年1月5日,十五層,,
RPRNMLLKNHJGFAB37CC,30,481.08,商業用,鋼筋混凝土造,83年6月22日,八層,,
RPRNMLLKNHJGFAB37CC,30,426.26,商業用,鋼筋混凝土造,83年6月22日,八層,,
RPRNMLLKNHJGFAB37CC,30,278.03,住商用,鋼筋混凝土造,83年6月22日,八層,,
RPRNMLLKNHJGFAB37CC,30,153.77,住商用,鋼筋混凝土造,83年6月22日,八層,,
RPPNMLMKNHJGFCB47CC,6,48.54,集合住宅,鋼筋混凝土造,107年1月29日,十二層,,
RPPNMLMKNHJGFCB47CC,6,15.62,本共有部份係依使用執照之建築概要表記載項目有：管委會使用空間、行動不便電梯、電梯、樓梯間、排煙室、梯廳、門廳、緊急升降電梯、外廊、管道間、水錶室、機械室、子母水箱等１３項。,鋼筋混凝土造,107年1月29日,十二層,,
RPPNMLMKNHJGFCB47CC,6,40.15,本共有部份係依使用執照之建築概要表記載項目有：梯廳、停車空間、消防機房、樓梯間、行動不便電梯、電梯、雨水汙水機械室、水箱、車道、陸上型揚水泵、泳池水箱、機械室、電信室、機房、防空避難室兼停車空間、機車停車空間、垃圾集中室、台電配電室、電錶室、受電室、發電機室等２１項。,鋼筋混凝土造,107年1月29日,十二層,,
RPQNMLMKNHJGFCB57CC,15,41.83,住家用,鋼筋混凝土造,98年8月13日,二十六層,,
RPQNMLMKNHJGFCB57CC,15,22.44,共有,鋼筋混凝土造,98年8月13日,二十六層,,
RPQNMLMKNHJGFCB57CC,15,16.44,共有,鋼筋混凝土造,98年8月13日,二十六層,,
RPSNMLMKNHJGFCB77CC,20,262.94,機械室、停車空間、住宅、水塔間、蓄水池間,鋼筋混凝土造,92年11月11日,四層,,
RPTNMLMKNHJGFCB87CC,4,54.08,集合住宅,鋼筋混凝土造,109年6月19日,十五層,,
RPQNMLMKNHJGFAB37CC,18,59.25,集合住宅,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFAB37CC,18,63.95,集合住宅,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFAB37CC,18,1.43,社區中心,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFAB37CC,18,58.21,共用,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFAB37CC,18,40.54,共用,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFAB37CC,18,7.82,共用,鋼筋混凝土造,95年5月1日,十四層,,
RPQNMLMKNHJGFFB87CC,4,78.20,集合住宅,鋼筋混凝土造,109年7月24日,十五層,,
RPPNMLMKNHJGFFB77CC,3,56.11,集合住宅,鋼筋混凝土造,110年7月17日,十五層,,
RPPNMLLKNHJGFBB27CC,28,36.28,住家用,鋼筋混凝土造,85年7月15日,十四層,,
RPPNMLLKNHJGFBB27CC,28,12.54,共有部份,鋼筋混凝土造,85年7月15日,十四層,,
RPSNMLMKNHJGFBB67CC,20,87.04,住家用,ＲＣ造,93年9月3日,十四層,,
RPPNMLLKNHJGFBB27CC,28,9.15,共有部份,鋼筋混凝土造,85年7月15日,十四層,,
RPSNMLMKNHJGFBB67CC,20,30.94,共有部份,ＲＣ造,93年9月3日,十四層,,
RPQNMLMKNHJGFBB47CC,27,72.47,住家用,鋼筋混凝土造,85年12月10日,十六層,,
RPRNMLMKNHJGFBB57CC,11,67.28,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPQNMLMKNHJGFBB47CC,28,19.15,共有部份,鋼筋混凝土造,85年5月24日,十六層,,
RPRNMLMKNHJGFBB57CC,11,18.08,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPQNMLMKNHJGFBB47CC,27,1.47,共有部份,鋼筋混凝土造,85年12月10日,三層,,
RPRNMLMKNHJGFBB57CC,11,28.03,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPUNMLMKNHJGFBB87CC,18,59.92,住家用,鋼筋混凝土造,94年12月8日,十八層,,
RPUNMLMKNHJGFBB87CC,18,51.95,共有部份,鋼筋混凝土造,94年12月8日,十八層,,
RPTNMLMKNHJGFBB77CC,18,15.94,共有部份,鋼筋混凝土造,94年12月8日,十八層,,
RPPNMLMKNHJGFBB37CC,29,126.30,住商用,鋼筋混凝土造,84年2月23日,四層,,
RPPNMLMKNHJGFBB37CC,29,12.12,住商用,鋼筋混凝土造,84年2月23日,五層,,
RPQNMLNKNHJGFAB47CC,31,25.70,集合住宅,鋼筋混凝土造,82年3月31日,十三層,,
RPQNMLNKNHJGFAB47CC,31,8.64,人行道，梯間，機房，水箱，受電室，消防水箱，機械室，清水池,鋼筋混凝土造,82年3月31日,十三層,,
RPPNMLNKNHJGFAB37CC,36,192.86,住商用,鋼筋混凝土造,77年9月29日,五層,,
RPQNMLLKNHJGFBB37CC,5,50.21,集合住宅,鋼筋混凝土造,108年5月13日,二十一層,,
