編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKNHJGFAD37CC,,43.32,住家用,磚造,,一層,,
RPQNMLLKNHJGFAD47CC,4,233.17,住家用,鋼筋混凝土構造,108年11月13日,四層,,
RPQNMLNKNHJGFAD67CC,35,30.08,住家用,鋼筋混凝土造,78年10月2日,十二層,,
RPQNMLNKNHJGFAD67CC,35,7.34,共有部分,鋼筋混凝土造,78年10月2日,十二層,,
RPPNMLNKNHJGFAD57CC,33,16.64,住家用,鋼筋混凝土造,80年2月9日,九層,,
RPPNMLNKNHJGFAD57CC,33,8.94,共有部分,鋼筋混凝土造,80年2月9日,九層,,
RPTNMLNKNHJGFAD97CC,7,59.59,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,,
RPTNMLNKNHJGFAD97CC,7,28.79,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPUNMLNKNHJGFAD08CC,30,93.39,住家用,鋼筋混凝土造,83年7月22日,八層,,
RPUNMLNKNHJGFAD08CC,30,44.42,共有部分,鋼筋混凝土造,83年7月22日,八層,,
RPVNMLNKNHJGFAD18CC,55,61.37,住家用,加強磚造,58年9月16日,二層,,
RPWNMLNKNHJGFAD28CC,19,41.20,集合住宅,ＲＣ造,94年9月17日,七層,,
RPWNMLNKNHJGFAD28CC,19,12.92,共有部分,ＲＣ造,94年9月17日,七層,,
RPWNMLNKNHJGFAD28CC,19,4.56,共有部分,ＲＣ造,94年9月17日,七層,,
RPXNMLNKNHJGFAD38CC,31,19.34,住家用,鋼筋混凝土造,82年9月11日,七層,,
RPXNMLNKNHJGFAD38CC,31,6.89,共有部分,鋼筋混凝土造,82年9月11日,七層,,
RPOOMLNKNHJGFAD57CC,31,26.91,住家用,鋼筋混凝土造,81年12月22日,六層,,
RPOOMLNKNHJGFAD57CC,31,5.34,共有部分,鋼筋混凝土造,81年12月22日,六層,,
RPOOMLNKNHJGFAD57CC,31,6.44,共有部分,鋼筋混凝土造,81年12月22日,六層,,
RPPOMLNKNHJGFAD67CC,6,157.24,集合住宅,鋼筋混凝土構造,107年1月25日,二十九層,,
RPPOMLNKNHJGFAD67CC,6,101.16,本共有部分之項目有：公共服務空間、車道、門廊、外廊、樓梯間、管理委員會使用空間、防空避難室兼停車空間、停車空間、機械室、水箱、梯廳、防災中心、出入口緩衝空間、排煙室、消防水箱。,鋼筋混凝土構造,107年1月25日,二十九層,,
RPQOMLNKNHJGFAD77CC,46,51.92,住商用,鋼筋混凝土造,67年1月19日,五層,,
RPPNMLMKNHJGFKD48CC,17,50.63,住商用,鋼筋混凝土造,96年7月18日,四層,,
RPPNMLNKNHJGFBD67CC,31,163.64,住商用,鋼筋混凝土造,82年4月1日,三層,,
RPRNMLNKNHJGFBD87CC,9,170.37,住家用,鋼筋混凝土造,104年10月5日,三層,,
RPRNMLLKNHJGFBD67CC,3,55.22,集合住宅,鋼筋混凝土造,107年5月17日,五層,,
RPPNMLLKNHJGFBD47CC,1,86.39,集合住宅,鋼筋混凝土造,111年3月4日,十七層,,
RPQNMLNKNHJGFBD77CC,43,90.97,集合住宅,鋼筋混凝土造,70年9月7日,四層,,
