鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
前鎮區,車位,高雄市前鎮區翠亨北路３９９巷８號二樓等共用部分,1.87,商,,,1130902,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,14.98,0,0,0,無,有,2000000,,坡道平面,14.98,2000000,僅車位交易；,RPPNMLLJRHJGFCE87DA,0.0,0.0,0.0,有,
內門區,土地,木柵段463-2地號,3808.0,,山坡地保育區,農牧用地,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,118,,0.0,0,,RPPNMLNJQHJGFHE48DA,0.0,0.0,0.0,無,00001
楠梓區,土地,土庫段三小段743-3地號,115.0,住,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13160000,114435,,0.0,0,,RPROMLQJQHJGFEE78DA,0.0,0.0,0.0,無,
橋頭區,土地,橋北段41地號,3523.0,住,,,1130802,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,365000000,103605,,0.0,0,,RPPNMLSJQHJGFFE88EA,0.0,0.0,0.0,無,00002
左營區,土地,新庄段六小段806-1地號,146.0,都市：其他:道路用地,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8920600,61100,,0.0,0,包含公共設施保留地用地；,RPXNMLSJQHJGFEE86DA,0.0,0.0,0.0,無,
彌陀區,土地,仁壽段212地號,189.25,,,,1130807,土地9建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3434400,18147,,0.0,0,,RPVOMLPJQHJGFFE56DA,0.0,0.0,0.0,無,
左營區,房地(土地+建物)+車位,高雄市左營區緯六路２２１號十四樓之２,36.07,住,,,1130801,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991209,179.07999999999998,3,2,2,有,有,11400000,63659,坡道平面,0.0,0,,RPQNMLRJQHJGFEE78EA,101.39,0.0,8.49,有,
旗山區,土地,新大林段1002地號,372.32,,鄉村區,乙種建築用地,1130802,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,2149,,0.0,0,,RPQNMLTJQHJGFHE56DA,0.0,0.0,0.0,無,
大寮區,土地,黃厝段883地號,242.98,農,,,1130802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2352024,9680,,0.0,0,未登記建物；,RPPNMLSJQHJGFLE76DA,0.0,0.0,0.0,無,00003
茄萣區,土地,崎漏段618地號,4382.0,住,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,175000000,39936,,0.0,0,,RPQNMLSJQHJGFJE76EA,0.0,0.0,0.0,無,00004
苓雅區,房地(土地+建物),高雄市苓雅區永昌街７４號,44.0,商,,,1130805,土地1建物1車位0,全,三層,透天厝,,加強磚造,0501231,131.85,4,1,2,有,無,9800000,74327,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPTNMLLKQHJGFBE18DA,131.85,0.0,0.0,無,00005
