編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKNHJGFAE57CB,坡道平面,1850000,23.59,地下四樓
RPRNMLLKNHJGFAE57CB,坡道平面,2100000,28.31,地下四樓
RPQNMLMKNHJGFEE97CB,坡道機械,1550000,12.90,地下三樓
RPPNMLNKNHJGFAE57CB,坡道平面,1830000,15.04,地下四樓
RPPNMLNKNHJGFEE97CB,坡道機械,1650000,12.90,地下三樓
RPSNMLMKNHJGFEE18CB,坡道機械,1650000,12.90,地下三樓
RPXNMLNKNHJGFLE86CB,坡道平面,1300000,22.50,地下三樓
RPQNMLOKNHJGFEE18CB,坡道平面,1900000,18.21,地下三樓
RPTNMLOKNHJGFGE68CB,坡道平面,1950000,15.63,地下三樓
RPSNMLOKNHJGFEE38CB,坡道機械,900000,9.76,地下四樓
RPWNMLOKNHJGFGE98CB,坡道平面,2150000,15.63,地下一樓
RPRNMLOKNHJGFGE48CB,坡道平面,1950000,15.63,地下三樓
RPTNMLOKNHJGFEE48CB,坡道機械,900000,9.76,地下四樓
RPROMLOKNHJGFGE58CB,坡道平面,1700000,15.53,地下三樓
RPXNMLOKNHJGFGE09CB,坡道平面,203000,14.51,地下一樓
RPRNMLOKNHJGFIE68CB,坡道平面,2100000,21.46,地下一樓
RPQOMLOKNHJGFGE48CB,坡道平面,1700000,15.53,地下三樓
RPUNMLOKNHJGFIE98CB,坡道平面,2000000,21.46,地下二樓
RPSNMLPKNHJGFFE58CB,坡道平面,2000000,27.46,地下一樓
RPVNMLOKNHJGFIE09CB,坡道平面,2000000,21.46,地下二樓
RPTNMLOKNHJGFIE88CB,坡道平面,2000000,21.46,地下二樓
RPXNMLOKNHJGFIE66CB,坡道平面,1600000,22.40,地下一樓
RPXNMLOKNHJGFIE66CB,坡道平面,1600000,22.40,地下二樓
RPUNMLPKNHJGFFE78CB,坡道機械,1250000,7.03,地下一樓
RPTNMLPKNHJGFFE68CB,坡道機械,1250000,7.03,地下一樓
RPQNMLPKNHJGFFE38CB,坡道平面,1800000,19.08,地下一樓
RPVNMLPKNHJGFFE88CB,坡道機械,1300000,11.50,地下三樓
RPPNMLQKNHJGFDE18CB,坡道平面,2600000,21.06,地下一樓
RPQNMLQKNHJGFDE28CB,坡道平面,2400000,21.06,地下二樓
RPWNMLPKNHJGFFE98CB,坡道機械,1300000,11.50,地下三樓
RPWOMLQKNHJGFDE98CB,坡道平面,2200000,22.95,地下三樓
RPSPMLQKNHJGFDE68CB,坡道平面,1400000,27.60,地下三樓
RPXOMLQKNHJGFDE09CB,坡道機械,1250000,15.64,地下五樓含以下
RPTPMLQKNHJGFDE78CB,坡道平面,1500000,27.60,地下二樓
RPRPMLQKNHJGFDE58CB,坡道平面,1500000,27.60,地下二樓
RPSNMLQKNHJGFAE18CB,坡道平面,1900000,14.99,地下四樓
RPSNMLQKNHJGFGE78CB,坡道平面,1600000,39.15,地下二樓
RPTNMLQKNHJGFGE88CB,坡道機械,850000,16.71,地下四樓
RPUOMLRKNHJGFAE58CB,坡道平面,2500000,13.92,地下五樓含以下
RPVOMLRKNHJGFAE68CB,坡道平面,3300000,12.70,地下二樓
RPVOMLRKNHJGFAE68CB,坡道平面,2800000,13.92,地下五樓含以下
RPSPMLRKNHJGFAE48CB,坡道機械,1250000,5.89,地下五樓含以下
RPPNMLRKNHJGFDE28CB,坡道平面,2340000,18.50,地下一樓
RPOQMLRKNHJGFAE18CB,坡道平面,1900000,15.22,地下五樓含以下
RPQOMLRKNHJGFEE58CB,坡道平面,2450000,26.50,地下二樓
RPSOMLRKNHJGFEE78CB,升降機械,1450000,,一樓
RPSPMLRKNHJGFEE88CB,坡道平面,2250000,25.50,地下三樓
RPQOMLRKNHJGFFE78DB,升降機械,400000,23.17,地下一樓
RPROMLRKNHJGFFE88DB,升降機械,400000,23.17,地下一樓
RPSOMLRKNHJGFFE98DB,一樓平面,2000000,31.37,一樓
RPWOMLRKNHJGFFE76DB,升降機械,500000,23.17,地下一樓
RPPNMLSKNHJGFAE08CB,坡道平面,3300000,13.92,地下三樓
RPXOMLRKNHJGFFE86DB,升降機械,650000,23.17,地下一樓
RPPPMLRKNHJGFFE78DB,升降平面,1050000,31.37,地下一樓
RPVOMLSKNHJGFAE78CB,坡道平面,2700000,12.70,地下五樓含以下
RPUOMLSKNHJGFAE68CB,坡道平面,3400000,13.92,地下二樓
RPUOMLSKNHJGFAE68CB,坡道平面,3000000,13.92,地下四樓
RPPOMLSKNHJGFAE18CB,坡道平面,1900000,15.22,地下五樓含以下
RPXNMLSKNHJGFEE66CB,坡道平面,2650000,15.46,地下一樓
RPUNMLTKNHJGFAE68CB,坡道平面,2000000,15.22,地下四樓
RPSOMLTKNHJGFAE58CB,坡道平面,1900000,15.22,地下五樓含以下
RPPNMLTKNHJGFAE18CB,坡道平面,1900000,15.22,地下五樓含以下
RPVNMLTKNHJGFAE78CB,坡道機械,1250000,5.89,地下五樓含以下
RPOOMLTKNHJGFAE18CB,坡道機械,1250000,5.62,地下五樓含以下
RPROMLTKNHJGFAE48CB,坡道機械,1250000,5.62,地下五樓含以下
RPQNMLTKNHJGFBE38CB,升降平面,1300000,26.65,地下三樓
RPTOMLTKNHJGFAE68CB,坡道平面,2000000,15.22,地下四樓
RPQNMLKLNHJGFAE47CB,坡道平面,2400000,15.22,地下二樓
RPTNMLKLNHJGFAE77CB,坡道平面,2250000,15.22,地下二樓
RPUNMLKLNHJGFAE87CB,坡道機械,1150000,5.89,地下五樓含以下
RPVNMLKLNHJGFAE97CB,坡道平面,2150000,15.22,地下三樓
RPWOMLKLNHJGFAE18CB,坡道平面,2100000,28.10,地下二樓
RPSOMLKLNHJGFAE77CB,坡道平面,1800000,15.22,地下五樓含以下
RPTOMLKLNHJGFAE87CB,坡道平面,2250000,15.22,地下二樓
RPUOMLKLNHJGFAE97CB,坡道平面,2250000,15.22,地下二樓
RPXOMLKLNHJGFAE28CB,坡道平面,2000000,15.22,地下四樓
RPPPMLKLNHJGFAE57CB,坡道機械,1250000,5.89,地下五樓含以下
RPOPMLKLNHJGFAE47CB,坡道平面,2000000,15.22,地下四樓
RPTPMLKLNHJGFAE97CB,坡道平面,2150000,23.59,地下二樓
RPTPMLKLNHJGFAE97CB,坡道平面,2050000,21.23,地下二樓
RPWNMLKLNHJGFCE28CB,坡道平面,1700000,17.15,地下三樓
RPXPMLKLNHJGFAE38CB,坡道平面,1800000,15.22,地下五樓含以下
RPXNMLKLNHJGFCE38CB,坡道平面,1900000,17.15,地下一樓
RPVPMLKLNHJGFAE18CB,坡道平面,1800000,15.22,地下五樓含以下
RPPNMLKLNHJGFDE67CB,坡道平面,1900000,22.95,地下五樓含以下
RPQNMLKLNHJGFDE77CB,坡道平面,2000000,22.95,地下五樓含以下
RPSNMLKLNHJGFEE08CB,坡道平面,1900000,18.21,地下三樓
RPTNMLKLNHJGFEE18CB,坡道平面,2000000,18.21,地下二樓
RPUNMLKLNHJGFEE28CB,坡道平面,1800000,18.21,地下四樓
RPRNMLKLNHJGFDE87CB,坡道機械,1250000,15.64,地下五樓含以下
RPVNMLKLNHJGFEE38CB,坡道平面,2100000,18.21,地下一樓
RPXNMLKLNHJGFEE58CB,坡道平面,2000000,18.21,地下二樓
RPWNMLKLNHJGFEE48CB,坡道機械,900000,9.76,地下四樓
RPPOMLKLNHJGFEE87CB,坡道機械,1500000,12.16,地下三樓
RPRNMLKLNHJGFGE18CB,坡道平面,1930000,14.51,地下二樓
RPQNMLKLNHJGFGE08CB,坡道平面,1950000,15.63,地下三樓
RPSNMLKLNHJGFIE48CB,坡道平面,1900000,21.46,地下三樓
RPTNMLKLNHJGFIE58CB,坡道平面,2000000,21.46,地下二樓
RPRNMLKLNHJGFFE18DB,升降機械,400000,23.17,地下一樓
RPUNMLKLNHJGFFE48DB,一樓平面,2000000,31.37,一樓
RPQNMLKLNHJGFFE08DB,升降機械,500000,23.17,地下一樓
RPTNMLKLNHJGFFE38DB,一樓平面,1900000,30.28,一樓
RPVNMLKLNHJGFFE58DB,一樓平面,2100000,38.64,一樓
RPXNMLLLNHJGFAE28CB,坡道平面,1950000,23.59,地下三樓
RPXNMLLLNHJGFAE28CB,坡道平面,1950000,23.59,地下三樓
RPVNMLLLNHJGFAE08CB,坡道平面,1800000,13.99,地下五樓含以下
RPUNMLLLNHJGFAE97CB,坡道平面,2000000,15.22,地下四樓
RPWNMLLLNHJGFAE18CB,坡道機械,1150000,5.89,地下五樓含以下
RPTNMLLLNHJGFAE87CB,坡道平面,2250000,15.22,地下二樓
RPOOMLLLNHJGFAE47CB,坡道平面,2000000,15.22,地下四樓
RPVOMLLLNHJGFAE18CB,坡道平面,1950000,23.59,地下三樓
RPVOMLLLNHJGFAE18CB,坡道平面,1950000,23.59,地下三樓
RPQOMLLLNHJGFAE67CB,坡道平面,2250000,15.22,地下二樓
RPXOMLLLNHJGFAE38CB,坡道平面,2050000,13.99,地下三樓
RPWOMLLLNHJGFAE28CB,坡道平面,1900000,15.22,地下五樓含以下
RPOPMLLLNHJGFAE57CB,坡道平面,2400000,15.22,地下二樓
RPSNMLLLNHJGFBE87CB,坡道平面,1900000,22.55,地下五樓含以下
RPQPMLLLNHJGFAE77CB,坡道平面,2000000,15.22,地下四樓
RPPNMLLLNHJGFBE57CB,坡道機械,1200000,11.27,地下五樓含以下
RPTNMLLLNHJGFBE97CB,坡道平面,2300000,22.55,地下一樓
RPUNMLLLNHJGFBE08CB,坡道機械,1200000,11.27,地下五樓含以下
