編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOKNHJGFAG08CC,26,79.09,住家用,鋼筋混凝土造,87年5月28日,六層,,
RPQNMLNKNHJGFAG97CC,46,102.46,住家用,鋼筋混凝土加強磚造,67年3月8日,二層,,
RPQNMLOKNHJGFAG08CC,26,27.42,停車場、梯間﹙共同使用部份﹚,鋼筋混凝土造,87年5月28日,六層,,
RPPNMLNKNHJGFAG87CC,18,28.58,住宅．店舖,鋼筋混凝土造,95年6月13日,三層,,
RPPNMLOKNHJGFAG97CC,30,153.16,住家用,鋼筋混凝土造,82年11月17日,三層,,
RPRNMLOKNHJGFAG18CC,42,104.62,住家用,鋼筋混凝土加強磚造,70年12月24日,二層,,
RPTNMLOKNHJGFAG38CC,31,102.32,住家用,鋼筋混凝土造,82年6月29日,六層,,
RPTNMLOKNHJGFAG38CC,31,3.06,共有部份,鋼筋混凝土造,82年6月29日,六層,,
RPSNMLOKNHJGFAG28CC,28,84.47,住家用,鋼筋混凝土造,85年3月20日,五層,,
RPSNMLOKNHJGFAG28CC,28,3.77,屋頂突出物（共同使用部份）,鋼筋混凝土造,85年3月20日,五層,,
RPSNMLOKNHJGFAG28CC,28,9.40,停車場、共同使用部份,鋼筋混凝土造,85年3月20日,五層,,
RPUNMLOKNHJGFAG48CC,43,155.41,住家用,鋼筋混凝土加強磚造,70年10月15日,二層,,
RPVNMLOKNHJGFAG58CC,8,172.36,農舍、樓梯間,ＲＣ造,105年5月27日,二層,,
RPPNMLNKNHJGFBG97CC,33,137.97,住家用,鋼筋混凝土造,80年5月22日,五層,,
RPPNMLNKNHJGFBG97CC,,2.70,共有部份,,,,,
RPPNMLLKNHJGFBG77CC,8,17.00,店舖、住宅、樓梯間,鋼筋混凝土造,105年1月30日,三層,,
RPQNMLNKNHJGFBG08CC,29,60.51,住家用,鋼筋混凝土造,84年4月10日,八層,,
RPRNMLNKNHJGFBG18CC,8,51.95,集合住宅,鋼筋混凝土造,105年10月6日,十六層,,
RPTNMLNKNHJGFBG38CC,,150.07,住家用,,,三層,,
RPQNMLNKNHJGFBG08CC,29,14.02,共有部份,鋼筋混凝土造,84年4月10日,八層,,
RPRNMLNKNHJGFBG18CC,8,38.62,共用部分之項目有：停車空間、公共服務空間、樓電梯間、梯廳兼排煙室、中繼機房、樓梯間、水箱、機房等８項。,鋼筋混凝土造,105年10月6日,十六層,,
RPQNMLNKNHJGFBG08CC,29,12.87,共有部份,鋼筋混凝土造,84年4月10日,八層,,
RPSNMLNKNHJGFBG28CC,13,108.50,集合住宅,鋼筋混凝土造,100年4月13日,七層,,
RPSNMLNKNHJGFBG28CC,13,73.43,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、電梯機房、水箱等４項。,鋼筋混凝土造,100年4月13日,七層,,
RPRNMLPKNHJGFBG38CC,13,107.93,集合住宅,鋼筋混凝土造,100年4月15日,九層,,
RPSNMLPKNHJGFBG48CC,46,99.92,住家用,鋼筋混凝土加強磚造,67年6月23日,二層,,
RPRNMLPKNHJGFBG38CC,13,71.82,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、電梯機房、水箱等４項。,鋼筋混凝土造,100年4月15日,九層,,
RPTNMLPKNHJGFBG58CC,27,106.48,住家用,鋼筋混凝土造,86年1月15日,五層,,
RPTNMLPKNHJGFBG58CC,27,14.83,共有部份,鋼筋混凝土造,86年1月15日,五層,,
RPUNMLPKNHJGFBG68CC,1,31.81,集合住宅,鋼筋混凝土造,111年12月23日,四層,,
RPUNMLPKNHJGFBG68CC,1,17.52,本共有部分之項目有：停車空間、樓梯間等２項,鋼筋混凝土造,111年12月23日,四層,,
RPPNMLQKNHJGFBG28CC,26,70.70,住家用,鋼筋混凝土造,86年12月26日,十三層,,
RPPNMLQKNHJGFBG28CC,26,9.14,共有部份,鋼筋混凝土造,86年12月26日,十三層,,
RPPNMLQKNHJGFBG28CC,26,11.80,共有部份,鋼筋混凝土造,86年12月26日,十三層,,
RPPNMLQKNHJGFBG28CC,26,9.11,共有部份,鋼筋混凝土造,86年12月26日,十三層,,
RPPNMLQKNHJGFBG28CC,26,13.57,共有部份,鋼筋混凝土造,86年12月26日,十三層,,
RPUNMLPKNHJGFAG58CC,50,99.90,住家用,鋼筋混凝土加強磚造,63年7月2日,二層,,
RPQNMLPKNHJGFAG18CC,27,33.59,住家用,鋼筋混凝土造,86年8月25日,十二層,,
RPVNMLPKNHJGFAG68CC,29,69.43,住家用,鋼筋混凝土造,84年8月10日,七層,,
RPQNMLPKNHJGFAG18CC,27,6.69,防空避難室、梯間﹙機械室、水箱、通道﹚．共同使用部份,鋼筋混凝土造,86年8月25日,十二層,,
RPVNMLPKNHJGFAG68CC,29,12.79,防空避難室、儲藏室、共同使用部份,鋼筋混凝土造,84年8月10日,七層,,
RPRNMLPKNHJGFAG28CC,4,97.60,集合住宅,鋼筋混凝土造,109年1月6日,四層,,
RPPNMLQKNHJGFAG18CC,29,33.91,鄉村住宅,鋼筋混凝土造,84年3月7日,九層,,
RPRNMLPKNHJGFAG28CC,4,26.69,本件共有部份之項目：為騎樓、電梯間、樓梯間等３項,鋼筋混凝土造,109年1月6日,四層,,
RPPNMLQKNHJGFAG18CC,29,11.88,共同使用（受電室．梯間．防空避難室）,鋼筋混凝土造,84年3月7日,九層,,
RPQNMLPKNHJGFAG18CC,27,10.14,梯間．共同使用部份,鋼筋混凝土造,86年8月25日,十二層,,
RPPNMLQKNHJGFAG18CC,29,2.41,共同使用（走道）,鋼筋混凝土造,84年3月7日,九層,,
RPPNMLPKNHJGFAG08CC,5,59.42,集合住宅,鋼筋混凝土（ＲＣ）,108年7月11日,十三層,,
RPTNMLPKNHJGFAG48CC,4,53.73,集合住宅,鋼筋混凝土造,108年11月29日,五層,,
RPPNMLPKNHJGFAG08CC,5,29.06,共有部份,鋼筋混凝土（ＲＣ）,108年7月11日,十三層,,
RPTNMLPKNHJGFAG48CC,4,15.53,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,108年11月29日,五層,,
RPPNMLPKNHJGFAG08CC,5,37.22,本件共有部份之項目：停車空間、車道等２項,鋼筋混凝土（ＲＣ）,108年7月11日,十三層,,
RPPNMLRKNHJGFBG38CC,27,27.86,住家用,鋼筋混凝土造,86年1月21日,七層,,
RPPNMLRKNHJGFBG38CC,27,10.50,共有部份,鋼筋混凝土造,86年1月21日,七層,,
RPTNMLLLNHJGFAG18CC,47,93.02,住家用,鋼筋混凝土加強磚造,65年11月22日,二層,,
RPPNMLLLNHJGFAG77CC,30,117.25,住家用,鋼筋混凝土造,82年11月3日,六層,,
RPRNMLLLNHJGFAG97CC,30,73.57,住家用,鋼筋混凝土造,83年8月2日,八層,,
RPPNMLLLNHJGFAG77CC,30,31.88,停車場．受電室．屋頂突出物,鋼筋混凝土造,82年11月3日,六層,,
RPRNMLLLNHJGFAG97CC,30,20.29,共同使用防空避難室、停車場、梯間、走道及車道,鋼筋混凝土造,83年8月2日,八層,,
RPQNMLKLNHJGFBG87CC,,59.74,集合住宅,鋼筋混凝土造,112年12月13日,四層,,
RPQNMLKLNHJGFBG87CC,,18.32,本共有部分之項目有：停車空間、梯間、電信室等３項,鋼筋混凝土造,112年12月13日,四層,,
RPQNMLKLNHJGFBG87CC,,8.07,本共有部分之項目有：樓梯間等１項,鋼筋混凝土造,112年12月13日,四層,,
