編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLPJRHJGFFH09DA,大庄段,25.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,23550000
RPQRMLPJQHJGFBH88DA,崇德段,2073.26,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08450000
RPWNMLQJQHJGFFH96DA,白鷺段,103.31,都市：其他:農業區,161280,2688,持分移轉,05840000
RPOOMLPJQHJGFHH98DA,善捷段,160.30,都市：其他:農業區,1,1,全筆移轉,04700000
RPRNMLMKQHJGFCH58EA,慈康段,36.88,非都市：風景區 ; 非都市編定：農牧用地,432,27,持分移轉,02410000
RPQNMLSJQHJGFEH56EA,橫埔段,120.00,都市：其他:第二種住宅區,1,1,全筆移轉,03680000
RPSNMLMKQHJGFCH68EA,德龍段,25.83,非都市：一般農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,04660000
RPTNMLPJQHJGFCH88DA,高平段,447.09,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14970000
RPTRMLTJQHJGFAH86DA,慈文段,.53,都市：其他:住宅區,10000,1,持分移轉,00370000
RPTSMLTJQHJGFAH96DA,福元段,10.35,都市：其他:住宅區,10000,25,持分移轉,03320000
RPUPMLOKQHJGFBH09DA,興南段興南小段,.50,都市：其他:商業區,100000,14,持分移轉,02700000
RPRNMLTJQHJGFHH96DA,大同段,11.82,都市：其他:第一種住宅區,10000,140,持分移轉,08560000
RPRNMLNKQHJGFFH88DA,福國段,3.88,都市：其他:住宅區,30,1,持分移轉,08220000
RPRNMLNKQHJGFFH88DA,福國段,3.81,都市：其他:住宅區,30,1,持分移轉,08230000
SPRNMLNKQHJGFFH98DA,福國段,3.88,都市：其他:住宅區,30,1,持分移轉,08220000
SPRNMLNKQHJGFFH98DA,福國段,3.81,都市：其他:住宅區,30,1,持分移轉,08230000
RPSNMLNKQHJGFBH68EA,仁愛段,170.00,都市：其他:住宅區,1,1,全筆移轉,08940000
RPXPMLRJQHJGFBH96DA,中壢埔頂段,4.88,都市：其他:住宅區,100000,106,持分移轉,11870000
RPTNMLMKQHJGFCH78EA,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,10790000
RPTNMLMKQHJGFCH78EA,潛龍段,49.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,82,持分移轉,10990000
RPXNMLOKQHJGFCH66DA,隆德段,22.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,450,持分移轉,21080000
RPPOMLMKQHJGFHH88DA,中興段,18.43,都市：其他:乙種工業區,1000000,1020,持分移轉,11670002
RPPNMLOKQHJGFBH48EA,大華段,9.50,都市：其他:住宅區,4,1,持分移轉,09780000
RPPNMLOKQHJGFBH48EA,大華段,22.62,都市：其他:住宅區,8,1,持分移轉,09790000
RPPNMLOKQHJGFBH48EA,大華段,2.38,都市：其他:住宅區,8,1,持分移轉,09800002
RPWNMLQJQHJGFDH76DA,楊富段,31.04,非都市：特定農業區 ; 非都市編定：農牧用地,27,1,持分移轉,04860000
RPSOMLNKQHJGFAH58DA,富國段,14.65,都市：其他:住宅區,4800000,50000,持分移轉,04810000
RPOPMLRJQHJGFBH68DA,草富段,105.66,都市：其他:第二種住宅區,1,1,全筆移轉,04450000
RPPRMLMKQHJGFBH58DA,觀新段,3.92,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00390000
