編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLLKNHJGFAH08CC,30,66.55,住家用,鋼筋混凝土造,83年8月1日,十三層,,
RPSNMLLKNHJGFAH08CC,30,3.64,共有部份,鋼筋混凝土造,83年8月1日,十四層,,
RPSNMLLKNHJGFAH08CC,30,9.41,共有部份,鋼筋混凝土造,83年8月1日,十三層,,
RPVNMLLKNHJGFAH38CC,27,29.87,住家用,鋼筋混凝土造,86年6月10日,九層,,
RPQNMLLKNHJGFAH87CC,26,85.89,住家用,鋼筋混凝土造,87年3月4日,十三層,,
RPVNMLLKNHJGFAH38CC,27,11.95,共有部份,鋼筋混凝土造,86年6月10日,九層,,
RPXNMLLKNHJGFAH58CC,28,30.40,住家用,鋼筋混凝土造,85年1月18日,十七層,,
RPOOMLLKNHJGFAH77CC,42,86.44,住家用,鋼筋混凝土造,70年12月24日,五層,,
RPVNMLLKNHJGFAH38CC,27,15.66,共有部份,鋼筋混凝土造,86年6月10日,九層,,
RPXNMLLKNHJGFAH58CC,28,12.56,共有部份,鋼筋混凝土造,85年1月18日,十七層,,
RPWNMLLKNHJGFAH48CC,28,30.40,住家用,鋼筋混凝土造,85年1月18日,十七層,,
RPWNMLLKNHJGFAH48CC,28,12.56,共有部份,鋼筋混凝土造,85年1月18日,十七層,,
RPQNMLLKNHJGFAH87CC,26,11.99,共有部份,鋼筋混凝土造,87年3月4日,十三層,,
RPQNMLLKNHJGFAH87CC,26,1.88,共有部份,鋼筋混凝土造,87年3月4日,十三層,,
RPQNMLLKNHJGFAH87CC,26,11.36,共有部份,鋼筋混凝土造,87年3月4日,十三層,,
RPRNMLLKNHJGFAH97CC,27,81.56,住家用,鋼筋混凝土造,86年9月25日,十四層,,
RPRNMLLKNHJGFAH97CC,27,55.97,本共有部分之項目有（防空避難室兼停車場、停車場、樓梯間、電梯機房、水箱）等５項。,鋼筋混凝土造,86年9月25日,十五層,,
RPTNMLLKNHJGFAH18CC,27,22.38,住家用,鋼筋混凝土造,86年9月1日,十六層,,
RPUNMLLKNHJGFAH28CC,43,17.85,住家用,鋼筋混凝土造,69年11月22日,四層,,
RPTNMLLKNHJGFAH18CC,27,1.77,共有部份,鋼筋混凝土造,86年9月1日,十七層,,
RPTNMLLKNHJGFAH18CC,27,4.67,共有部份,鋼筋混凝土造,86年9月1日,十七層,,
RPPOMLLKNHJGFAH87CC,27,89.85,住家用,鋼筋混凝土造,86年7月1日,十七層,,
RPPOMLLKNHJGFAH87CC,27,19.72,共有部份,鋼筋混凝土造,86年7月1日,十七層,,
