編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLLKNHJGFAH58CC,忠義段,4.52,都市：住,,,,07000000
RPOOMLLKNHJGFAH77CC,延壽段,23.48,都市：住,,,,02210000
RPWNMLLKNHJGFAH48CC,忠義段,4.52,都市：住,,,,07000000
RPTNMLLKNHJGFAH18CC,大有段,6.73,都市：住,,,,01870000
RPPOMLLKNHJGFAH87CC,新埔段,8.06,都市：住,,,,09380000
RPROMLLKNHJGFAH08CC,大有段,11.19,都市：住,,,,01870000
RPQOMLLKNHJGFAH97CC,埔子段埔子小段,2.54,都市：住,,,,20390117
RPWOMLNKNHJGFAH78CC,同德段,42.65,都市：商,,,,00080000
RPXOMLNKNHJGFAH88CC,同德段,53.40,都市：商,,,,00080000
RPRPMLNKNHJGFBH48CC,青溪段,17.51,都市：住,,,,05190000
RPPNMLNKNHJGFFH58DC,同福段,10.26,都市：住,,,,03630000
RPPNMLNKNHJGFEH48DC,竹圍段拔子林小段,19.22,都市：住,,,,03400000
RPPNMLNKNHJGFAH08DC,新埔段,46.57,都市：住,,,,01970000
RPVOMLOKNHJGFAH78CC,埔子段埔子小段,177.47,都市：住,,,,19360008
RPUOMLOKNHJGFAH68CC,新埔段,.46,都市：住,,,,04480004
RPUOMLOKNHJGFAH68CC,新埔段,7.86,都市：住,,,,04490002
RPTOMLOKNHJGFAH58CC,昆明段,22.97,都市：住,,,,07100000
RPSNMLOKNHJGFDH68CC,豐野段,3662.72,都市：工,,,,03230000
RPSNMLOKNHJGFDH68CC,豐野段,404.98,都市：工,,,,03240000
RPSNMLOKNHJGFDH68CC,豐野段,7.58,都市：其他:道路用地,,,,03250000
RPSNMLOKNHJGFDH68CC,豐野段,1538.04,都市：工,,,,03260000
RPSNMLOKNHJGFDH68CC,豐野段,508.80,都市：其他:道路用地,,,,03270000
RPSNMLOKNHJGFDH68CC,豐野段,478.99,都市：其他:保護區,,,,03280000
RPSNMLOKNHJGFDH68CC,豐野段,88.30,都市：住,,,,03310000
RPSNMLOKNHJGFDH68CC,豐野段,103.72,都市：住,,,,09020000
RPSNMLOKNHJGFDH68CC,豐野段,77.45,都市：住,,,,09030000
RPSNMLOKNHJGFDH68CC,豐野段,1.90,都市：住,,,,11120000
RPSNMLOKNHJGFDH68CC,豐野段,17.38,都市：住,,,,11130000
RPPNMLOKNHJGFAH18DC,國強段,.00,都市：住,,,,00490000
RPPNMLOKNHJGFEH58DC,五福段,21.08,都市：住,,,,05030000
RPQNMLOKNHJGFFH78DC,大勇段,105.49,都市：住,,,,07730005
RPPNMLOKNHJGFGH78DC,建安段,68.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06500000
RPPNMLOKNHJGFFH68DC,興豐段,1.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03070012
RPPNMLOKNHJGFFH68DC,興豐段,39.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03930000
RPPNMLOKNHJGFFH68DC,興豐段,.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03930001
RPUNMLPKNHJGFBH78CC,月眉段,20.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08690000
RPRNMLPKNHJGFCH58CC,富林段,247.93,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03070001
