編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKNHJGFAH97CC,坡道平面,3000,21.43,地下一樓
RPRNMLLKNHJGFBH08CC,坡道平面,2000,13.35,地下四樓
RPQNMLLKNHJGFEH28CC,坡道平面,500,37.10,地下二樓
RPQNMLLKNHJGFHH58CC,坡道平面,3000,46.90,地下三樓
RPPNMLLKNHJGFHH48CC,坡道平面,2500,29.40,地下三樓
RPPNMLMKNHJGFAH87CC,坡道平面,3000,27.56,地下二樓
RPPNMLMKNHJGFBH97CC,坡道平面,2500,31.97,地下二樓
RPPNMLMKNHJGFEH28CC,一樓平面,3000,,一樓
RPPNMLMKNHJGFHH58CC,坡道平面,1500,22.48,地下四樓
RPPNMLLKNHJGFAH77CC,坡道平面,3000,35.79,地下四樓
RPQNMLNKNHJGFAH08CC,坡道平面,2000,42.98,地下二樓
RPPNMLMKNHJGFGH48CC,坡道平面,2500,31.43,地下三樓
RPQNMLMKNHJGFGH58CC,坡道平面,2500,37.26,地下三樓
RPPNMLMKNHJGFFH38CC,坡道平面,2400,24.76,地下二樓
RPPNMLLKNHJGFGH38CC,坡道平面,1500,31.43,地下三樓
RPPNMLLKNHJGFCH97CC,坡道平面,2400,35.93,地下二樓
RPVNMLNKNHJGFAH58CC,坡道平面,3500,23.92,地下一樓
RPWNMLNKNHJGFAH68CC,其他,0,,地下一樓
RPOOMLNKNHJGFAH97CC,坡道平面,3000,,地下三樓
RPWOMLNKNHJGFAH78CC,坡道平面,0,23.77,地下四樓
RPSPMLNKNHJGFAH48CC,坡道平面,2000,,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPXOMLNKNHJGFAH88CC,坡道平面,0,23.77,地下四樓
RPSNMLNKNHJGFBH38CC,坡道平面,0,,地下三樓
RPXOMLNKNHJGFBH98CC,升降機械,0,,地下一樓
RPTNMLNKNHJGFEH78CC,坡道平面,0,30.24,地下二樓
RPRNMLNKNHJGFDH48CC,坡道平面,3000,19.63,地下一樓
RPXNMLNKNHJGFFH66CC,坡道平面,2000,25.80,地下二樓
RPUNMLNKNHJGFFH98CC,坡道平面,2000,28.94,地下一樓
RPRNMLNKNHJGFGH78CC,坡道平面,2100,26.74,地下二樓
RPVNMLNKNHJGFHH66CC,坡道平面,2000,35.98,地下二樓
RPOOMLNKNHJGFHH68CC,坡道平面,2500,28.83,地下四樓
RPPNMLOKNHJGFAH08CC,坡道平面,5000,34.74,地下一樓
RPWNMLOKNHJGFAH78CC,坡道平面,0,23.81,地下二樓
RPPNMLNKNHJGFAH08DC,坡道平面,0,28.82,地下三樓
RPTOMLOKNHJGFAH58CC,坡道平面,0,30.20,地下二樓
RPVPMLOKNHJGFAH88CC,坡道平面,3000,,地下一樓
RPTNMLOKNHJGFBH58CC,坡道平面,500,23.71,地下一樓
RPSNMLOKNHJGFBH48CC,坡道平面,2000,32.78,地下二樓
RPSPMLOKNHJGFBH68CC,坡道平面,2500,,地下一樓
RPTPMLOKNHJGFBH78CC,坡道平面,0,31.06,地下二樓
RPQQMLOKNHJGFBH58CC,坡道平面,2000,33.59,地下二樓
