鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
湖口鄉,租賃房屋,新竹縣湖口鄉新興路５１２號,0.0,,,,1130408,土地0建物2車位0,三層,3,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,121.97,5,1,2,有,無,有,43000,353,,0.0,0,租金總額含網路費；含有多個門牌且未個別計算租金新興路512號 514號；含增建或未登記建物；,RPPNMLNKNHJGFDJ48CC,分層出租,無,1130418~1140417,無,冷氣、熱水器、冰箱、網路,
關西鎮,租賃房屋,新竹縣關西鎮幸福街１１號３樓,0.0,,,,1130509,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1111201,124.01,1,1,1,有,有,有,25000,202,,0.0,0,多人共同承租2；,RPPNMLOKNHJGFBJ38CC,整棟(戶)出租,有,1130720~1180630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹東鎮,租賃房屋,新竹縣竹東鎮東榮路５６之５號１３樓,0.0,,,,1130426,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100128,90.22,2,2,1,有,有,有,24000,266,,0.0,0,,RPPNMLOKNHJGFCJ48CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉新庄路１３５巷４號,21.45,住,,,1130416,土地1建物1車位0,一層,7,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0821103,109.22,3,2,2,有,無,有,16000,146,,0.0,0,,RPPNMLOKNHJGFDJ58CC,整棟(戶)出租,無,1130428~1140427,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市十興里勝利十一路１００號十三樓,6.6,商,,,1130418,土地1建物1車位1,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050921,86.28999999999999,1,1,1,有,有,有,20000,232,坡道平面,0.0,0,,RPPNMLPKNHJGFBJ48CC,整棟(戶)出租,有,1130501~1140330,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1130429,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,7500,325,,0.0,0,,RPQNMLPKNHJGFBJ58CC,分租套房,無,1130601~1140531,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市博愛街６４２號,0.0,,,,1130429,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,1031120,23.1,50,0,50,有,無,有,7500,325,,0.0,0,,RPRNMLPKNHJGFBJ68CC,分租套房,無,1130529~1140528,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市博愛街５３５之８號四樓,23.02,商,,,1130419,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900903,122.62,3,2,2,有,有,有,21000,171,,0.0,0,,RPSNMLPKNHJGFBJ78CC,整棟(戶)出租,有,1130420~1140419,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
寶山鄉,租賃房屋,新竹縣寶山鄉雙豐路１６６號５樓,0.0,,,,1130501,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821026,116.19,3,2,2,有,有,有,19000,164,,0.0,0,,RPPNMLPKNHJGFCJ58CC,整棟(戶)出租,有,1130605~1140604,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉三明街１號８樓,0.0,,,,1130501,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0971009,80.59,2,2,1,有,有,有,16000,199,,0.0,0,,RPPNMLPKNHJGFDJ68CC,整棟(戶)出租,有,1130608~1140607,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋+車位,新竹縣湖口鄉千禧路４３巷３７號三樓,41.56,,鄉村區,乙種建築用地,1130418,土地1建物1車位1,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890730,123.53,3,2,2,有,無,有,15000,121,坡道平面,0.0,0,,RPRNMLPKNHJGFDJ88CC,整棟(戶)出租,無,1130418~1160417,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
