鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
頭份市,租賃房屋,苗栗縣頭份市斗煥里大營路１３３號,0.0,,,,1130508,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0770204,115.19,3,1,1,有,無,無,15000,130,,0.0,0,,RPPNMLNKNHJGFFK78CC,整棟(戶)出租,無,1130508~1180531,無,,
竹南鎮,租賃房屋,苗栗縣竹南鎮新南里３鄰維新路４６號二樓,0.0,,,,1130511,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751124,85.55,2,2,2,有,無,無,12000,140,,0.0,0,,RPPNMLOKNHJGFDK68CC,整棟(戶)出租,無,1130520~1150519,無,冷氣、熱水器,
造橋鄉,租賃房屋,苗栗縣造橋鄉談文村５鄰育英街３６號二樓之十五,0.0,,,,1130430,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930623,20.41,1,0,1,有,有,有,2000,98,,0.0,0,,RPQNMLOKNHJGFDK78CC,獨立套房,有,1130529~1140528,無,冷氣、熱水器、冰箱,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市上興里２１鄰永昌街１１巷１號７樓,0.0,,,,1130426,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,95.5,3,2,2,有,有,有,12000,126,,0.0,0,,RPPNMLOKNHJGFFK88CC,整棟(戶)出租,有,1130426~1140425,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋+車位,苗栗縣頭份市富強三街５號７樓之３,0.0,,,,1130430,土地0建物1車位1,七層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1121103,107.11,2,1,1,有,有,無,16500,154,坡道平面,31.6,0,多人共同承租3；租金總額含管理費；,RPQNMLOKNHJGFFK98CC,整棟(戶)出租,有,1130505~1140504,有,冷氣、熱水器、瓦斯或天然氣,
竹南鎮,租賃房屋+車位,苗栗縣竹南鎮大埔一街１９７號七樓之七,0.0,,,,1130515,土地0建物1車位1,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1050421,119.61,3,2,2,有,有,有,20000,167,坡道平面,0.0,0,租金總額含管理費；,RPQNMLPKNHJGFDK88CC,整棟(戶)出租,有,1130519~1140318,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
頭份市,租賃房屋,苗栗縣頭份市成功里１３鄰明新街７９巷３號６樓,0.0,,,,1130429,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830323,160.71,2,2,2,有,有,有,15000,93,,0.0,0,,RPPNMLPKNHJGFFK98CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
苗栗市,租賃房屋,苗栗縣苗栗市福星里５鄰國華路３０１號五樓之七,0.0,,,,1130430,土地0建物1車位0,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810929,76.24,1,0,1,有,無,有,7000,92,,0.0,0,,RPPNMLQKNHJGFBK68CC,獨立套房,有,1130501~1140430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮崎頂里２０鄰和仁街４３號５樓之３,0.0,,,,1130430,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040814,86.00999999999999,3,2,2,有,有,有,12000,140,,0.0,0,,RPRNMLQKNHJGFDK09CC,整棟(戶)出租,有,1130508~1140224,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市民族里１５鄰中華路９５３巷１８號十二樓,0.0,,,,1130425,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840331,200.82000000000002,4,2,2,有,有,有,17600,88,,0.0,0,,RPPNMLQKNHJGFFK09CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市成功里１８鄰忠孝二路１１７巷１號十一樓之一,0.0,,,,1130430,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831206,110.85000000000001,3,1,2,有,有,有,15500,140,,0.0,0,租金總額含管理費；,RPQNMLQKNHJGFFK56CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市上興里２２鄰永昌街９巷８號５樓,0.0,,,,1130430,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,71.61,3,2,1,有,有,無,9000,126,,0.0,0,租金總額含管理費；,RPRNMLQKNHJGFFK66CC,整棟(戶)出租,有,1130505~1140504,有,熱水器、瓦斯或天然氣,
頭份市,租賃房屋,苗栗縣頭份市忠孝里１鄰光大街７０號,0.0,,,,1130425,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0780421,167.69,5,1,2,有,無,有,16500,98,,0.0,0,,RPSNMLQKNHJGFFK76CC,整棟(戶)出租,無,1130425~1140424,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市田寮里２４鄰華夏路９８號五樓之一,0.0,,,,1130510,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831128,64.94,1,1,1,有,無,有,10000,154,,0.0,0,,RPTNMLQKNHJGFFK86CC,獨立套房,無,1130510~1140509,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋+車位,苗栗縣頭份市後庄里２１鄰公北二路９９號十樓,0.0,,,,1130501,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050613,148.53,3,1,2,有,有,有,21000,141,坡道機械,0.0,2800,租金總額含管理費；,RPUNMLQKNHJGFFK96CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
頭份市,租賃房屋,苗栗縣頭份市民族里７鄰中華路９５５之２號十樓,0.0,,,,1130430,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840331,92.73,3,2,2,有,有,有,17000,183,,0.0,0,租金總額含管理費；,RPVNMLQKNHJGFFK07CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
頭份市,租賃房屋,苗栗縣頭份市潘桃里１６鄰中央路５０９號８樓,0.0,,,,1130430,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060425,102.1,2,2,1,有,有,有,14300,140,,0.0,0,,RPWNMLQKNHJGFFK17CC,整棟(戶)出租,有,1130505~1140329,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市東庄里２０鄰八德一路１６１號５樓,0.0,,,,1130430,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1060808,71.89,3,2,2,有,有,有,16600,231,,0.0,0,,RPXNMLQKNHJGFFK27CC,整棟(戶)出租,有,1130524~1140523,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
