編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLRKNHJGFAM78CB,坡道平面,1050000,27.13,地下一樓
RPPNMLQKNHJGFAM68CB,坡道平面,1050000,27.13,地下一樓
RPPNMLNKNHJGFCM58CB,坡道平面,1700000,31.17,地下一樓
RPQNMLQKNHJGFAM78CB,坡道平面,1000000,23.14,地下二樓
RPQNMLRKNHJGFAM88CB,坡道平面,1050000,27.13,地下一樓
RPPNMLKLNHJGFCM38CB,坡道平面,1200000,25.96,地下二樓
RPPNMLLLNHJGFAM38DB,一樓平面,0,,一樓
RPPNMLPLNHJGFAM78DB,一樓平面,0,,一樓
RPPNMLLLNHJGFAM28CB,坡道平面,1250000,25.00,地下一樓
RPRNMLPLNHJGFAM98DB,一樓平面,0,,一樓
RPSNMLPLNHJGFAM09DB,一樓平面,0,,一樓
RPPNMLSLNHJGFAM98CB,坡道平面,1000000,23.14,地下二樓
RPTNMLPLNHJGFAM56DB,坡道平面,1700000,22.62,地下二樓
RPQNMLKMNHJGFAM48DB,一樓平面,0,,一樓
RPRNMLSLNHJGFBM76DB,坡道平面,1300000,37.00,地下一樓
RPPNMLKMNHJGFAM38DB,一樓平面,0,,一樓
RPRNMLKMNHJGFAM58DB,一樓平面,0,,一樓
RPSNMLKMNHJGFAM68DB,一樓平面,0,,一樓
RPUNMLKMNHJGFAM88DB,一樓平面,0,,一樓
RPTNMLKMNHJGFAM78DB,一樓平面,0,,一樓
RPRNMLLMNHJGFCM78CB,其他,450000,18.56,一樓
RPSNMLLMNHJGFCM88CB,其他,450000,18.56,一樓
RPTNMLLMNHJGFCM98CB,其他,650000,18.56,一樓
RPUNMLLMNHJGFCM09CB,其他,650000,18.56,一樓
RPVNMLLMNHJGFCM56CB,其他,650000,18.56,一樓
RPTNMLLMNHJGFAM78CB,坡道平面,1150000,25.00,地下二樓
RPQNMLLMNHJGFDM78CB,坡道平面,1600000,33.06,地下一樓
RPWNMLLMNHJGFCM66CB,其他,450000,18.56,一樓
RPPNMLNJOHJGFCM58CB,一樓平面,1200000,13.75,一樓
RPRNMLLMNHJGFDM88CB,坡道平面,1600000,33.06,地下一樓
RPRNMLPJOHJGFBM88CB,升降機械,850000,15.06,地下一樓
