編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOKNHJGFFN09CB,進樂段,110.10,都市：住,1,1,全筆移轉,09390024
RPPNMLNKNHJGFBN58CB,伸同段,23.71,都市：住,10000000,149993,持分移轉,04510000
RPSNMLOKNHJGFGN86CB,芳成段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05100015
RPSNMLOKNHJGFGN86CB,芳成段,21.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1700,104,持分移轉,05100023
RPPNMLPKNHJGFHN76CB,光平段,2.44,都市：商,1000000,6827,持分移轉,06050000
RPPNMLPKNHJGFHN76CB,光平段,.90,都市：商,1000000,6827,持分移轉,06090000
RPPNMLPKNHJGFHN76CB,光平段,8.29,都市：商,1000000,6827,持分移轉,06340000
RPPNMLPKNHJGFHN76CB,光平段,.77,都市：商,1000000,6827,持分移轉,06700000
RPPNMLPKNHJGFHN76CB,光平段,.55,都市：商,1000000,6827,持分移轉,06720000
RPPNMLPKNHJGFHN76CB,光平段,3.67,都市：商,1000000,6827,持分移轉,06910000
RPPNMLNKNHJGFHN56CB,瓦窯南段,51.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12150003
RPPNMLNKNHJGFHN56CB,瓦窯南段,26.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,769,持分移轉,12150016
RPQNMLOKNHJGFHN76CB,大發段,152.54,都市：住,1,1,全筆移轉,12320001
RPXNMLQKNHJGFDN27CB,豐年段,23.87,都市：住,100000,593,持分移轉,08380000
RPQNMLPKNHJGFHN86CB,光平段,2.76,都市：商,1000000,7697,持分移轉,06050000
RPQNMLPKNHJGFHN86CB,光平段,1.02,都市：商,1000000,7697,持分移轉,06090000
RPQNMLPKNHJGFHN86CB,光平段,9.34,都市：商,1000000,7697,持分移轉,06340000
RPQNMLPKNHJGFHN86CB,光平段,.87,都市：商,1000000,7697,持分移轉,06700000
RPQNMLPKNHJGFHN86CB,光平段,.62,都市：商,1000000,7697,持分移轉,06720000
RPQNMLPKNHJGFHN86CB,光平段,4.14,都市：商,1000000,7697,持分移轉,06910000
RPUNMLQKNHJGFDN96CB,豐年段,27.78,都市：住,100000,690,持分移轉,08380000
RPVNMLQKNHJGFDN07CB,豐年段,27.78,都市：住,100000,690,持分移轉,08380000
RPQNMLTKNHJGFAN56CB,花壇段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5869,60,持分移轉,04770020
RPQNMLTKNHJGFAN56CB,花壇段,93.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,161275,9311,持分移轉,04770001
RPQNMLRKNHJGFFN86CB,進樂段,110.10,都市：住,1,1,全筆移轉,09390023
RPPNMLRKNHJGFFN76CB,進樂段,100.80,都市：住,1,1,全筆移轉,09390001
RPPNMLKLNHJGFAN28CB,牛稠子段下廍小段,25.39,都市：住,10000,50,持分移轉,02230002
RPRNMLRKNHJGFEN86CB,高鐵社頭段,.51,都市：住,73,1,持分移轉,00900081
RPRNMLRKNHJGFEN86CB,高鐵社頭段,22.44,都市：住,49,1,持分移轉,00900082
RPRNMLRKNHJGFEN86CB,高鐵社頭段,74.75,都市：住,1,1,全筆移轉,00900042
RPSNMLKLNHJGFAN58CB,西勢子段過溝子小段,32.34,都市：住,1000000,22550,持分移轉,00060000
RPSNMLKLNHJGFAN58CB,牛稠子段下廍小段,.25,都市：住,1000000,22550,持分移轉,02150027
RPSNMLKLNHJGFAN58CB,牛稠子段下廍小段,.54,都市：住,1000000,22550,持分移轉,02150028
RPRNMLKLNHJGFAN48CB,西勢子段過溝子小段,32.34,都市：住,1000000,22550,持分移轉,00060000
RPRNMLKLNHJGFAN48CB,牛稠子段下廍小段,.25,都市：住,1000000,22550,持分移轉,02150027
RPRNMLKLNHJGFAN48CB,牛稠子段下廍小段,.54,都市：住,1000000,22550,持分移轉,02150028
RPPNMLRKNHJGFAN88CB,華南段,19.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,399,持分移轉,05630000
RPPNMLKLNHJGFGN88CB,北挖仔段,75.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03800000
RPPNMLLLNHJGFGN98CB,芳成段,104.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05100011
RPPNMLLLNHJGFGN98CB,芳成段,3.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05100018
RPPNMLLLNHJGFGN98CB,芳成段,22.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1700,107,持分移轉,05100023
RPQNMLKLNHJGFFN88CB,大安段,29.14,都市：住,10000,123,持分移轉,08920000
RPQNMLMLNHJGFDN88CB,復興段,37.16,都市：住,100000,5240,持分移轉,13840000
RPOOMLLLNHJGFAN38CB,南白沙坑段,139.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,1401,持分移轉,04640000
RPPNMLLLNHJGFBN48CB,福澤段,.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290004
RPPNMLLLNHJGFBN48CB,福澤段,.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290000
RPPNMLLLNHJGFBN48CB,福澤段,28.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,06290038
RPPNMLLLNHJGFBN48CB,福澤段,88.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06290026
RPTNMLLLNHJGFAN78CB,阿夷段阿夷小段,32.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,11664,持分移轉,00720003
RPTNMLLLNHJGFAN78CB,阿夷段阿夷小段,1.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,11664,持分移轉,04210001
RPPNMLLLNHJGFDN78DB,大田段,88.09,都市：農,1,1,全筆移轉,02700042
RPPNMLLLNHJGFDN78DB,大田段,.42,都市：農,41,1,持分移轉,02700031
RPPNMLLLNHJGFDN78DB,大田段,.82,都市：農,42,1,持分移轉,02700032
RPPNMLLLNHJGFDN78DB,大田段,.08,都市：農,41,1,持分移轉,02700033
RPPNMLLLNHJGFDN78DB,大田段,21.14,都市：農,41,1,持分移轉,02700034
RPPNMLLLNHJGFDN78DB,大田段,.10,都市：農,41,1,持分移轉,02700039
RPPNMLLLNHJGFDN78DB,大田段,.10,都市：農,41,1,持分移轉,02700046
RPPNMLLLNHJGFDN78DB,大田段,.03,都市：農,41,1,持分移轉,02700055
RPPNMLLLNHJGFDN78DB,大田段,.13,都市：農,41,1,持分移轉,02700057
RPPNMLLLNHJGFDN78DB,大田段,.13,都市：農,41,1,持分移轉,02700059
RPPNMLLLNHJGFDN78DB,大田段,.39,都市：農,42,1,持分移轉,02700064
RPPNMLLLNHJGFDN78DB,大田段,2.57,都市：農,41,1,持分移轉,02740000
RPPNMLLLNHJGFDN78DB,大田段,3.12,都市：農,41,1,持分移轉,02740002
RPWNMLLLNHJGFAN09CB,阿夷段阿夷小段,33.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,11786,持分移轉,00720003
RPWNMLLLNHJGFAN09CB,阿夷段阿夷小段,1.45,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,11786,持分移轉,04210001
RPPNMLMLNHJGFHN56CB,和平段,90.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04700024
RPPNMLMLNHJGFHN56CB,和平段,4.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04700042
RPPNMLMLNHJGFHN56CB,和平段,6.00,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,04710019
RPQNMLMLNHJGFHN66CB,和平段,71.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04700023
RPQNMLMLNHJGFHN66CB,和平段,4.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04700041
RPQNMLMLNHJGFHN66CB,和平段,7.00,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,04710018
RPPNMLNLNHJGFAN58CB,西勢子段過溝子小段,32.34,都市：住,1000000,22550,持分移轉,00060000
RPPNMLNLNHJGFAN58CB,牛稠子段下廍小段,.25,都市：住,1000000,22550,持分移轉,02150027
RPPNMLNLNHJGFAN58CB,牛稠子段下廍小段,.54,都市：住,1000000,22550,持分移轉,02150028
RPQNMLNLNHJGFAN68CB,西勢子段過溝子小段,45.63,都市：住,1000000,31823,持分移轉,00060000
RPQNMLNLNHJGFAN68CB,牛稠子段下廍小段,.35,都市：住,1000000,31823,持分移轉,02150027
RPQNMLNLNHJGFAN68CB,牛稠子段下廍小段,.76,都市：住,1000000,31823,持分移轉,02150028
RPRNMLOLNHJGFDN56CB,南勢段,53.91,都市：住,100000,4343,持分移轉,02600000
RPRNMLMLNHJGFAN78DB,南興段,44.58,都市：農,29,1,持分移轉,06750000
RPRNMLMLNHJGFAN78DB,南興段,74.20,都市：農,1,1,全筆移轉,06750018
RPSNMLOLNHJGFDN66CB,南勢段,53.93,都市：住,100000,4344,持分移轉,02600000
RPPNMLOLNHJGFGN66CB,儒興段,40.10,都市：住,100000,458,持分移轉,00060000
RPRNMLNLNHJGFAN78CB,彰化段西門小段,19.29,都市：商,10000,156,持分移轉,04170011
RPPNMLNLNHJGFCN78CB,東昇段,73.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12680056
