編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKNHJGFDN56CC,南潭段,74.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10510003
RPRNMLRKNHJGFAN56CC,民生段,55.00,都市：商,,,,05530000
RPPNMLKLNHJGFAN38CC,延和段,86.00,都市：住,,,,07040026
RPRNMLRKNHJGFAN56CC,民生段,90.00,都市：商,,,,05560000
RPPNMLMLNHJGFDN88CC,仁愛段,3.67,都市：住,,,,11850000
RPPNMLMLNHJGFDN88CC,仁愛段,1.30,都市：住,,,,11870001
RPPNMLMLNHJGFHN66CC,福安段,74.00,都市：住,,,,12120000
RPPNMLMLNHJGFHN66CC,福安段,592.00,都市：住,,,,12210001
RPPNMLNLNHJGFHN76CC,光華段,46.00,都市：商,,,,00060000
RPPNMLSLNHJGFDN86CC,復興段,166.28,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08110000
RPPNMLNKNHJGFDN88CC,和平段,66.34,都市：商,,,,11080000
RPQNMLPLNHJGFBN56DC,伸股段,94.15,都市：住,,,,00430034
RPUNMLMLNHJGFAN09CC,南郭段南郭小段,117.00,都市：住,,,,04350011
RPTNMLMLNHJGFAN98CC,南郭段南郭小段,122.00,都市：住,,,,03170002
RPPNMLRLNHJGFAN09CC,延和段,1.00,都市：住,,,,03230007
RPPNMLRLNHJGFAN09CC,延和段,63.00,都市：住,,,,03220016
RPPNMLLMNHJGFFN09CC,彰興段,82.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03900000
RPQNMLPJOHJGFAN88CC,牛稠子段牛稠子小段,41.00,都市：住,,,,01150100
RPPNMLQJOHJGFCN09CC,鹿工段,6720.29,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00830000
RPQNMLRJOHJGFAN09CC,南興段,21.64,都市：住,,,,02490000
