鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋+車位,新竹市新竹市埔頂一路１０１號三樓之８,0.0,,,,1130415,土地0建物0車位1,三層,21,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1090512,35.730000000000004,2,2,2,有,有,有,23500,658,坡道平面,0.0,0,車位面積無法分算。租金總額含管理費；水費；網路費；含增建或未登記建物；,RPPNMLMKNHJGFAO58CC,分租套房,有,1130420~1140419,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
新竹市,租賃房屋,新竹市新竹市光復路一段２７２號１０樓之２,0.0,,,,1130425,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0860409,93.25999999999999,3,2,2,有,有,有,21000,225,,0.0,0,租金總額含管理費；,RPPNMLNKNHJGFAO68CC,整棟(戶)出租,有,1130425~1140424,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市勝利路１２６號５樓之２,0.0,,,,1130425,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800307,45.31,1,0,1,有,有,有,12000,265,,0.0,0,,RPQNMLNKNHJGFAO78CC,獨立套房,有,1130425~1140424,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市埔頂三路３８號１８樓之９,0.0,,,,1130425,土地0建物1車位0,十八層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120530,116.32,3,2,2,有,有,有,28500,245,,0.0,0,,RPRNMLNKNHJGFAO88CC,整棟(戶)出租,有,1130428~1140427,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
新竹市,租賃房屋+車位,新竹市新竹市中華路一段３８４巷７弄２４號２樓,0.0,,,,1130422,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880201,155.43,3,2,2,有,有,有,25000,161,坡道平面,0.0,0,車位面積無法分算。,RPSNMLNKNHJGFAO98CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市埔頂路１２６巷６號４樓,0.0,,,,1130420,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0940217,19.83,4,4,4,有,無,無,7000,353,,0.0,0,租金總額含水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPTNMLNKNHJGFAO09CC,分租套房,無,1130420~1140419,無,冷氣、熱水器、電視機、冰箱,一般代管
新竹市,租賃房屋+車位,新竹市新竹市忠孝路２７巷８號６樓,0.0,,,,1130430,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1030828,220.51999999999998,4,2,2,有,有,有,36000,163,坡道平面,0.0,0,租金總額含管理費；,RPUNMLNKNHJGFAO56CC,整棟(戶)出租,有,1130509~1140508,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
新竹市,租賃房屋,新竹市新竹市東區寶山路４５２巷３弄１９號,0.0,,,,1130419,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0850502,153.47,7,7,7,有,無,有,75000,489,,0.0,0,租金總額含管理費；水費；網路費；其他第四台；,RPVNMLNKNHJGFAO66CC,整棟(戶)出租,無,1130420~1140419,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
新竹市,租賃房屋,新竹市新竹市東區科學園路１６２巷８號,0.0,,,,1130430,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土造,0751230,16.53,4,0,4,有,無,有,6500,393,,0.0,0,租金總額含水費；瓦斯費；網路費；其他第四台；,RPWNMLNKNHJGFAO76CC,分租套房,無,1130501~1140430,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣、有線電視、網路,
