編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNKNHJGFAO78CC,33,35.15,住家用,鋼筋混凝土造,80年3月7日,六層,,
RPQNMLNKNHJGFAO78CC,33,10.16,共有部分,鋼筋混凝土造,80年3月7日,六層,,
RPPNMLNKNHJGFAO68CC,27,70.05,辦公室,鋼筋混凝土造,86年4月9日,十八層,,
RPPNMLMKNHJGFAO58CC,4,.00,辦公室（廳）,鋼筋混凝土造,109年5月12日,二十一層,,
RPPNMLNKNHJGFAO68CC,27,13.63,共有部分,鋼筋混凝土造,86年4月9日,十八層,,
RPPNMLMKNHJGFAO58CC,4,13.52,辦公室,鋼筋混凝土造,109年5月12日,二十一層,,
RPPNMLNKNHJGFAO68CC,27,9.58,共有部分,鋼筋混凝土造,86年4月9日,十八層,,
RPPNMLMKNHJGFAO58CC,4,22.21,共有部分,鋼筋混凝土造,109年5月12日,二十一層,,
RPTNMLNKNHJGFAO09CC,19,19.83,住家用,鋼筋混凝土造,94年2月17日,四層,,
RPRNMLNKNHJGFAO88CC,1,76.06,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPRNMLNKNHJGFAO88CC,1,40.26,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPSNMLNKNHJGFAO98CC,25,106.15,住家用,鋼筋混凝土造,88年2月1日,五層,,
RPSNMLNKNHJGFAO98CC,25,1.00,住商用,鋼筋混凝土造,88年2月1日,五層,,
RPSNMLNKNHJGFAO98CC,25,14.49,共有部分,鋼筋混凝土造,88年2月1日,五層,,
RPSNMLNKNHJGFAO98CC,25,.16,共有部分,鋼筋混凝土造,88年2月1日,五層,,
RPSNMLNKNHJGFAO98CC,25,33.63,共有部分,鋼筋混凝土造,88年2月1日,五層,,
RPUNMLNKNHJGFAO56CC,10,110.97,辦公室,鋼筋混凝土造,103年8月28日,十五層,,
RPUNMLNKNHJGFAO56CC,10,87.87,共有部分,鋼筋混凝土造,103年8月28日,十五層,,
RPUNMLNKNHJGFAO56CC,10,21.68,共有部分,鋼筋混凝土造,103年8月28日,十五層,,
RPVNMLNKNHJGFAO66CC,28,153.47,住家用,鋼筋混凝土造,85年5月2日,三層,,
RPWNMLNKNHJGFAO76CC,37,16.53,住商用,鋼筋混凝土造,75年12月30日,二層,,
RPPNMLOKNHJGFAO78CC,3,81.72,集合住宅,鋼筋混凝土造,110年1月4日,二十四層,,
RPPNMLOKNHJGFAO78CC,3,43.55,共有部分,鋼筋混凝土造,110年1月4日,二十四層,,
RPSNMLOKNHJGFAO09CC,31,224.17,住家用,鋼筋混凝土造,82年1月19日,四層,,
RPQNMLOKNHJGFAO88CC,30,231.02,住工用,鋼筋混凝土造,82年11月2日,四層,,
RPRNMLOKNHJGFAO98CC,30,116.18,住家用,鋼筋混凝土造,83年4月23日,八層,,
RPRNMLOKNHJGFAO98CC,30,22.08,共有部分,鋼筋混凝土造,83年4月23日,八層,,
RPRNMLOKNHJGFAO98CC,30,11.28,共有部分,鋼筋混凝土造,83年4月23日,二層,,
RPUNMLOKNHJGFAO66CC,11,102.13,集合住宅,鋼筋混凝土造,101年10月29日,十四層,,
RPUNMLOKNHJGFAO66CC,11,27.41,共有部分,鋼筋混凝土造,101年10月29日,十四層,,
RPUNMLOKNHJGFAO66CC,11,21.90,共有部分,鋼筋混凝土造,101年10月29日,十四層,,
RPTNMLOKNHJGFAO56CC,1,78.98,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPTNMLOKNHJGFAO56CC,1,41.66,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPVNMLOKNHJGFAO76CC,,42.22,見使用執照,鋼筋混凝土造,,十二層,,
RPVNMLOKNHJGFAO76CC,,20.07,共有部分,鋼筋混凝土造,,十二層,,
RPPNMLPKNHJGFAO88CC,,74.71,住家用,加強磚造,,四層,,
RPRNMLPKNHJGFAO09CC,27,24.89,辦公室,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLPKNHJGFAO09CC,27,3.57,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPRNMLPKNHJGFAO09CC,27,.09,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
