鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗南鎮,租賃房屋,雲林縣斗南鎮世榮街２０號四樓之１,0.0,,,,1130507,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,80.08,2,1,1,有,有,有,9500,119,,0.0,0,,RPPNMLNKNHJGFBP88CC,整棟(戶)出租,有,1130507~1140506,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號４樓之２８,0.0,,,,1130507,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,無,4200,270,,0.0,0,,RPPNMLPKNHJGFAP98CC,獨立套房,有,1130701~1131231,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
西螺鎮,租賃房屋,雲林縣西螺鎮振興７７之６號,0.0,,,,1130501,土地0建物1車位0,全,4,透天厝,住宅、水塔間,ＲＣ造,1110913,60.23,5,1,5,有,無,有,13000,216,,0.0,0,租金總額含水費；,RPQNMLPKNHJGFCP66CC,分層出租,無,1130515~1140514,有,冷氣、洗衣機、電視機、冰箱、網路,
斗六市,租賃房屋,雲林縣斗六市樂利街５３號２樓之２９,0.0,,,,1130506,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.479999999999997,1,0,1,有,有,無,4200,227,,0.0,0,,RPPNMLRKNHJGFAP56CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號２樓之２５,0.0,,,,1130504,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,無,4000,296,,0.0,0,,RPPNMLRKNHJGFDP86CC,獨立套房,有,1130808~1140807,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號６樓之８,0.0,,,,1130503,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.56,1,0,1,有,有,無,4000,295,,0.0,0,,RPQNMLRKNHJGFDP96CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號６樓之１６,0.0,,,,1130504,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.32,1,0,1,有,有,無,4200,315,,0.0,0,,RPRNMLRKNHJGFDP07CC,獨立套房,有,1130525~1140524,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號２樓之２９,0.0,,,,1130503,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,無,4000,296,,0.0,0,,RPSNMLRKNHJGFDP17CC,獨立套房,有,1130625~1131224,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０號７樓之２９,0.0,,,,1130501,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,無,4000,296,,0.0,0,,RPTNMLRKNHJGFDP27CC,獨立套房,有,1130901~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
