編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJQHJGFET27DA,保新段,533.57,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,10110000
RPPNMLPJQHJGFET27DA,保新段,466.56,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,10120000
RPSNMLMJQHJGFBT96DA,振興段,14.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,90,持分移轉,06730000
RPSOMLSJQHJGFCT77DA,新田段,469.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,10560000
RPPNMLMKQHJGFCT86DA,四春段,135.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05510001
RPTNMLMKQHJGFDT37DA,同安段,766.45,非都市：一般農業區 ; 非都市編定：農牧用地,10000,3644,持分移轉,09310000
RPPNMLNKQHJGFET17DA,紅柴坑段,52.59,非都市：國家公園區 ; 非都市編定：,2520,70,持分移轉,05410000
RPQNMLTKPHJGFBT47DA,玉田段,108.91,都市：其他:住宅區,1,1,全筆移轉,06260000
RPTNMLNJRHJGFCT37DA,餉潭段,198.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01320000
RPUNMLTJQHJGFCT97DA,壽比段,5.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,36,持分移轉,07640000
RPPNMLMKQHJGFET07DA,大光段,86.73,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,05890004
RPUNMLNKQHJGFDT57DA,大寮段,6.45,都市：其他:住宅區,30,1,持分移轉,02220000
RPUNMLNKQHJGFDT57DA,大寮段,2.48,都市：其他:住宅區,30,1,持分移轉,02240000
RPUNMLNKQHJGFDT57DA,大寮段,.62,都市：其他:道路用地,30,1,持分移轉,02390000
RPUNMLNKQHJGFDT57DA,大寮段,13.06,都市：其他:住宅區,30,1,持分移轉,02400000
RPUNMLNKQHJGFDT57DA,大寮段,4.43,都市：其他:住宅區,30,1,持分移轉,02420000
RPUNMLNKQHJGFDT57DA,大寮段,1.75,都市：其他:道路用地,30,1,持分移轉,02430000
RPUNMLNKQHJGFDT57DA,大寮段,.57,都市：其他:住宅區,30,1,持分移轉,03100000
RPUNMLNKQHJGFDT57DA,大寮段,1.05,都市：其他:道路用地,30,1,持分移轉,03110000
RPUNMLNKQHJGFDT57DA,大寮段,1.82,都市：其他:道路用地,30,1,持分移轉,03130000
RPUNMLNKQHJGFDT57DA,大寮段,.11,都市：其他:住宅區,30,1,持分移轉,03130001
RPUNMLNKQHJGFDT57DA,大寮段,1.00,都市：其他:道路用地,30,1,持分移轉,05090000
RPUNMLNKQHJGFDT57DA,大寮段,2.09,都市：其他:道路用地,30,1,持分移轉,05100000
RPUNMLNKQHJGFDT57DA,大寮段,.07,都市：其他:乙種工業區(附)(剔),30,1,持分移轉,05250000
RPUNMLNKQHJGFDT57DA,大寮段,.33,都市：其他:乙種工業區(附)(剔),30,1,持分移轉,05320000
RPTNMLSJQHJGFFT08DA,楓林段,18112.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06940000
RPUNMLNKQHJGFDT57DA,大寮段,7.03,都市：其他:乙種工業區(附)(剔),30,1,持分移轉,05350000
RPUNMLNKQHJGFDT57DA,大寮段,.93,都市：其他:公園兼兒童遊樂場用地(剔),30,1,持分移轉,05960000
RPUNMLNKQHJGFDT57DA,大寮段,6.39,都市：其他:公園兼兒童遊樂場用地(剔),30,1,持分移轉,05970000
RPUNMLNKQHJGFDT57DA,大寮段,.32,都市：其他:公園兼兒童遊樂場用地(剔),30,1,持分移轉,05980000
RPUNMLNKQHJGFDT57DA,大寮段,23.50,都市：其他:商業區,30,1,持分移轉,07040000
RPPNMLOKQHJGFET27DA,公順段,5.13,都市：其他:住宅區,10000,24,持分移轉,13220000
RPPNMLNKQHJGFAT86EA,九仁段,3.55,都市：其他:住宅區,1,1,全筆移轉,09630000
RPSNMLMKQHJGFCT17DA,成德段,4174.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05800000
RPTNMLQJQHJGFDT67DA,白沙段,2.79,都市：其他:商業區,46478880,69165,持分移轉,07850000
RPPNMLOKQHJGFFT37DA,佳和段,2377.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22900000
RPPNMLOKQHJGFFT37DA,佳和段,2000.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22900001
RPPNMLOKQHJGFFT37DA,佳和段,2000.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22900003
RPQNMLRJQHJGFBT27DA,大港洋段,19.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,8218,持分移轉,20250003
RPPNMLPJQHJGFBT96DA,泰和段,3039.64,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00860000
RPQNMLRJQHJGFBT27DA,大港洋段,2.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,1,持分移轉,20250004
RPQNMLRJQHJGFBT27DA,大港洋段,.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,1,持分移轉,20250013
RPPNMLOKQHJGFCT17EA,四春段,21.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,07390000
RPPNMLOKQHJGFCT17EA,四春段,156.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07400000
RPPNMLOKQHJGFCT17EA,四春段,11.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,07470000
RPQNMLOKQHJGFET37DA,公順段,7.90,都市：其他:住宅區,10000,37,持分移轉,13220000
RPPNMLPKQHJGFAT07EA,九清段,68.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,493,持分移轉,01660000
RPPNMLQKQHJGFCT37EA,富春段,13.87,非都市：鄉村區 ; 非都市編定：水利用地,1,1,全筆移轉,06170007
RPQNMLQKQHJGFDT57EA,天台段,21.42,都市：其他:住宅區,136,9,持分移轉,06720000
