編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKQHJGFCU17EA,富山段,2900.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06360002
RPTNMLSJQHJGFAU67DA,民享段,13.57,都市：住,10000,93,持分移轉,05850000
RPUOMLQJRHJGFAU77DA,太昌段,77.00,都市：住,1,1,全筆移轉,12220000
RPPNMLOKQHJGFCU17DA,玉璞段,112.00,都市：其他:住宅區,1,1,全筆移轉,30890002
RPOOMLOKQHJGFAU96DA,富國段,2.67,都市：商,10000,16,持分移轉,03090000
RPPNMLPKQHJGFAU17EA,格督尚段,436.56,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03810000
RPPNMLMKQHJGFCU96DA,埔頭段,263.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05010001
RPTNMLPKQHJGFAU47DA,大禮段,2784.00,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,03730004
RPQNMLNKQHJGFAU96DA,慈雲段,298.07,都市：農,1,1,全筆移轉,03060001
RPUNMLMKQHJGFAU27DA,慈雲段,298.07,都市：農,1,1,全筆移轉,01850003
RPPNMLTKQHJGFCU67DA,興北段,126.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06850005
RPQNMLTKQHJGFAU57DA,民享段,16.20,都市：商,10000,1025,持分移轉,04920000
RPPNMLNKQHJGFAU86DA,富國段,124.00,都市：住,1,1,全筆移轉,03920000
RPRNMLKLQHJGFAU86DA,富國段,7.44,都市：其他:倉儲區,10000,45,持分移轉,00040001
RPVNMLLLQHJGFAU37DA,溪口段,101.82,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08660000
RPSOMLOKQHJGFAU37DA,樹人段,32.50,都市：住,8,2,持分移轉,01810002
RPQNMLPKQHJGFAU17DA,初音段,1467.31,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06130000
RPQNMLPKQHJGFAU17DA,初音段,233.82,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPVOMLRJQHJGFAU87DA,主權段,12.04,都市：住,10000,345,持分移轉,13630002
RPPOMLTJQHJGFAU47DA,明義段,236.00,都市：住,1,1,全筆移轉,02350000
RPRNMLMLQHJGFCU27DA,後湖段,5423.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13500000
RPWNMLNLQHJGFAU67DA,富國段,3.34,都市：其他:商業區,10000,20,持分移轉,03090000
RPOPMLMLQHJGFAU96DA,福祥段,31.30,都市：住,20,2,持分移轉,02060007
RPPNMLQLQHJGFCU47DA,興北段,178.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06850001
