編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLMKQHJGFAA97CC,坡道平面,0,25.45,地下三樓
RPTPMLMKQHJGFCA28CC,坡道平面,4000,40.49,地下二樓
RPWNMLMKQHJGFDA48CC,坡道平面,0,,地下三樓
RPQOMLMKQHJGFDA97CC,坡道平面,0,32.04,地下一樓
RPSOMLMKQHJGFEA28CC,坡道平面,7392,48.50,地下三樓
RPXNMLNKQHJGFAA38CC,坡道平面,0,,地下二樓
RPUNMLNKQHJGFEA48CC,坡道平面,0,35.09,地下二樓
RPPNMLOKQHJGFCA87CC,坡道平面,10000,,地下二樓
RPQOMLOKQHJGFCA08CC,坡道平面,0,20.77,地下三樓
RPPOMLOKQHJGFEA18CC,坡道平面,7392,48.50,地下三樓
RPXNMLPKQHJGFDA88CC,坡道平面,0,33.28,地下三樓
RPSNMLPKQHJGFEA48CC,坡道平面,0,16.31,地下一樓
RPROMLPKQHJGFDA38CC,坡道平面,0,33.67,地下二樓
RPWNMLPKQHJGFFA98CC,坡道平面,0,,地下一樓
RPPNMLQKQHJGFBA97CC,坡道平面,0,26.21,地下二樓
RPXNMLPKQHJGFEA98CC,坡道平面,5000,44.75,地下一樓
RPPOMLQKQHJGFCA18CC,坡道平面,0,35.90,地下一樓
RPTOMLQKQHJGFCA58CC,坡道平面,0,39.64,地下三樓
RPRNMLQKQHJGFDA38CC,坡道平面,0,43.39,地下三樓
RPRNMLQKQHJGFDA38CC,坡道平面,0,43.39,地下三樓
RPQNMLSKQHJGFAA18CC,坡道平面,3600,33.98,地下一樓
RPPNMLSKQHJGFCA28CC,一樓平面,0,6.47,一樓
RPSNMLTKQHJGFAA48CC,坡道平面,0,35.11,地下一樓
RPPOMLTKQHJGFCA48CC,坡道平面,0,,地下三樓
RPTNMLTKQHJGFCA78CC,坡道平面,0,33.72,地下一樓
RPSNMLTKQHJGFEA88CC,坡道平面,2000,,地下二樓
RPPOMLTKQHJGFEA68CC,坡道平面,0,,地下一樓
RPPNMLTKQHJGFFA68CC,坡道平面,0,42.87,地下二樓
RPVNMLKLQHJGFBA08CC,坡道平面,6000,15.51,地下五樓含以下
RPRNMLLLQHJGFCA87CC,坡道平面,3000,40.87,地下五樓含以下
RPTNMLLLQHJGFEA28CC,坡道平面,2000,,一樓
RPPOMLMLQHJGFCA87CC,塔式車位,0,,
RPROMLMLQHJGFCA08CC,坡道平面,0,36.87,地下三樓
RPROMLMLQHJGFCA08CC,坡道平面,0,36.87,地下三樓
RPQNMLMLQHJGFFA18CC,升降機械,0,,地下一樓
RPRNMLNLQHJGFDA18CC,坡道平面,0,,地下二樓
RPWNMLNLQHJGFDA68CC,坡道平面,0,43.63,地下一樓
RPQNMLPLQHJGFCA18CC,塔式車位,0,3.14,
RPTOMLQLQHJGFAA48CC,坡道平面,0,4.60,地下三樓
RPTOMLQLQHJGFAA48CC,坡道平面,0,4.60,地下三樓
RPTOMLQLQHJGFAA48CC,坡道平面,0,10.78,地下一樓
RPXOMLQLQHJGFCA09CC,坡道平面,0,26.36,地下五樓含以下
RPXOMLQLQHJGFCA09CC,坡道平面,0,26.36,地下五樓含以下
RPVNMLPLQHJGFDA78CC,坡道平面,0,23.87,地下三樓
RPVNMLPLQHJGFDA78CC,坡道平面,0,23.87,地下三樓
RPRNMLPLQHJGFDA38CC,坡道平面,0,14.97,地下二樓
RPQNMLQLQHJGFDA38CC,坡道平面,8500,43.23,地下四樓
RPUNMLQLQHJGFFA98CC,坡道平面,6146,31.55,地下三樓
RPVNMLQLQHJGFDA88CC,升降機械,0,21.48,地下三樓
RPUNMLRLQHJGFAA58CC,坡道平面,0,36.01,地下三樓
RPTNMLRLQHJGFBA58CC,坡道平面,0,40.29,地下四樓
RPSOMLQLQHJGFCA58CC,坡道平面,3500,,地下三樓
RPSOMLQLQHJGFCA58CC,坡道平面,3500,,地下三樓
RPSNMLRLQHJGFCA58CC,坡道平面,0,32.05,地下二樓
RPVOMLQLQHJGFEA09CC,坡道平面,4000,31.99,地下五樓含以下
RPQOMLSLQHJGFCA58CC,升降平面,0,26.23,地下一樓
RPROMLSLQHJGFCA68CC,坡道平面,0,41.64,地下二樓
RPUPMLSLQHJGFCA09CC,坡道平面,0,55.21,地下一樓
RPRNMLSLQHJGFDA68CC,坡道平面,0,28.21,地下一樓
RPPOMLSLQHJGFEA68CC,坡道平面,6000,,地下二樓
RPRNMLTLQHJGFAA48CC,升降機械,0,11.38,地下二樓
RPUNMLTLQHJGFAA78CC,坡道平面,0,33.66,地下一樓
RPROMLSLQHJGFFA98CC,升降平面,7000,,地下二樓
RPROMLSLQHJGFFA98CC,升降平面,8000,,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,30.55,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPUPMLTLQHJGFCA56CC,坡道平面,3250,27.70,地下二樓
RPTNMLTLQHJGFEA09CC,坡道平面,0,43.72,地下四樓
RPOOMLTLQHJGFEA68CC,坡道平面,0,45.47,地下三樓
RPXNMLTLQHJGFEA86CC,坡道平面,0,,地下三樓
RPXOMLTLQHJGFEA96CC,坡道平面,0,43.50,地下二樓
RPPNMLTLQHJGFFA78CC,坡道機械,4000,31.55,地下三樓
RPWOMLTLQHJGFEA86CC,坡道平面,0,47.05,地下五樓含以下
RPOPMLTLQHJGFEA78CC,坡道平面,0,45.44,地下二樓
RPPPMLTLQHJGFEA88CC,坡道平面,0,14.97,地下二樓
RPTOMLTLQHJGFFA66CC,坡道平面,0,,地下四樓
RPXOMLTLQHJGFFA07CC,坡道平面,0,19.82,地下二樓
RPPNMLKMQHJGFDA77CC,一樓平面,0,,一樓
RPQNMLKMQHJGFDA87CC,坡道平面,0,,地下一樓
RPRNMLKMQHJGFDA97CC,其他,0,11.22,地下一樓
RPRNMLKMQHJGFDA97CC,其他,0,11.22,地下一樓
RPXNMLKMQHJGFDA58CC,坡道平面,0,33.87,地下一樓
RPXNMLKMQHJGFDA58CC,坡道平面,0,33.87,地下一樓
