鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
西區,租賃房屋,臺中市西區向上路一段１號１０樓之８,2.08,商,,,1130723,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010322,16.53,1,0,1,有,無,有,6500,393,,0.0,0,租金總額含網路費；續租案件；,RPPNMLLKQHJGFAB47CC,獨立套房,有,1130225~1140224,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
南屯區,租賃房屋,臺中市南屯區大昌街１００號三樓之３,0.0,,,,1130720,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081114,82.99,2,2,1,有,有,有,24809,299,,0.0,0,租金已扣除管理費3191元。租賃範圍不含車位，已扣除車位面積。,RPPNMLLKQHJGFCB67CC,整棟(戶)出租,有,1130725~1140724,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
烏日區,租賃房屋+車位,臺中市烏日區高鐵路二段１５０號１６樓之７,2531.0,住,,,1130808,土地1建物1車位1,十六層,20,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110805,139.45,3,2,2,有,無,無,30000,215,坡道平面,0.0,0,,RPPNMLLKQHJGFIB28CC,分層出租,無,1130815~1150814,有,瓦斯或天然氣,
南區,租賃房屋,臺中市南區學府路１６８巷５號７樓之６,0.0,,,,1130803,土地0建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860428,43.01,1,0,1,有,有,有,8500,198,,0.0,0,,RPPNMLMKQHJGFAB57CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南區,租賃房屋,臺中市南區高工路５０號６樓,0.0,,,,1130730,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870410,142.18,3,2,2,有,有,有,15500,109,,0.0,0,未租賃車位，建物登記含有車位面積；續租案件；,RPQNMLMKQHJGFAB67CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
南區,租賃房屋,臺中市南區忠明南路７３０巷３５號１１樓,0.0,,,,1130811,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811120,77.61999999999999,3,1,1,有,無,有,20000,258,,0.0,0,,RPRNMLMKQHJGFAB77CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
東區,租賃房屋+車位,臺中市東區福昌街１５號５樓之６,18.7,住,,,1130805,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120810,56.74,2,2,1,有,有,有,26000,458,坡道平面,0.0,0,,RPSNMLMKQHJGFAB87CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
中區,租賃房屋,臺中市中區台灣大道一段３０６巷３５號７樓之２,0.0,,,,1130715,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820827,38.91,1,0,1,有,有,有,9000,231,,0.0,0,社會住宅包租代管公會版。續租案件；,RPTNMLMKQHJGFAB97CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南區,租賃房屋+車位,臺中市南區信義南街２０２號２樓之３,0.0,,,,1130731,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0840601,71.02,2,1,1,有,有,有,21500,303,升降機械,0.0,1500,,RPUNMLMKQHJGFAB08CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
南區,租賃房屋,臺中市南區信義南街１０９號七樓之九,0.0,,,,1130801,土地0建物1車位0,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851211,129.07,3,2,2,有,有,有,23000,178,,0.0,0,,RPVNMLMKQHJGFAB18CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
西區,租賃房屋,臺中市西區三民路一段１８３巷２號四樓,0.0,,,,1130731,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住房,鋼筋混凝土造,0651228,88.57,3,1,2,有,無,有,22000,248,,0.0,0,,RPXNMLMKQHJGFAB38CC,整棟(戶)出租,無,1130820~1140819,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南區,租賃房屋,臺中市南區學府路８８之１號２樓之１,0.0,,,,1130807,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000729,87.27,2,2,1,有,有,有,5966,68,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。管理費2034元。,RPOOMLMKQHJGFAB57CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
西區,租賃房屋,臺中市西區三民路一段５８-３號十一樓-６,0.0,,,,1130806,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790625,31.560000000000002,1,0,1,有,有,有,6000,190,,0.0,0,,RPPOMLMKQHJGFAB67CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
中區,租賃房屋,臺中市中區中華路一段１１２號,0.0,,,,1130808,土地0建物1車位0,全,4,透天厝,人行道、店舖、住宅,鋼骨造,1021108,47.91,0,0,0,無,無,無,25000,522,,0.0,0,,RPQOMLMKQHJGFAB77CC,,無,1130901~1150831,無,,
西區,租賃房屋,臺中市西區三民路一段５８-３號三樓之３,0.0,,,,1130806,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790625,26.37,1,0,1,有,有,有,6400,243,,0.0,0,管理費600元由出租人負擔，租金已扣除續租案件；,RPROMLMKQHJGFAB87CC,獨立套房,有,1130822~1140821,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
西區,租賃房屋,臺中市西區華美街３２巷１０號５樓之２,0.0,,,,1130801,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821227,117.06,2,2,1,有,有,有,22300,191,,0.0,0,,RPSOMLMKQHJGFAB97CC,整棟(戶)出租,有,1130808~1140807,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
