編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQJKIJGFED08EA,吉貝耍段,1900.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13400000
RPQNMLPJKIJGFCD67DA,新興段,1.08,都市：其他:中密度住宅區,10000,50,持分移轉,02770000
RPPNMLQJKIJGFED97EA,吉貝耍段,2000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13420000
RPPNMLQJKIJGFED97EA,吉貝耍段,1900.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13430000
RPQNMLPJKIJGFCD67DA,新興段,8.40,都市：其他:中密度住宅區,10000,50,持分移轉,02770002
RPOOMLSJJIJGFBD67DA,總安段,9.92,都市：其他:道路用地,1,1,全筆移轉,06380014
RPRNMLQJKIJGFED18EA,吉貝耍段,1900.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13410000
RPUNMLRJJIJGFAD97DA,小北段,2.55,都市：其他:細部計畫道路用地,1,1,全筆移轉,16270005
RPTNMLSJJIJGFCD18DA,公英段,33.01,都市：其他:住宅區,10000000,4662,持分移轉,00080000
RPOOMLRJJIJGFAD47DA,老古石段,9.71,都市：其他:商業區,10000,185,持分移轉,24720000
RPQNMLSJJIJGFED08DA,前大埔段,.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,144,36,持分移轉,07820010
RPQNMLSJJIJGFED08DA,前大埔段,8.75,非都市：山坡地保育區 ; 非都市編定：交通用地,144,36,持分移轉,07830008
SPQNMLSJJIJGFED18DA,前大埔段,19.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,144,36,持分移轉,07830006
RPTOMLPJJIJGFGD38DA,溪底寮段三寮灣小段,253.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04080000
