編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJKIJGFDE87EA,中華段一小段,93.00,都市：其他:乙種工業區,1,1,全筆移轉,09260000
RPPNMLNJKIJGFHE97DA,菜公坑段,61.72,非都市：一般農業區 ; 非都市編定：甲種建築用地,27,1,持分移轉,04700000
RPPNMLMJKIJGFLE28DA,六合段,23.86,都市：其他:農業區,120,7,持分移轉,02500000
RPPNMLLJJIJGFKE97DA,新吉洋段,1639.18,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06080000
RPPNMLLJJIJGFKE97DA,新吉洋段,1159.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06090000
RPXNMLQJKIJGFFE88DA,岡山段,36.63,都市：其他:住宅區,100000,68,持分移轉,04620000
RPSNMLQJJIJGFLE88DA,義和段,.87,都市：其他:住宅區,36300,809,持分移轉,10510000
RPSNMLQJJIJGFLE88DA,義和段,4.51,都市：其他:住宅區,30,1,持分移轉,10520000
RPSNMLQJJIJGFLE88DA,義和段,.23,都市：其他:住宅區,30,1,持分移轉,10530000
RPSNMLQJJIJGFLE88DA,義和段,.43,都市：其他:道路用地,30,1,持分移轉,10530001
RPRNMLMJKIJGFLE48DA,前庄段,.49,都市：其他:道路用地,9100,1154,持分移轉,05890000
RPRNMLMJKIJGFLE48DA,前庄段,59.30,都市：其他:住宅區,9100,1154,持分移轉,05980000
RPRNMLMJKIJGFLE48DA,前庄段,76.44,都市：其他:住宅區,7230,400,持分移轉,05990000
RPRNMLMJKIJGFLE48DA,前庄段,3.39,都市：其他:道路用地,7230,400,持分移轉,06160000
RPQNMLMKJIJGFFE77DA,福潭段,78.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01030000
RPTNMLOJJIJGFIE48DA,仁德段,7.50,都市：其他:商業區,2,1,持分移轉,01610000
RPTNMLOJJIJGFIE48DA,仁德段,80.00,都市：其他:商業區,1,1,全筆移轉,01620000
RPPNMLMKJIJGFJE08DA,順安段,51.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09800000
RPPNMLMKJIJGFKE18DA,東合段,108.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11400000
RPQNMLSJJIJGFKE88EA,新吉洋段,1125.08,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03770001
RPPNMLLKJIJGFBE17DA,林德官段二小段,31.18,都市：其他:第四種住宅區,480,1,持分移轉,33540000
RPPNMLRJJIJGFHE28DA,竹坑段,428.73,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02410000
RPPNMLRJJIJGFHE28DA,竹坑段,504.01,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02430000
RPPNMLTJJIJGFBE87DA,大統段一小段,11.00,都市：其他:道路用地,1,1,全筆移轉,00490001
RPRNMLNKJIJGFJE38DA,竹園段,12.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,06040000
RPRNMLNKJIJGFJE38DA,竹園段,10.02,非都市：鄉村區 ; 非都市編定：交通用地,12,1,持分移轉,06050000
RPRNMLNKJIJGFJE38DA,竹園段,89.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,06240000
RPPNMLTJJIJGFDE08DA,有光段,11.54,都市：其他:道路用地,1,1,全筆移轉,01470000
RPRNMLSJJIJGFKE98EA,新吉洋段,1125.08,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03770000
RPQNMLNKJIJGFFE97EA,岡工段,3107.46,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03960001
