編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKQHJGFBE97CC,44,16.52,,鋼筋混凝土造,69年5月29日,五層,,
RPTNMLLKQHJGFBE28CC,50,16.52,,加強磚造,63年5月28日,二層,,
RPWNMLLKQHJGFBE58CC,61,13.22,,加強磚造,52年10月21日,二層,,
RPVNMLLKQHJGFBE48CC,10,16.52,住家用,鋼筋混凝土造,103年4月24日,五層,,
RPUNMLLKQHJGFBE38CC,61,16.52,,加強磚造,52年10月21日,二層,,
RPRNMLLKQHJGFBE08CC,56,16.52,,加強磚造,57年10月2日,三層,,
RPRNMLLKQHJGFCE18CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPQNMLLKQHJGFCE08CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPPNMLLKQHJGFCE97CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPTNMLLKQHJGFCE38CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPQNMLLKQHJGFAE87CC,4,23.14,住宅,鋼筋混凝土,109年6月19日,七層,,
RPPNMLLKQHJGFAE77CC,4,26.44,住宅,鋼筋混凝土,109年6月19日,七層,,
RPPNMLMKQHJGFAE87CC,19,28.96,住家用,鋼筋混凝土造,94年6月24日,十五層,,
RPPNMLMKQHJGFAE87CC,19,2.54,共有部份,鋼筋混凝土造,94年6月24日,十五層,,
RPPNMLMKQHJGFAE87CC,19,5.86,共有部份,鋼筋混凝土造,94年6月24日,十五層,,
RPPNMLMKQHJGFAE87CC,19,9.73,共有部份,鋼筋混凝土造,94年6月24日,十五層,,
RPQNMLMKQHJGFAE97CC,6,61.43,集合住宅,鋼筋混凝土,107年7月12日,十五層,,
RPQNMLMKQHJGFAE97CC,6,28.27,防空避難室兼停車空間，管委會使用空間，梯間，門廳兼梯廳，停車空間，車道，門廊，樓梯間，樓梯間＋昇降機間，水箱＋機械室等１０項。,鋼筋混凝土,107年7月12日,十五層,,
RPRNMLMKQHJGFAE08CC,12,58.57,住家用,鋼筋混凝土造,101年7月10日,十五層,,
RPRNMLMKQHJGFAE08CC,12,36.58,本共有部分之項目有防空避難室、停車空間、電樓梯間、機械室、水箱、頂蓋型沿街步道式開放空間、頂蓋型廣場式開放空間、公共服務中心、門廊、門廳兼管理員室等１０項。,鋼筋混凝土造,101年7月10日,十五層,,
RPSNMLMKQHJGFAE18CC,11,169.13,住家用,鋼筋混凝土造,102年6月19日,二十四層,,
RPSNMLMKQHJGFAE18CC,11,112.26,本共有部分之項目有防空避難室、停車空間、電樓梯間、機械室、中繼水箱、垃圾儲存空間、管委會使用空間、頂蓋型廣場式開放空間、防災中心、緩衝空間、門廳、走廊等１２項。,鋼筋混凝土造,102年6月19日,二十四層,,
RPTNMLMKQHJGFAE28CC,1,48.71,集合住宅,鋼筋混凝土,112年9月20日,二十四層,,
RPTNMLMKQHJGFAE28CC,1,49.22,本共有部分之項目有電樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、中繼設備空間等６項。,鋼筋混凝土,112年9月20日,二十四層,,
RPPNMLMKQHJGFBE97CC,7,51.63,住家用,鋼筋混凝土造,106年4月24日,十五層,,
RPPNMLMKQHJGFBE97CC,7,27.79,共有部份,鋼筋混凝土造,106年4月24日,十五層,,
RPQNMLMKQHJGFBE08CC,43,19.50,,鋼筋混凝土造,70年12月24日,五層,,
RPSNMLMKQHJGFBE28CC,38,110.84,公寓,鋼筋混凝土結構造,75年4月10日,五層,,
RPSNMLMKQHJGFBE28CC,38,12.26,,鋼筋混凝土造,75年4月10日,五層,,
RPUNMLMKQHJGFBE48CC,20,56.43,住家用,鋼筋混凝土造,93年3月3日,十四層,,
RPUNMLMKQHJGFBE48CC,20,26.57,停車空間、戲水池、機械室、防空避難室,鋼筋混凝土造,93年3月3日,十四層,,
RPTNMLMKQHJGFBE38CC,1,36.47,集合住宅,鋼筋混凝土,112年11月9日,十五層,,
RPTNMLMKQHJGFBE38CC,1,20.61,共有部份,鋼筋混凝土,112年11月9日,十五層,,
RPVNMLMKQHJGFBE58CC,43,112.37,,鋼筋混凝土造,70年4月1日,五層,,
RPWNMLMKQHJGFBE68CC,45,66.47,,鋼筋混凝土造,68年10月2日,五層,,
RPRNMLMKQHJGFCE28CC,25,26.60,住家用,鋼骨造,88年2月9日,三十九層,,
RPRNMLMKQHJGFCE28CC,25,12.99,共有部份,鋼骨造,88年2月9日,三十九層,,
RPPNMLMKQHJGFCE08CC,56,10.64,住家用,加強磚造,57年3月30日,一層,,
RPPNMLLKQHJGFGE38CC,4,16.52,店舖,鋼筋混凝土造,110年1月4日,十五層,,
RPQNMLLKQHJGFGE48CC,24,97.87,住家用,鋼筋混凝土,89年7月25日,十四層,,
RPQNMLLKQHJGFGE48CC,24,55.49,頂蓋型開放空間、管理中心、門廊、車道、樓梯間、防空避難室、停車空間、瞭望台、機械室、水箱,鋼筋混凝土,89年7月25日,十四層,,
RPSNMLMKQHJGFCE38CC,30,82.88,住家用,鋼筋混凝土造,83年3月16日,十六層,,
RPSNMLMKQHJGFCE38CC,30,27.25,見使用執照,鋼筋混凝土造,83年3月16日,十六層,,
RPTNMLMKQHJGFCE48CC,42,88.30,,鋼筋混凝土造,71年11月10日,五層,,
RPTNMLMKQHJGFCE48CC,42,5.49,,鋼筋混凝土造,71年11月10日,五層,,
RPPNMLLKQHJGFFE28CC,1,51.63,集合住宅,鋼筋混凝土造,112年4月18日,十五層,,
RPPNMLLKQHJGFFE28CC,1,52.35,本共有部分之項目有停車空間、門廳兼梯廳、管委會使用空間、門廊、中央監控室、樓梯間、車道、管道間、機械室、水箱等共１０項。,鋼筋混凝土造,112年4月18日,十五層,,
RPQNMLLKQHJGFDE18CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPRNMLMKQHJGFDE38CC,18,8.76,商業用,鋼筋混凝土造,95年7月26日,十層,,
RPRNMLMKQHJGFDE38CC,,7.32,防空避難室兼停車空間,鋼筋混凝土造,,十層,,
RPPNMLLKQHJGFDE08CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPQNMLMKQHJGFDE28CC,42,30.27,,鋼筋混凝土造,71年4月1日,十三層,,
RPQNMLMKQHJGFDE28CC,42,7.91,,鋼筋混凝土造,71年4月1日,十三層,,
RPTNMLLKQHJGFDE48CC,31,23.14,商業用,鋼筋混凝土造,82年2月27日,十二層,,
RPRNMLLKQHJGFDE28CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPPNMLMKQHJGFDE18CC,18,13.29,商業用,鋼筋混凝土造,95年7月26日,十層,,
