編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMKQHJGFBG28CC,坡道平面,0,,地下一樓
RPRNMLNKQHJGFBG48CC,升降機械,0,,地下一樓
RPRNMLLLQHJGFBG38CC,坡道平面,0,29.84,地下二樓
RPTNMLMLQHJGFBG68CC,升降機械,0,,地下一樓
RPPNMLQLQHJGFAG58CC,一樓平面,0,,一樓
RPPNMLQLQHJGFBG68CC,坡道平面,0,,地下一樓
RPPNMLRLQHJGFAG68CC,一樓平面,0,,一樓
RPSNMLQLQHJGFBG98CC,一樓平面,0,,一樓
RPQNMLTLQHJGFAG98CC,升降平面,0,,地下一樓
RPWNMLMJRHJGFAG78CC,一樓平面,0,,一樓
RPRNMLMJRHJGFBG38CC,一樓平面,0,,一樓
RPQNMLMJRHJGFBG28CC,一樓平面,0,4.26,一樓
RPQNMLNJRHJGFBG38CC,其他,0,,一樓
RPOOMLMJRHJGFAG08CC,一樓平面,0,,一樓
RPPNMLPJRHJGFAG38CC,坡道平面,0,,地下一樓
RPQNMLPJRHJGFBG58CC,坡道平面,0,,地下一樓
RPPNMLNJRHJGFBG38DC,坡道平面,0,,地下二樓
RPRNMLQJRHJGFBG78CC,坡道平面,0,,地下一樓
RPUNMLMKRHJGFBG78CC,一樓平面,0,,一樓
RPSNMLMKRHJGFBG58CC,坡道平面,0,,地下一樓
RPOOMLMKRHJGFBG28CC,升降機械,0,,地下一樓
RPRNMLQKRHJGFAG78CC,一樓平面,0,,一樓
RPQNMLQKRHJGFBG78CC,坡道平面,0,,地下一樓
RPUNMLKLRHJGFBG68CC,坡道平面,0,,地下一樓
RPPNMLOLRHJGFBG68DC,坡道平面,0,,一樓
RPPNMLOLRHJGFBG58CC,坡道平面,0,,地下二樓
RPPNMLQLRHJGFAG68CC,一樓平面,0,,一樓
RPTNMLQLRHJGFAG09CC,升降機械,0,,地下二樓
RPRNMLQLRHJGFBG98CC,坡道平面,0,,地下一樓
RPPNMLLJIIJGFAG17CC,一樓平面,0,,一樓
RPTNMLLJIIJGFAG57CC,坡道平面,0,,地下一樓
RPTNMLKMRHJGFBG68CC,坡道機械,0,,地下一樓
RPROMLLJIIJGFBG57CC,一樓平面,0,4.26,一樓
RPPNMLOJIIJGFBG57CC,坡道平面,0,,地下一樓
RPRNMLRJIIJGFBG08CC,坡道平面,0,,地下一樓
RPQNMLOKIIJGFBG77CC,坡道平面,0,,地下一樓
RPRNMLOKIIJGFBG87CC,坡道平面,0,,地下一樓
RPRNMLQKIIJGFBG08CC,一樓平面,0,,一樓
RPPNMLQKIIJGFAG77CC,一樓平面,0,,一樓
RPPNMLNLIIJGFAG57CC,坡道平面,0,23.88,一樓
RPQNMLLJJIJGFBG47CC,坡道機械,0,,地下一樓
RPPNMLKMIIJGFBG47CC,坡道平面,0,,地下一樓
RPQNMLKMIIJGFAG47CC,坡道平面,0,13.75,地下一樓
RPQNMLPLIIJGFAG87CC,坡道平面,0,35.67,地下二樓
RPPNMLOJJIJGFAG57CC,坡道平面,0,,地下一樓
RPRNMLQJJIJGFAG97CC,一樓平面,0,,一樓
RPSNMLQJJIJGFAG08CC,一樓平面,0,,一樓
RPSNMLPJJIJGFBG08CC,坡道平面,0,,地下一樓
RPWNMLSJJIJGFBG78CC,一樓平面,0,,一樓
RPSNMLSJJIJGFBG38CC,一樓平面,0,,一樓
