編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQTMLOKQHJGFBH09CB,坡道平面,1900000,27.64,地下三樓
RPUSMLOKQHJGFBH76CB,坡道平面,1850000,27.64,地下三樓
RPTNMLQKQHJGFEH66CB,坡道平面,1950000,24.89,地下一樓
RPRNMLOKQHJGFEH88CB,坡道平面,1800000,25.01,地下一樓
RPSNMLQKQHJGFBH88CB,坡道平面,1700000,24.09,地下三樓
RPSNMLQKQHJGFBH88CB,坡道平面,1700000,24.09,地下三樓
RPPNMLPKQHJGFBH68EB,坡道平面,1100000,32.05,地下三樓
RPPNMLRKQHJGFEH98CB,坡道平面,1850000,25.26,地下二樓
RPROMLRKQHJGFBH98CB,一樓平面,1400000,15.55,一樓
RPQNMLRKQHJGFEH09CB,坡道平面,1950000,26.45,地下一樓
RPSNMLRKQHJGFEH66CB,坡道平面,1950000,25.26,地下一樓
RPRNMLRKQHJGFEH56CB,坡道平面,1950000,25.26,地下一樓
RPTNMLRKQHJGFEH76CB,坡道平面,1850000,25.26,地下二樓
RPWQMLSKQHJGFAH07CB,坡道平面,1700000,34.07,地下三樓
RPPOMLSKQHJGFAH78CB,坡道平面,2400000,37.80,地下一樓
RPXNMLSKQHJGFBH96CB,坡道平面,1550000,26.04,地下二樓
RPPNMLTKQHJGFAH78CB,坡道平面,2000000,41.50,地下二樓
RPQOMLSKQHJGFAH88CB,坡道平面,2000000,20.77,地下四樓
RPQOMLSKQHJGFAH88CB,坡道平面,1800000,20.77,地下四樓
RPQOMLSKQHJGFAH88CB,坡道平面,1800000,20.77,地下四樓
RPQOMLSKQHJGFAH88CB,坡道平面,2000000,20.77,地下四樓
RPXQMLSKQHJGFAH17CB,坡道平面,1800000,34.07,地下二樓
RPRNMLSKQHJGFDH66DB,一樓平面,1500000,13.75,一樓
RPQPMLTKQHJGFAH09CB,坡道平面,2300000,26.97,地下一樓
RPRNMLTKQHJGFAH98CB,坡道平面,1800000,41.50,地下四樓
RPSNMLTKQHJGFAH09CB,坡道平面,1800000,41.50,地下四樓
RPWNMLTKQHJGFAH86CB,坡道平面,2000000,24.96,地下二樓
RPWNMLTKQHJGFAH86CB,坡道平面,2000000,24.96,地下二樓
RPOPMLTKQHJGFBH98CB,坡道平面,2300000,33.17,地下二樓
RPRNMLTKQHJGFBH09CB,坡道平面,1660000,29.62,地下一樓
RPRPMLTKQHJGFAH56CB,坡道平面,2050000,34.76,地下三樓
RPSOMLTKQHJGFBH66CB,坡道平面,1550000,43.00,地下二樓
