編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLPKJIJGFAI38EA,北社尾段,11.49,都市：其他:住宅區,10000,25,持分移轉,07120001
RPQNMLTJKIJGFAI38DA,竹圍子段,34.00,都市：其他:住宅區,2,1,持分移轉,03080005
RPRNMLOKJIJGFAI08EA,大溪段,1710.80,都市：其他:農業區,1,1,全筆移轉,04500000
RPRNMLPKJIJGFAI18EA,中庄段,82.50,都市：其他:住宅區,4,2,持分移轉,05280001
RPQNMLLKJIJGFAI67EA,車店段車店小段,5.25,都市：其他:住宅區,10000,85,持分移轉,07290000
RPQNMLKLJIJGFAI57DA,埤子頭段,13.37,都市：其他:道路用地,56500,286,持分移轉,03170000
RPQNMLKLJIJGFAI57DA,竹圍子段,69.01,都市：其他:道路用地,1500,160,持分移轉,03880001
RPPOMLTKJIJGFAI38DA,短竹段,.31,都市：其他:住宅區,100000,505,持分移轉,16680000
RPPNMLKLJIJGFAI47DA,埤子頭段,51.25,都市：其他:道路用地,56500,1096,持分移轉,03170000
RPPOMLTKJIJGFAI38DA,短竹段,4.94,都市：其他:住宅區,100000,505,持分移轉,16690000
RPPNMLPLJIJGFAI08EA,台斗坑段,53.00,都市：其他:住宅區,1,1,全筆移轉,04190021
RPUNMLKLJIJGFAI97DA,頂庄段,652.00,都市：其他:農業區,2,1,持分移轉,02780000
RPOOMLMLJIJGFAI67DA,北社尾段保安小段,4.76,都市：其他:住宅區,10000,66,持分移轉,08430000
RPOOMLMLJIJGFAI67DA,北社尾段保安小段,6.18,都市：其他:住宅區,10000,66,持分移轉,08440000
RPQOMLSJJIJGFAI28DA,彌陀段,20.00,都市：其他:住宅區,1,1,全筆移轉,01300004
RPTNMLMKJIJGFAI97DA,檜段六小段,28.00,都市：其他:商業區,1,1,全筆移轉,00080016
RPPNMLMLJIJGFAI67DA,劉厝段劉厝小段,68.00,都市：其他:住宅區,1,1,全筆移轉,02030036
RPRNMLTKJIJGFAI48DA,車店段,9.00,,1,1,全筆移轉,04200076
RPQNMLTKJIJGFAI38DA,新太平段,82.91,都市：其他:住宅區,1,1,全筆移轉,07650000
RPWNMLTKJIJGFAI98DA,盧厝段,6.52,都市：其他:住宅區,10000,12,持分移轉,02600004
RPPNMLQLJIJGFAI18EA,北園段,187.00,都市：其他:住宅區,1,1,全筆移轉,12160000
RPPNMLRLJIJGFAI18DA,長竹段,68.00,都市：其他:住宅區,1,1,全筆移轉,07840000
RPUOMLQLJIJGFAI68DA,湖內段,11.98,都市：其他:住宅區,10000,93,持分移轉,09980000
RPUOMLQLJIJGFAI68DA,湖內段,9.48,都市：其他:住宅區,10000,93,持分移轉,10230000
RPTOMLSLJIJGFAI78DA,車店段車店小段,8.41,都市：其他:住宅區,10000,111,持分移轉,01580001
RPSRMLQLJIJGFAI78DA,遠東段,19.60,都市：其他:住宅區,10000,21,持分移轉,00680007
RPTRMLQLJIJGFAI88DA,車店段車店小段,102.00,都市：其他:住宅區,1,1,全筆移轉,06400009
RPRNMLRLJIJGFAI38DA,宣信段,53.79,都市：其他:住宅區,1,1,全筆移轉,10450000
RPTNMLTLJIJGFAI78DA,埤子頭段,70.50,都市：其他:住宅區,4,2,持分移轉,04010035
RPTNMLTLJIJGFAI78DA,埤子頭段,5.00,都市：其他:住宅區,4,2,持分移轉,04010153
RPPNMLTLJIJGFAI48EA,竹圍子段二小段,2.00,都市：其他:住宅區,1,1,全筆移轉,04380001
RPXNMLTKJIJGFAI09DA,埤子頭段,20.87,都市：其他:住宅區,10000,148,持分移轉,03890005
RPURMLQLJIJGFAI98DA,興村段,32.45,都市：其他:住宅區,1000,78,持分移轉,02080000
RPWNMLMJKIJGFAI28DA,民族段二小段,75.00,都市：其他:住宅區,1,1,全筆移轉,00040027
RPWNMLMJKIJGFAI28DA,民族段二小段,14.13,都市：其他:住宅區,1000,199,持分移轉,00040028
RPSNMLNJKIJGFAI97DA,北社尾段,58.00,都市：其他:住宅區,1,1,全筆移轉,06550030
RPPNMLPJKIJGFAI87DA,永安段,22.24,都市：其他:住宅區,300000,1438,持分移轉,09220000
RPSNMLPJKIJGFAI18DA,八掌段,3963.35,都市：其他:農業區,4,3,持分移轉,01630000
RPQOMLMLJIJGFAI87DA,後庄段,408.00,都市：其他:農業區,1,1,全筆移轉,00770031
RPRNMLQLJIJGFAI28DA,新白川段,36.37,都市：其他:住宅區,100000,725,持分移轉,00480000
RPQNMLQLJIJGFAI18DA,埤子頭段,55.00,都市：其他:住宅區,1,1,全筆移轉,01970037
RPSOMLMLJIJGFAI08DA,下路頭段,67.00,都市：其他:住宅區,1,1,全筆移轉,04210072
RPSOMLMLJIJGFAI08DA,下路頭段,3.00,都市：其他:住宅區,1,1,全筆移轉,04210076
RPPNMLQLJIJGFAI08DA,短竹段,20.00,都市：其他:人行廣場用地,6,3,持分移轉,03490000
RPPNMLQLJIJGFAI08DA,短竹段,72.50,都市：其他:道路用地,6,3,持分移轉,03490002
RPPNMLQLJIJGFAI08DA,短竹段,44.00,都市：其他:人行廣場用地,6,3,持分移轉,03500000
RPPNMLQLJIJGFAI08DA,短竹段,54.00,都市：其他:道路用地,6,3,持分移轉,03500001
RPSNMLQLJIJGFAI38DA,軍輝段,13.18,都市：其他:住宅區,10000,98,持分移轉,07610000
RPRNMLQJKIJGFAI28EA,下路頭段,12.69,都市：其他:住宅區,10000,99,持分移轉,01810009
RPRNMLQJKIJGFAI28EA,下路頭段,.01,都市：其他:住宅區,10000,99,持分移轉,01810024
RPXPMLQLJIJGFAI09DA,竹圍子段,23.50,都市：其他:住宅區,12,3,持分移轉,01540002
RPXPMLQLJIJGFAI09DA,竹圍子段,9.75,都市：其他:住宅區,12,3,持分移轉,01550008
RPXPMLQLJIJGFAI09DA,劉厝段,95.75,都市：其他:醫療用地,12,3,持分移轉,01750000
RPXPMLQLJIJGFAI09DA,劉厝段,7.75,都市：其他:道路用地,12,3,持分移轉,01750001
RPRNMLNJKIJGFAI87DA,元段二小段,73.00,都市：其他:商業區,1,1,全筆移轉,01300000
RPRNMLNJKIJGFAI87DA,元段二小段,20.00,都市：其他:商業區,1,1,全筆移轉,01300001
RPPNMLLJKIJGFAI47DA,西門段三小段,4.44,都市：其他:商業區,27,3,持分移轉,00810017
RPPNMLLJKIJGFAI47DA,西門段三小段,4.11,都市：其他:商業區,27,3,持分移轉,00810019
RPPNMLLJKIJGFAI47DA,西門段三小段,58.00,都市：其他:商業區,1,1,全筆移轉,00810029
RPVPMLQLJIJGFAI88DA,竹圍子段二小段,12.58,都市：其他:住宅區,10000,160,持分移轉,01210000
RPPNMLRJKIJGFAI08DA,盧厝段,2.00,都市：其他:住宅區,1,1,全筆移轉,06610105
RPPNMLRJKIJGFAI08DA,盧厝段,162.00,都市：其他:住宅區,1,1,全筆移轉,06610116
RPPNMLRJKIJGFAI08DA,盧厝段,1.00,都市：其他:住宅區,1,1,全筆移轉,06610117
RPUPMLQLJIJGFAI78DA,湖內段,18.20,都市：其他:住宅區,10000,127,持分移轉,03760000
RPSNMLSLIIJGFAI48DA,竹圍子段友愛小段,66.00,都市：其他:住宅區,1,1,全筆移轉,00140000
RPTNMLSLJIJGFAI68DA,新太平段,12.50,都市：其他:住宅區,1074,18,持分移轉,06360000
RPTNMLSLJIJGFAI68DA,盧厝段,5.25,都市：其他:住宅區,1074,18,持分移轉,09650000
RPQNMLSKIIJGFAI18DA,長竹段,30.51,都市：其他:住宅區,10000,99,持分移轉,01520000
RPQNMLSLIIJGFAI28DA,東門段八小段,36.00,都市：其他:商業區,1,1,全筆移轉,00540000
RPQNMLSLIIJGFAI28DA,東門段八小段,25.00,都市：其他:商業區,1,1,全筆移轉,00560001
RPQNMLSLIIJGFAI28DA,東門段八小段,20.00,都市：其他:商業區,1,1,全筆移轉,00570002
RPVNMLQKIIJGFAI48DA,劉厝段,98.00,都市：其他:住宅區,1,1,全筆移轉,00180091
RPRNMLOJIIJGFAI77DA,竹圍子段,.14,都市：其他:住宅區,100000,2857,持分移轉,00160011
RPRNMLOJIIJGFAI77DA,竹圍子段,25.50,都市：其他:住宅區,10000,192,持分移轉,00190004
RPSNMLOLIIJGFAI18EA,北社尾段,11.95,都市：其他:住宅區,10000,26,持分移轉,07120001
RPPPMLSLIIJGFAI38DA,車店段,1.00,都市：其他:住宅區,1,1,全筆移轉,04200056
RPPPMLSLIIJGFAI38DA,車店段,22.00,都市：其他:住宅區,1,1,全筆移轉,04200057
RPPNMLSKIIJGFAI18EA,下路頭段,41.00,都市：其他:住宅區,3,1,持分移轉,04280078
RPQNMLLLIIJGFAI67EA,永安段,79.64,都市：其他:住宅區,1,1,全筆移轉,03350000
RPQNMLTLIIJGFAI48EA,草地尾段,161.37,都市：其他:住宅區,10,1,持分移轉,06870000
RPQNMLLLIIJGFAI67EA,永安段,5.15,都市：其他:住宅區,18,1,持分移轉,04180000
RPRNMLKMIIJGFAI67DA,湖子內段興安小段,39.07,都市：其他:第一種住宅區,10000,551,持分移轉,00080006
RPQOMLTLIIJGFAI48DA,檜段四小段,3.50,都市：其他:商業區,10000,100,持分移轉,00020000
RPSNMLKMIIJGFAI77DA,竹圍子段,66.00,都市：其他:住宅區,1,1,全筆移轉,00530058
RPPNMLNLIIJGFAI67DA,中山段二小段,5.43,都市：其他:住宅區,10000,715,持分移轉,00050006
RPPNMLNLIIJGFAI67DA,中山段二小段,10.78,都市：其他:住宅區,10000,714,持分移轉,00060001
RPXNMLPJJIJGFAI58DA,新富段二小段,21.86,都市：其他:住宅區,84,1,持分移轉,00590002
RPPOMLTLIIJGFAI38DA,新富段四小段,4.37,都市：其他:商業區,10000,8,持分移轉,00080000
RPTNMLPKIIJGFAI18DA,短竹段,13.33,都市：其他:住宅區,6,1,持分移轉,05780000
RPROMLTLIIJGFAI58DA,下路頭段,29.50,都市：其他:住宅區,10000,919,持分移轉,04500004
RPPNMLOLIIJGFAI77DA,末廣段一小段,.12,都市：其他:商業區,10000,26,持分移轉,00020003
RPPNMLOLIIJGFAI77DA,新富段八小段,3.98,都市：其他:商業區,10000,26,持分移轉,00090000
RPQNMLOLIIJGFAI87DA,同興段,12.27,都市：其他:住宅區,10000,9,持分移轉,14350000
RPQNMLOLIIJGFAI87DA,同興段,.02,都市：其他:住宅區,10000,9,持分移轉,14350001
RPQNMLOLIIJGFAI87DA,同興段,.01,都市：其他:住宅區,10000,9,持分移轉,14350002
RPUPMLRJIIJGFAI58DA,下路頭段,57.67,都市：其他:道路用地,3,1,持分移轉,04820003
RPVPMLRJIIJGFAI68DA,下路頭段,97.02,都市：其他:道路用地,4000,438,持分移轉,04810001
RPPNMLSLIIJGFAI18DA,短竹段,.31,都市：其他:住宅區,100000,505,持分移轉,16680000
RPPNMLSLIIJGFAI18DA,短竹段,4.94,都市：其他:住宅區,100000,505,持分移轉,16690000
RPTNMLKMIIJGFAI87DA,竹圍子段友愛小段,127.00,都市：其他:住宅區,1,1,全筆移轉,00710006
RPXNMLLJJIJGFAI18DA,新太平段,14.59,都市：其他:住宅區,10000,18,持分移轉,05410000
RPPOMLKMIIJGFAI57DA,盧東段,97.85,都市：其他:住宅區,1,1,全筆移轉,02750000
RPQNMLLJJIJGFAI47DA,何庄段,123.20,都市：其他:住宅區,1,1,全筆移轉,03180000
RPQNMLPJJIJGFAI87DA,湖子內段湖美小段,42.41,都市：其他:第一種住宅區,323396,4241,持分移轉,00050000
RPTOMLPJJIJGFAI28DA,車店段車店小段,8.58,都市：其他:住宅區,10000,66,持分移轉,05850000
RPROMLPJJIJGFAI08DA,何庄段,385.26,,1,1,全筆移轉,09110008
RPSOMLPJJIJGFAI18DA,湖內段,8.00,都市：其他:道路用地,1,1,全筆移轉,10650000
RPSOMLPJJIJGFAI18DA,湖內段,652.00,都市：其他:住宅區,1,1,全筆移轉,10680000
RPSOMLPJJIJGFAI18DA,湖內段,119.00,都市：其他:住宅區,1,1,全筆移轉,10690000
