編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKQHJGFAI38CC,坡道平面,3000,,地下二樓
RPUNMLPKQHJGFAI09CC,升降機械,1500,,地下一樓
RPUNMLPKQHJGFAI09CC,升降機械,1500,,地下一樓
RPWNMLPKQHJGFAI66CC,坡道機械,0,,地下二樓
RPQNMLPJRHJGFAI68CC,升降機械,1900,,一樓
RPQNMLQJRHJGFAI78CC,一樓平面,1200,,一樓
RPSNMLMKRHJGFAI68CC,坡道機械,0,,地下二樓
RPQNMLTKRHJGFAI56CC,升降機械,0,,地下二樓
RPSNMLNKRHJGFAI78CC,坡道機械,0,,地下二樓
RPTNMLOLRHJGFAI09CC,升降機械,1500,,一樓
RPQNMLOJIIJGFAI77CC,坡道平面,0,,地下二樓
RPQNMLLJIIJGFAI47CC,坡道機械,0,,地下一樓
RPPNMLSJIIJGFAI08CC,坡道平面,1200,,地下二樓
RPWNMLSJIIJGFAI78CC,坡道機械,0,32.33,地下二樓
RPQNMLPKIIJGFAI97CC,一樓平面,0,,一樓
RPPNMLMLIIJGFAI67CC,升降平面,0,,地下一樓
RPWNMLPLIIJGFAI68CC,坡道平面,0,,地下二樓
RPPNMLPJJIJGFAI87CC,坡道平面,0,,地下一樓
