編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKQHJGFFK66CC,湳湖段,15.14,都市：住,,,,11040000
RPPNMLMLQHJGFBK68CC,建功段,5.38,都市：工,,,,06310000
RPPNMLMLQHJGFBK68CC,建功段,109.75,都市：工,,,,06330000
RPPNMLRLQHJGFDK76CC,鹽館前段大厝小段,676.39,都市：工,,,,02320000
RPQNMLRLQHJGFDK86CC,鹽館前段大厝小段,1685.95,都市：工,,,,02310000
RPPNMLRLQHJGFFK96CC,蔴園段,808.05,都市：住,,,,14180000
RPPNMLRLQHJGFFK96CC,蔴園段,218.24,都市：住,,,,14180001
RPPNMLRLRHJGFFK07CC,德義段,136.47,都市：住,,,,01990000
RPPNMLRLRHJGFFK07CC,德義段,136.46,都市：住,,,,02000000
RPPNMLRLRHJGFFK07CC,德義段,136.27,都市：住,,,,02010000
RPPNMLLJIIJGFBK67CC,英才段,665.26,都市：工,,,,01330000
RPPNMLKMRHJGFFK09CC,仁愛段,28.90,都市：住,,,,00420000
RPRNMLOLIIJGFDK58CC,西赤崎段,558.67,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,03990000
