編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKQHJGFDN56CC,43,119.00,住商用,鋼筋混凝土造,70年4月24日,三層,,
RPQNMLNKQHJGFDN66CC,27,25.03,住家用,鋼筋混凝土造,86年4月11日,十五層,,
RPQNMLNKQHJGFDN66CC,27,3.48,住家用,鋼筋混凝土造,86年4月11日,十五層,,
RPQNMLNKQHJGFDN66CC,27,6.91,停車空間，避難室,鋼筋混凝土造,86年4月11日,十六層,,
RPQNMLNKQHJGFDN66CC,27,5.33,梯間、機械室、水箱,鋼筋混凝土造,86年4月11日,十五層,,
RPPNMLNKQHJGFDN56CC,2,69.20,集合住宅,鋼筋混凝土造,111年4月18日,十四層,,
RPPNMLNKQHJGFDN56CC,2,36.81,本共有部分係依使用執照之建築概要表記載項目有停車空間、機械室、水箱、安全梯、梯廳、污水機房、消防機房、防空避難室兼停車空間、機車停車空間、台電配電室、緊急發電機房、電信機房、公共服務空間、污物處理室、外廊、排煙室、戶外安全梯、社區游泳池、管委會使用空間、梯間、泳池機房等２１項、,鋼筋混凝土造,111年4月18日,十四層,,
RPPNMLOKQHJGFDN66CC,16,22.84,集合住宅,鋼筋混凝土造,97年8月6日,五層,,
RPPNMLOKQHJGFDN66CC,16,8.00,走廊、樓梯間、水箱、機械室,鋼筋混凝土造,97年8月6日,五層,,
RPQNMLOKQHJGFDN76CC,35,123.53,住家用,鋼筋混凝土造,79年2月5日,三層,,
RPQNMLMKQHJGFAN88CC,30,90.05,住家用,鋼筋混凝土造,83年8月23日,七層,,
RPQNMLMKQHJGFAN88CC,30,9.20,梯間,鋼筋混凝土造,83年8月23日,八層,,
RPQNMLMKQHJGFAN88CC,30,23.94,避難室、停車空間、車道、通路,鋼筋混凝土造,83年8月23日,八層,,
RPPNMLNKQHJGFAN88CC,31,39.67,住家、店鋪、停車空間,鋼筋混凝土造,82年11月29日,三層,,
RPRNMLOKQHJGFAN56CC,18,18.43,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLOKQHJGFAN56CC,18,2.30,機房,鋼筋混凝土造,95年5月22日,五層,,
RPRNMLOKQHJGFAN56CC,18,11.04,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPSNMLOKQHJGFAN66CC,18,18.68,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPSNMLOKQHJGFAN66CC,18,2.07,機房,鋼筋混凝土造,95年5月22日,五層,,
RPSNMLOKQHJGFAN66CC,18,11.20,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLMKQHJGFAN78CC,30,92.70,住家用,鋼筋混凝土造,83年6月23日,十三層,,
RPPNMLMKQHJGFAN78CC,30,18.73,停車空間、避難室、梯間,鋼筋混凝土造,83年6月23日,十三層,,
RPPNMLPKQHJGFDN76CC,63,36.19,住商用,加強磚造,50年3月12日,一層,,
RPQNMLPKQHJGFDN86CC,1,73.33,集合住宅,鋼筋混凝土造,112年7月10日,十五層,,
RPQNMLPKQHJGFDN86CC,1,65.64,共同使用部份,鋼筋混凝土造,112年7月10日,十五層,,
RPPNMLPKQHJGFBN56CC,44,125.56,住家用,鋼筋混凝土加強磚造,70年1月5日,二層,,
RPPNMLQKQHJGFDN86CC,36,74.35,住家用,鋼筋混凝土造,77年8月23日,四層,,
RPPNMLQKQHJGFDN86CC,36,13.44,樓梯（共同使用）,鋼筋混凝土造,77年8月23日,四層,,
