編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPKQHJGFDN86CC,坡道平面,2000,29.45,地下一樓
RPPNMLSKQHJGFAN76CC,坡道機械,0,,地下一樓
RPRNMLSLQHJGFAN07CC,坡道平面,500,9.91,地下一樓
RPPNMLNJRHJGFDN56CC,一樓平面,300,.54,一樓
RPPNMLPJRHJGFDN76CC,坡道平面,0,,地下二樓
RPRNMLSKRHJGFDN37CC,坡道平面,0,,地下一樓
RPPNMLOLRHJGFDN86CC,一樓平面,2500,19.83,一樓
RPPNMLRKIIJGFDN88CC,坡道平面,0,29.38,地下一樓
RPPNMLMLIIJGFAN18CC,坡道平面,0,35.83,地下一樓
RPQNMLMLIIJGFBN38CC,坡道機械,0,16.02,地下二樓
RPQNMLMLIIJGFBN38CC,坡道機械,0,16.02,地下二樓
RPPNMLSLIIJGFBN88CC,升降機械,0,6.90,地下一樓
RPTNMLQJJIJGFAN88CC,升降機械,2000,14.98,地下二樓
