編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKQHJGFAO98CC,中華段,37.96,都市：其他:科技商務區,,,,01190000
RPPNMLSKQHJGFAO86CC,親仁段二小段,11.89,都市：住,,,,00010000
RPSNMLLLQHJGFAO56CC,中央段,5.70,都市：商,,,,08080001
RPPNMLOLQHJGFAO56CC,介壽段,14.31,都市：住,,,,01100000
RPUNMLNJRHJGFAO86CC,美山段,3716.71,都市：農,,,,09530000
RPUNMLNJRHJGFAO86CC,美山段,819.89,都市：農,,,,09540000
RPPNMLRKRHJGFAO86CC,東明段,13.42,都市：商,,,,00720000
RPPNMLPJRHJGFAO56CC,竹港段,85.81,都市：商,,,,06780000
RPPNMLPJRHJGFAO56CC,竹港段,404.11,都市：商,,,,06800000
RPPNMLPJRHJGFAO56CC,竹港段,125.70,都市：商,,,,06850000
RPPNMLPJRHJGFAO56CC,竹港段,135.03,都市：商,,,,06860000
RPOOMLOLRHJGFAO66CC,長春段,31.11,都市：工,,,,13410005
RPPOMLOLRHJGFAO76CC,長春段,27.89,都市：工,,,,13410005
RPQOMLRLRHJGFAO17CC,中山段三小段,13.42,都市：商,,,,03470000
RPUNMLRLRHJGFAO47CC,東明段,46.66,都市：住,,,,00240000
RPWNMLRLRHJGFAO67CC,東明段,23.52,都市：住,,,,10660000
RPUNMLKMRHJGFAO86CC,東光段,15.09,都市：住,,,,05190001
RPPNMLLJIIJGFAO08DC,士林段,584.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00910000
RPPNMLLJIIJGFAO08DC,士林段,655.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01010000
RPPNMLQJIIJGFAO48CC,金雅段,31.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00670000
RPPNMLTLIIJGFAO98CC,聚吉段,12.21,都市：商,,,,00340004
