編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTKQHJGFDP27CB,一樓平面,1300000,13.75,一樓
RPPNMLTKQHJGFFP47CB,坡道機械,750000,19.81,地下二樓
RPTNMLMKQHJGFAP66CB,一樓平面,0,29.63,一樓
RPPNMLKLQHJGFBP88CB,坡道平面,1000000,28.98,地下一樓
RPPNMLKLQHJGFAP78CB,一樓平面,0,29.63,一樓
RPSNMLMKQHJGFAP56CB,坡道平面,0,29.63,地下一樓
RPQNMLKLQHJGFAP88CB,坡道機械,680000,17.90,地下三樓
RPPNMLLLQHJGFAP88CB,坡道平面,1300000,29.18,地下三樓
RPRNMLLLQHJGFAP09CB,坡道平面,1300000,29.18,地下三樓
RPPNMLMLQHJGFDP66CB,一樓平面,0,22.11,一樓
RPQNMLLLQHJGFAP98CB,坡道平面,1300000,29.18,地下三樓
RPVNMLNLQHJGFAP07CB,一樓平面,0,13.75,一樓
RPVNMLNLQHJGFAP07CB,一樓平面,0,13.75,一樓
RPUNMLNLQHJGFAP96CB,一樓平面,0,13.75,一樓
RPUNMLNLQHJGFAP96CB,一樓平面,0,13.75,一樓
RPPNMLOLQHJGFAP66DB,一樓平面,0,13.75,一樓
RPPNMLOLQHJGFBP76DB,一樓平面,1300000,19.83,一樓
RPVNMLQLQHJGFAP37CB,一樓平面,0,13.75,一樓
RPPNMLRLQHJGFAP86CB,坡道平面,1200000,27.99,地下三樓
RPPNMLNJRHJGFAP98CB,坡道機械,550000,16.85,地下一樓
RPPNMLSLQHJGFAP07DB,坡道平面,1300000,22.81,地下二樓
RPPNMLNJRHJGFDP66CB,一樓平面,1500000,13.75,一樓
RPQNMLNJRHJGFDP76CB,一樓平面,0,13.22,一樓
RPQNMLNJRHJGFAP09CB,一樓平面,900000,,一樓
RPPNMLKMQHJGFDP56CB,坡道平面,1600000,32.01,地下一樓
RPRNMLNJRHJGFDP86CB,一樓平面,0,13.22,一樓
RPQNMLOJRHJGFAP56CB,坡道平面,1350000,30.20,地下二樓
RPVNMLOJRHJGFAP07CB,坡道平面,1500000,29.18,地下一樓
RPRNMLOJRHJGFAP66CB,坡道平面,1200000,30.20,地下三樓
RPPNMLOJRHJGFAP09CB,坡道平面,1350000,30.20,地下二樓
RPTNMLOJRHJGFAP86CB,坡道平面,1200000,30.20,地下三樓
RPWNMLOJRHJGFAP17CB,坡道平面,1300000,29.18,地下三樓
RPUNMLOJRHJGFAP96CB,坡道平面,1350000,30.20,地下二樓
RPSNMLOJRHJGFAP76CB,坡道平面,1350000,30.20,地下二樓
RPQNMLPJRHJGFDP96CB,一樓平面,0,22.11,一樓
RPPNMLPJRHJGFDP86CB,一樓平面,0,22.11,一樓
RPXNMLOJRHJGFAP27CB,坡道機械,680000,17.90,地下三樓
RPXNMLOJRHJGFAP27CB,坡道機械,680000,17.90,地下三樓
RPRNMLPJRHJGFDP07CB,一樓平面,0,22.11,一樓
RPPNMLQJRHJGFBP76CB,坡道平面,1000000,28.98,地下一樓
RPQNMLQJRHJGFBP86CB,坡道平面,1000000,28.98,地下一樓
