編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKLQHJGFEP76CC,34,197.36,住商用,鋼筋混凝土造,79年9月30日,四層,,
RPRNMLNKQHJGFAP66CC,14,10.89,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLNKQHJGFAP66CC,14,3.96,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLNKQHJGFAP66CC,14,5.16,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMKQHJGFAP98CC,28,156.02,住宅、樓梯間,鋼筋混凝土造,85年10月3日,三層,,
RPRNMLMLQHJGFAP66CC,14,9.72,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMLQHJGFAP66CC,14,133.93,停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMLQHJGFAP66CC,14,169.39,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLMLQHJGFAP66CC,14,5.04,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMLQHJGFAP56CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMLQHJGFAP56CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNKQHJGFAP56CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMLQHJGFAP56CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNKQHJGFAP56CC,14,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNKQHJGFAP56CC,14,5.79,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLQKQHJGFAP76CC,30,85.93,住家用,鋼筋混凝土造,83年6月15日,十一層,,
RPSNMLNKQHJGFAP76CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLQKQHJGFAP76CC,30,11.79,共有部份,鋼筋混凝土造,83年6月15日,十一層,,
RPSNMLNKQHJGFAP76CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLQKQHJGFAP76CC,30,10.46,共有部份,鋼筋混凝土造,83年6月15日,,,
RPSNMLNKQHJGFAP76CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLNLQHJGFAP56CC,27,115.74,住家用,鋼筋混凝土造,86年5月15日,十六層,,
RPPNMLNLQHJGFAP56CC,27,18.51,共有部份,鋼筋混凝土造,86年5月15日,十六層,,
RPPNMLNLQHJGFAP56CC,27,18.37,共有部份,鋼筋混凝土造,86年5月15日,十六層,,
RPQNMLQLQHJGFAP96CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLQLQHJGFAP96CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLQLQHJGFAP96CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLQLQHJGFAP86CC,9,20.83,騎樓、住宅、法定停車空間、樓梯間,鋼筋混凝土造,104年5月5日,四層,,
RPPNMLNLQHJGFEP96CC,36,243.81,住商用,鋼筋混凝土造,77年7月18日,四層,,
RPRNMLQLQHJGFAP07CC,14,10.89,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLQLQHJGFAP07CC,14,1.00,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLQLQHJGFAP07CC,14,5.41,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLNKQHJGFDP76CC,5,9.19,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLNKQHJGFDP76CC,5,4.02,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLNKQHJGFDP76CC,5,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKQHJGFDP07CC,5,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKQHJGFDP07CC,5,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLQKQHJGFDP07CC,5,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLSLQHJGFBP17CC,29,43.19,住家用,鋼筋混凝土造,84年7月10日,十三層,,
RPPNMLSLQHJGFBP17CC,29,14.43,共有部份,鋼筋混凝土造,84年7月10日,十三層,,
RPQNMLSLQHJGFBP27CC,47,94.01,住商用,鋼筋混凝土加強磚造,66年6月10日,二層,,
RPRNMLSLQHJGFAP27CC,14,9.72,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLSLQHJGFAP27CC,14,3.84,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPRNMLSLQHJGFAP27CC,14,4.82,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLSLQHJGFAP17CC,14,10.06,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLSLQHJGFAP17CC,14,.92,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLSLQHJGFAP17CC,14,5.00,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLQLQHJGFAP17CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLQLQHJGFAP17CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLQLQHJGFAP17CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFAP07CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLSLQHJGFEP47CC,47,98.60,住商用,加強磚造,67年1月5日,二層,,
RPPNMLRLQHJGFDP27CC,1,187.60,住宅、樓梯間,鋼筋混凝土造,112年4月28日,三層,,
RPPNMLSLQHJGFDP37CC,5,9.01,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLSLQHJGFDP37CC,5,3.94,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLSLQHJGFDP37CC,5,.37,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPRNMLMLQHJGFDP96CC,1,70.13,集合住宅,鋼筋混凝土造,113年1月12日,五層,,
RPRNMLMLQHJGFDP96CC,1,26.93,本共有部分之項目有門廊、停車空間、樓梯間電梯間、消防機房、梯廳、機電設備空間、水箱等７項。,鋼筋混凝土造,113年1月12日,五層,,
RPPNMLTLQHJGFDP47CC,27,20.33,住家用,鋼筋混凝土造,86年11月6日,八層,,
RPPNMLTLQHJGFDP47CC,27,2.25,共有部份,鋼筋混凝土造,86年11月6日,八層,,
RPPNMLTLQHJGFDP47CC,27,1.43,共有部份,鋼筋混凝土造,86年11月6日,八層,,
RPPNMLTLQHJGFDP47CC,27,1.13,共有部份,鋼筋混凝土造,86年11月6日,八層,,
RPPNMLTLQHJGFDP47CC,27,.14,共有部份,鋼筋混凝土造,86年11月6日,八層,,
RPPNMLTLQHJGFDP47CC,27,2.83,共有部份,鋼筋混凝土造,86年11月6日,八層,,
RPTNMLMJRHJGFAP76CC,18,17.25,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPPNMLKMQHJGFAP98CC,14,10.89,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLKMQHJGFAP98CC,14,1.00,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLKMQHJGFAP98CC,14,5.41,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLMJRHJGFAP09CC,25,107.10,住家用,鋼筋混凝土造,88年5月31日,三層,,
RPRNMLMJRHJGFAP56CC,18,16.30,住家用,鋼筋混凝土造,95年12月1日,三層,,
RPSNMLSLQHJGFAP37CC,14,10.06,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLSLQHJGFAP37CC,14,.92,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPUNMLMJRHJGFAP86CC,18,14.03,住家用,鋼筋混凝土造,95年11月10日,三層,,
RPSNMLSLQHJGFAP37CC,14,4.83,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPVNMLMJRHJGFAP96CC,14,9.72,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPVNMLMJRHJGFAP96CC,14,.89,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPVNMLMJRHJGFAP96CC,14,4.83,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPWNMLMJRHJGFAP07CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPWNMLMJRHJGFAP07CC,14,.90,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPWNMLMJRHJGFAP07CC,14,4.86,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPXNMLMJRHJGFAP17CC,14,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPXNMLMJRHJGFAP17CC,14,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPXNMLMJRHJGFAP17CC,14,4.84,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPSNMLMJRHJGFAP66CC,18,14.33,住家用,鋼筋混凝土造,95年11月10日,三層,,
RPQNMLNJRHJGFEP96CC,29,170.69,住商用,鋼筋混凝土造,84年5月26日,十五層,,
RPPNMLMJRHJGFDP66CC,51,25.22,住商用,加強磚造,62年5月5日,二層,,
RPPNMLNJRHJGFDP76CC,18,69.18,集合住宅,鋼筋混凝土造,96年2月5日,十一層,,
RPPNMLNJRHJGFDP76CC,18,27.00,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,,
RPPNMLPJRHJGFDP96CC,5,9.14,集合住宅,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLPJRHJGFDP96CC,5,3.99,本共有部分之項目有梯廳、安全梯ＡＢ、升降機、管道間、電信室、走廊、電梯、各戶管道間、升降機房、水箱等１０項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLPJRHJGFDP96CC,5,.38,本共有部分之項目有防空避難室機房升降機停車、緊急發電機室、消防機房、停車空間等４項,鋼筋混凝土造,108年4月9日,七層,,
RPPNMLOJRHJGFAP56CC,26,34.34,住家用,鋼筋混凝土造,88年2月2日,十層,,
RPPNMLOJRHJGFAP56CC,26,1.93,共有部份,鋼筋混凝土造,88年2月2日,十層,,
RPPNMLOJRHJGFAP56CC,26,5.97,共有部份,鋼筋混凝土造,88年2月2日,十層,,
RPPNMLOJRHJGFAP56CC,26,4.80,共有部份,鋼筋混凝土造,88年2月2日,十層,,
RPPNMLKKRHJGFBP98CC,25,82.05,住家用,鋼筋混凝土造,88年7月10日,八層,,
RPPNMLKKRHJGFBP98CC,25,12.46,共有部份,鋼筋混凝土造,88年7月10日,八層,,
RPPNMLKKRHJGFBP98CC,25,9.05,共有部份,鋼筋混凝土造,88年7月10日,八層,,
RPQNMLKKRHJGFBP09CC,4,53.76,集合住宅,鋼筋混凝土造,109年12月24日,八層,,
RPQNMLKKRHJGFBP09CC,4,20.71,共有部份,鋼筋混凝土造,109年12月24日,八層,,
RPPNMLTJRHJGFDP37CC,44,109.99,住商用,加強磚造,69年8月18日,二層,,
RPRNMLTJRHJGFAP27CC,41,96.10,住家用,鋼筋混凝土加強磚造,73年1月30日,二層,,
RPPNMLKKRHJGFAP88CC,9,20.83,騎樓、住宅、法定停車空間、樓梯間,鋼筋混凝土造,104年5月5日,四層,,
