編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKQHJGFDQ47CC,19,14.18,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLPKQHJGFDQ07CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLPKQHJGFDQ07CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLTKQHJGFDQ57CC,20,20.91,集合住宅,鋼筋混凝土造,93年6月9日,五層,,
RPPNMLMKQHJGFDQ76CC,41,106.61,住家用,鋼筋混凝土加強磚造,72年10月5日,二層,,
RPRNMLTKQHJGFDQ67CC,2,16.80,住家用,鋼筋混凝土造,112年1月18日,三層,,
RPPNMLMLQHJGFCQ76CC,3,71.39,集合住宅,鋼筋混凝土造,110年3月2日,六層,,
RPPNMLNKQHJGFCQ76CC,31,104.46,集合住宅,鋼筋混凝土造,82年2月17日,五層,,
RPPNMLMLQHJGFCQ76CC,3,26.95,停車空間、樓梯間、管委會空間、安全梯、電信機房、發電機房兼消防機房及梯廳等７項。,鋼筋混凝土造,110年3月2日,六層,,
RPPNMLNKQHJGFCQ76CC,31,14.24,共有部分,鋼筋混凝土造,82年2月17日,五層,,
RPQNMLQLQHJGFDQ37CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLQLQHJGFDQ37CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLQLQHJGFDQ27CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLQLQHJGFDQ27CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLQLQHJGFDQ47CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLQLQHJGFDQ47CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLLLQHJGFDQ76CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLLLQHJGFDQ76CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLTKQHJGFCQ37CC,6,121.77,住家用,鋼筋混凝土造,107年9月4日,二層,,
RPQNMLLLQHJGFDQ86CC,46,86.30,住家用,鋼筋混凝土加強磚造,67年7月10日,二層,,
RPPNMLMLQHJGFBQ66CC,18,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLMLQHJGFBQ66CC,18,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLMLQHJGFBQ66CC,18,5.72,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLKLQHJGFBQ09CC,28,90.03,住家用,鋼筋混凝土造,85年8月15日,十四層,,
RPPNMLKLQHJGFBQ09CC,28,31.84,梯間、防空避難室、機械室、水塔牌樓兼停車空間,鋼筋混凝土造,85年8月15日,十四層,,
RPPNMLRLQHJGFDQ37CC,2,19.62,店鋪、住宅、停車空間,鋼筋混凝土造,112年1月30日,四層,,
RPPNMLSLQHJGFDQ47CC,29,229.39,住宅、停車場、運動間,鋼筋混凝土造,84年5月18日,四層,,
RPQNMLMJRHJGFCQ76CC,38,261.20,住家用,加強磚造,75年11月15日,三層,,
RPQNMLSLQHJGFDQ57CC,1,60.18,集合式住宅,鋼筋混凝土造,112年3月8日,五層,,
RPQNMLSLQHJGFDQ57CC,1,1.95,本共有部分之項目有梯廳、門廊、無障礙廁所、管理委員室及電信室等５項。,鋼筋混凝土造,112年3月8日,五層,,
RPQNMLSLQHJGFDQ57CC,1,10.39,本共有部分之項目有電梯、安全梯、梯廳、樓電梯間及水箱等５項。,鋼筋混凝土造,112年3月8日,五層,,
RPQNMLTLQHJGFCQ57CC,4,32.36,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPRNMLMJRHJGFDQ96CC,34,152.36,住家用,鋼筋混凝土造,79年11月17日,三層,,
RPQNMLMJRHJGFDQ86CC,43,98.38,住商用,鋼筋混凝土加強磚造,70年4月2日,二層,,
RPPNMLMJRHJGFDQ76CC,24,151.20,住商用,鋼筋混凝土造,90年2月7日,三層,,
RPPNMLTLQHJGFCQ47CC,29,81.80,集合住宅,鋼筋混凝土造,85年2月9日,五層,,
RPPNMLTLQHJGFCQ47CC,29,.89,共有部分,鋼筋混凝土造,85年2月9日,五層,,
RPPNMLTLQHJGFCQ47CC,29,2.89,共有部分,鋼筋混凝土造,85年2月9日,五層,,
RPPNMLTLQHJGFCQ47CC,29,2.89,共有部分,鋼筋混凝土造,85年2月9日,五層,,
RPPNMLTLQHJGFCQ47CC,29,2.65,共有部分,鋼筋混凝土造,85年2月9日,五層,,
RPPNMLNJRHJGFCQ76CC,31,94.11,住家用,鋼筋混凝土造,82年12月14日,七層,,
RPPNMLNJRHJGFCQ76CC,31,7.89,共有部分,鋼筋混凝土造,82年12月14日,七層,,
RPPNMLNJRHJGFCQ76CC,31,5.68,共有部分,鋼筋混凝土造,82年12月14日,七層,,
RPPNMLNJRHJGFBQ66CC,28,81.02,住家用,鋼筋混凝土造,86年1月10日,十層,,
RPPNMLNJRHJGFBQ66CC,28,19.24,防空避難室兼停車空間,鋼筋混凝土造,86年1月10日,十層,,
RPPNMLNJRHJGFBQ66CC,28,12.24,電、樓梯間,鋼筋混凝土造,86年1月10日,十層,,
RPQNMLNJRHJGFCQ86CC,31,154.06,住商用,鋼筋混凝土造,82年6月15日,三層,,
RPPNMLOJRHJGFCQ86CC,46,224.38,住家用,鋼筋混凝土加強磚造,67年9月15日,二層,,
RPQNMLOJRHJGFCQ96CC,4,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPPNMLTJRHJGFCQ37CC,43,108.06,住家用,鋼筋混凝土加強磚造,70年8月8日,二層,,
RPRNMLTJRHJGFCQ57CC,45,101.86,住家用,鋼筋混凝土加強磚造,68年11月28日,二層,,
RPPNMLKKRHJGFCQ56CC,30,97.42,集合住宅,鋼筋混凝土造,83年8月8日,十一層,,
RPPNMLKKRHJGFCQ56CC,30,15.71,共有部分,鋼筋混凝土造,83年8月8日,十一層,,
RPPNMLKKRHJGFCQ56CC,30,19.30,共有部分,鋼筋混凝土造,83年8月8日,十一層,,
RPPNMLLKRHJGFCQ66CC,32,46.11,住商用,鋼筋混凝土造,81年11月18日,三層,,
RPPNMLQKRHJGFBQ07CC,18,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLQKRHJGFBQ07CC,18,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLQKRHJGFBQ07CC,18,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLSKRHJGFCQ37CC,27,166.74,集合住宅．停車空間,鋼筋混凝土造,86年11月18日,四層,,
RPQNMLKKRHJGFDQ76CC,31,86.01,集合住宅,鋼筋混凝土造,82年10月6日,九層,,
RPQNMLKKRHJGFDQ76CC,31,13.03,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPQNMLKKRHJGFDQ76CC,31,13.34,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,
RPPNMLKKRHJGFDQ66CC,19,121.91,住商用,鋼筋混凝土造,94年9月5日,四層,,
RPRNMLKKRHJGFDQ86CC,19,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLKKRHJGFDQ86CC,19,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLTJRHJGFDQ47CC,35,276.52,住商用,鐵造,79年1月8日,二層,,
RPPNMLQJRHJGFDQ17CC,39,214.20,工業用,見使用執照,74年9月1日,一層,,
RPPNMLQJRHJGFDQ17CC,31,200.54,住家用,鋼造,82年6月26日,一層,,
RPPNMLTKRHJGFDQ57CC,44,102.22,住家用,鋼筋混凝土加強磚造,69年3月1日,二層,,
RPQNMLPLRHJGFDQ37CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLPLRHJGFDQ37CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLQLRHJGFDQ37CC,19,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLQLRHJGFDQ37CC,19,6.84,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLPLRHJGFDQ47CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPSNMLPLRHJGFDQ57CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRNMLPLRHJGFDQ47CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPSNMLPLRHJGFDQ57CC,19,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLPLRHJGFDQ27CC,44,89.63,住家用,鋼筋混凝土加強磚造,69年7月1日,二層,,
RPQNMLRLRHJGFDQ57CC,7,127.33,集合住宅,鋼筋混凝土造,106年4月21日,十五層,,
