編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLMKQHJGFAU27CC,慈雲段,238.00,都市：工,,,,03900000
RPRNMLNKQHJGFAU17CC,民勤段,36.91,都市：住,,,,04250057
RPSNMLNKQHJGFAU27CC,民孝段,49.02,都市：住,,,,00690000
RPTNMLQKQHJGFAU67CC,福安段,16.17,都市：住,,,,19340000
RPUNMLQKQHJGFAU77CC,民勤段,20.00,都市：其他:道路用地,,,,08470084
RPUNMLQKQHJGFAU77CC,民勤段,243.00,都市：住,,,,08470086
RPRNMLMLQHJGFAU17CC,富國段,3.00,都市：商,,,,03090000
RPRNMLQLQHJGFAU67DC,德安段,68.00,都市：住,,,,01290000
RPQNMLQLQHJGFAU57DC,慶豐段,104.00,都市：農,,,,00610001
RPQNMLQLQHJGFAU57DC,慶豐段,252.00,都市：農,,,,00610002
RPQNMLQLQHJGFAU57DC,慶豐段,114.00,都市：農,,,,00610003
RPPNMLKMQHJGFAU86CC,慈勝段,157.98,都市：農,,,,08170007
RPRNMLKMQHJGFAU07CC,主權段,106.00,都市：住,,,,11600026
RPSNMLKMQHJGFAU17CC,永安段,1156.74,非都市：一般農業區 ; 非都市編定：農牧用地,,,,07360000
RPSNMLKMQHJGFAU17CC,永安段,1152.98,非都市：一般農業區 ; 非都市編定：農牧用地,,,,07370000
RPQNMLLKRHJGFAU96CC,林森段,26.30,都市：住,,,,02040004
RPQNMLQKRHJGFAU57DC,廣賢段,54.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01530000
RPPNMLTKRHJGFAU77DC,國光段,64.00,都市：商,,,,00460025
RPQNMLTKRHJGFAU87DC,富國段,121.00,都市：商,,,,03660009
RPQNMLTKRHJGFAU87DC,富國段,1.00,都市：商,,,,03660003
RPOOMLKLRHJGFAU86CC,四維段,193.07,都市：農,,,,05590002
RPSNMLOLRHJGFAU57CC,富國段,29.70,都市：商,,,,02900000
RPVNMLKLRHJGFAU47CC,嘉南段,90.00,都市：住,,,,08980000
RPPNMLPLRHJGFAU37CC,富國段,198.00,都市：商,,,,04130001
RPPNMLPLRHJGFAU37CC,富國段,133.00,都市：商,,,,04130002
RPPNMLOKIIJGFAU09DC,主權段,161.00,都市：商,,,,08300000
RPQNMLPKIIJGFAU66DC,慶豐段,28.00,都市：農,,,,06710000
RPQNMLPKIIJGFAU66DC,慶豐段,21.00,都市：其他:道路用地,,,,06710003
RPQNMLPKIIJGFAU66DC,慶豐段,245.18,都市：其他:道路用地,,,,06710002
RPPNMLPKIIJGFBU56CC,悅付南段,213.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09540000
RPQNMLSKIIJGFAU86CC,林森段,160.00,都市：住,,,,30840000
RPQNMLLLIIJGFAU88CC,慈勝段,27.69,都市：住,,,,04490000
RPRNMLNLIIJGFAU66DC,太昌段,93.00,都市：住,,,,07840021
RPWNMLNLIIJGFAU07CC,裕民段,14.36,都市：商,,,,02130000
RPSNMLSLIIJGFAU17CC,福祥段,77.00,都市：住,,,,10740029
RPPNMLKMIIJGFAU78CC,光輝段,1065.85,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06060000
RPRNMLQLIIJGFCU07CC,瑞美段,68.00,都市：住,,,,03280015
RPPNMLOLIIJGFBU56CC,大興段,4254.31,非都市：一般農業區 ; 非都市編定：農牧用地,,,,11120000
RPPNMLOLIIJGFBU56CC,大興段,917.13,非都市：一般農業區 ; 非都市編定：農牧用地,,,,11090000
RPPNMLQLIIJGFCU86CC,瑞美段,68.00,都市：住,,,,03280015
RPPNMLSLIIJGFCU07CC,瑞美段,69.00,都市：住,,,,03280017
RPPNMLOJJIJGFAU98CC,富國段,12.76,都市：住,,,,05400000
RPPNMLLJJIJGFAU68CC,嘉平段,94.00,都市：住,,,,02520001
