編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTKQHJGFAV77CC,東海段,98.32,都市：住,,,,10210000
RPTNMLMKQHJGFAV37CC,台東段,15.33,都市：住,,,,00010062
RPPNMLTKQHJGFAV67CC,東海段,98.32,都市：住,,,,10210000
RPUNMLNKQHJGFAV57CC,南榮段,361.72,都市：農,,,,05340011
RPUNMLNKQHJGFAV57CC,南榮段,50.65,都市：農,,,,05340021
RPPNMLNJRHJGFAV07CC,台東段,12.40,都市：住,,,,05610004
RPPNMLNKRHJGFAV17CC,台東段,259.00,都市：住,,,,00240018
RPPNMLNKRHJGFAV17CC,台東段,44.00,都市：住,,,,00240212
RPPNMLMJRHJGFAV96CC,新生段,2449.00,都市：農,,,,15810000
RPPNMLOKIIJGFAV09CC,中心段,78.00,都市：住,,,,06350000
RPPNMLOKIIJGFAV09CC,中心段,14.00,都市：住,,,,06420000
RPTNMLPKIIJGFAV96CC,台東段,98.00,都市：住,,,,01010148
RPPNMLRJJIJGFAV76CC,台東段,259.00,都市：住,,,,00240018
RPPNMLRJJIJGFAV76CC,台東段,44.00,都市：住,,,,00240212
